x,y,z,p1,p2,p3,t
2.048354,-3.074570,-20.170000,0.000000,0.000000,0.000000,0.000000
1.981133,-2.736627,-20.170000,0.076412,0.000000,0.000000,0.068913
1.789703,-2.450133,-20.170000,0.152823,0.000000,0.000000,0.137825
1.503209,-2.258704,-20.170000,0.229235,0.000000,0.000000,0.206738
1.165266,-2.191483,-20.170000,0.305646,0.000000,0.000000,0.275651
0.827323,-2.258704,-20.170000,0.382058,0.000000,0.000000,0.344564
0.540829,-2.450133,-20.170000,0.458469,0.000000,0.000000,0.413476
0.349400,-2.736627,-20.170000,0.534881,0.000000,0.000000,0.482389
0.282179,-3.074570,-20.170000,0.611292,0.000000,0.000000,0.551302
0.349400,-3.412513,-20.170000,0.687704,0.000000,0.000000,0.620215
0.540829,-3.699008,-20.170000,0.764115,0.000000,0.000000,0.689127
0.827323,-3.890437,-20.170000,0.840527,0.000000,0.000000,0.758040
1.165266,-3.957658,-20.170000,0.916938,0.000000,0.000000,0.826953
1.503209,-3.890437,-20.170000,0.993350,0.000000,0.000000,0.895865
1.789703,-3.699008,-20.170000,1.069761,0.000000,0.000000,0.964778
1.981133,-3.412513,-20.170000,1.146173,0.000000,0.000000,1.033691
2.048354,-3.074570,-20.170000,1.222584,0.000000,0.000000,1.102604
2.048354,-3.074570,-21.170000,1.222584,0.000000,0.000000,2.102604
2.048354,-3.074570,-22.370000,1.222584,0.000000,0.000000,2.162604
2.290000,-1.137709,-22.370000,1.222584,0.000000,0.000000,2.260197
2.290000,-1.137709,-20.170000,1.222584,0.000000,0.000000,2.370197
2.290000,-1.137709,-20.170000,1.222584,0.000000,0.000000,2.370197
2.405185,-0.630661,-20.170000,1.337894,0.000000,0.000000,2.474191
2.520370,-0.123613,-20.170000,1.453203,0.000000,0.000000,2.578184
2.635555,0.383436,-20.170000,1.568513,0.000000,0.000000,2.682178
2.750740,0.890484,-20.170000,1.683822,0.000000,0.000000,2.786171
2.865925,1.397532,-20.170000,1.799132,0.000000,0.000000,2.890164
2.865925,1.397532,-20.170000,1.799132,0.000000,0.000000,2.890164
2.406642,1.657355,-20.170000,1.916152,0.000000,0.000000,2.995701
1.947359,1.917178,-20.170000,2.033173,0.000000,0.000000,3.101237
1.488076,2.177001,-20.170000,2.150193,0.000000,0.000000,3.206774
1.028793,2.436823,-20.170000,2.267214,0.000000,0.000000,3.312310
0.569511,2.696646,-20.170000,2.384234,0.000000,0.000000,3.417847
0.110228,2.956469,-20.170000,2.501254,0.000000,0.000000,3.523383
-0.346430,3.161178,-20.170000,2.612234,0.000000,0.000000,3.623472
-0.948747,3.271406,-20.170000,2.748024,0.000000,0.000000,3.745935
-1.551064,3.381634,-20.170000,2.883814,0.000000,0.000000,3.868399
-2.153380,3.491862,-20.170000,3.019604,0.000000,0.000000,3.990863
-2.755697,3.602089,-20.170000,3.155394,0.000000,0.000000,4.113327
-2.755697,3.602089,-20.170000,3.155394,0.000000,0.000000,4.113327
-3.139920,3.221016,-20.170000,3.275401,0.000000,0.000000,4.221558
-3.524143,2.839942,-20.170000,3.395409,0.000000,0.000000,4.329788
-3.908366,2.458869,-20.170000,3.515416,0.000000,0.000000,4.438018
-4.292588,2.077795,-20.170000,3.635423,0.000000,0.000000,4.546248
-4.676811,1.696722,-20.170000,3.755431,0.000000,0.000000,4.654478
-4.676811,1.696722,-21.170000,3.755431,0.000000,0.000000,5.654478
-4.676811,1.696722,-22.370000,3.755431,0.000000,0.000000,5.714478
-4.018879,-1.350799,-22.370000,3.755431,0.000000,0.000000,5.870365
-4.018879,-1.350799,-20.170000,3.755431,0.000000,0.000000,5.980365
-4.018879,-1.350799,-20.170000,3.755431,0.000000,0.000000,5.980365
-4.342180,-1.566822,-20.170000,3.841659,0.000000,0.000000,6.058131
-4.558203,-1.890122,-20.170000,3.927887,0.000000,0.000000,6.135897
-4.634060,-2.271482,-20.170000,4.014115,0.000000,0.000000,6.213663
-4.558203,-2.652841,-20.170000,4.100344,0.000000,0.000000,6.291429
-4.342180,-2.976142,-20.170000,4.186572,0.000000,0.000000,6.369195
-4.018879,-3.192164,-20.170000,4.272800,0.000000,0.000000,6.446961
-3.637520,-3.268021,-20.170000,4.359029,0.000000,0.000000,6.524728
-3.256161,-3.192164,-20.170000,4.445257,0.000000,0.000000,6.602494
-2.932860,-2.976142,-20.170000,4.531485,0.000000,0.000000,6.680260
-2.716837,-2.652841,-20.170000,4.617713,0.000000,0.000000,6.758026
-2.640980,-2.271482,-20.170000,4.703942,0.000000,0.000000,6.835792
-2.716837,-1.890122,-20.170000,4.790170,0.000000,0.000000,6.913558
-2.932860,-1.566822,-20.170000,4.876398,0.000000,0.000000,6.991324
-3.256161,-1.350799,-20.170000,4.962626,0.000000,0.000000,7.069090
-3.637520,-1.274942,-20.170000,5.048855,0.000000,0.000000,7.146856
-4.018879,-1.350799,-20.170000,5.135083,0.000000,0.000000,7.224623
-4.018879,-1.350799,-21.170000,5.135083,0.000000,0.000000,8.224623
-4.018879,-1.350799,-22.370000,5.135083,0.000000,0.000000,8.284623
