x,y,z,p1,p2,p3,t
-1.751235,3.418410,11.990000,0.000000,0.000000,0.000000,0.000000
-1.765245,4.132914,11.990000,0.714641,0.000000,0.000000,0.142928
-1.765245,4.132914,11.990000,0.714641,0.000000,0.000000,0.142928
-2.297620,4.139919,11.990000,1.247062,0.000000,0.000000,0.249412
-2.829996,4.146924,11.990000,1.779485,0.000000,0.000000,0.355897
-3.362371,4.153929,11.990000,2.311906,0.000000,0.000000,0.462381
-3.894746,4.160934,11.990000,2.844327,0.000000,0.000000,0.568865
-4.427122,4.167939,11.990000,3.376749,0.000000,0.000000,0.675350
-4.959497,4.174944,11.990000,3.909170,0.000000,0.000000,0.781834
-4.959497,4.174944,11.990000,3.909170,0.000000,0.000000,0.781834
-4.966502,3.474450,11.990000,4.609699,0.000000,0.000000,0.921940
-4.973507,2.773956,11.990000,5.310228,0.000000,0.000000,1.062046
-4.973507,2.773956,11.990000,5.310228,0.000000,0.000000,1.062046
-4.385092,2.773956,11.990000,5.898643,0.000000,0.000000,1.179729
-4.385092,2.773956,11.990000,5.898643,0.000000,0.000000,1.179729
-4.191756,2.306026,11.990000,6.404941,0.000000,0.000000,1.280988
-3.998419,1.838096,11.990000,6.911239,0.000000,0.000000,1.382248
-3.805083,1.370166,11.990000,7.417536,0.000000,0.000000,1.483507
-3.611747,0.902236,11.990000,7.923834,0.000000,0.000000,1.584767
-3.418410,0.434306,11.990000,8.430132,0.000000,0.000000,1.686026
-3.225074,-0.033624,11.990000,8.936429,0.000000,0.000000,1.787286
-3.031738,-0.501554,11.990000,9.442727,0.000000,0.000000,1.888545
-2.838401,-0.969484,11.990000,9.949025,0.000000,0.000000,1.989805
-2.645065,-1.437414,11.990000,10.455323,0.000000,0.000000,2.091065
-2.451729,-1.905344,11.990000,10.961620,0.000000,0.000000,2.192324
-2.258392,-2.373273,11.990000,11.467917,0.000000,0.000000,2.293583
-2.065056,-2.841203,11.990000,11.974215,0.000000,0.000000,2.394843
-1.871720,-3.309133,11.990000,12.480513,0.000000,0.000000,2.496103
-1.678383,-3.777063,11.990000,12.986811,0.000000,0.000000,2.597362
-1.485047,-4.244993,11.990000,13.493108,0.000000,0.000000,2.698622
-1.485047,-4.244993,11.990000,13.493108,0.000000,0.000000,2.698622
-2.409699,-4.230983,11.990000,14.417867,0.000000,0.000000,2.883573
-2.409699,-4.230983,11.990000,14.417867,0.000000,0.000000,2.883573
-2.405029,-4.740009,11.990000,14.926914,0.000000,0.000000,2.985383
-2.400359,-5.249035,11.990000,15.435961,0.000000,0.000000,3.087192
-2.395689,-5.758060,11.990000,15.945008,0.000000,0.000000,3.189002
-2.395689,-5.758060,11.990000,15.945008,0.000000,0.000000,3.189002
-1.878880,-5.758060,11.990000,16.461817,0.000000,0.000000,3.292363
-1.362072,-5.758060,11.990000,16.978625,0.000000,0.000000,3.395725
-0.845263,-5.758060,11.990000,17.495434,0.000000,0.000000,3.499087
-0.328454,-5.758060,11.990000,18.012243,0.000000,0.000000,3.602449
0.188355,-5.758060,11.990000,18.529052,0.000000,0.000000,3.705810
0.705164,-5.758060,11.990000,19.045861,0.000000,0.000000,3.809172
1.221973,-5.758060,11.990000,19.562670,0.000000,0.000000,3.912534
1.738782,-5.758060,11.990000,20.079479,0.000000,0.000000,4.015896
2.255590,-5.758060,11.990000,20.596287,0.000000,0.000000,4.119257
2.255590,-5.758060,11.990000,20.596287,0.000000,0.000000,4.119257
2.248586,-5.043556,11.990000,21.310825,0.000000,0.000000,4.262165
2.241581,-4.329053,11.990000,22.025362,0.000000,0.000000,4.405072
2.241581,-4.329053,11.990000,22.025362,0.000000,0.000000,4.405072
1.330938,-4.329053,11.990000,22.936005,0.000000,0.000000,4.587201
1.330938,-4.329053,11.990000,22.936005,0.000000,0.000000,4.587201
1.521473,-3.864859,11.990000,23.437782,0.000000,0.000000,4.687556
1.712007,-3.400665,11.990000,23.939558,0.000000,0.000000,4.787912
1.902542,-2.936471,11.990000,24.441335,0.000000,0.000000,4.888267
2.093076,-2.472277,11.990000,24.943111,0.000000,0.000000,4.988622
2.283610,-2.008083,11.990000,25.444887,0.000000,0.000000,5.088977
2.474145,-1.543889,11.990000,25.946663,0.000000,0.000000,5.189333
2.664679,-1.079695,11.990000,26.448439,0.000000,0.000000,5.289688
