x,y,z,p1,p2,p3,t
-1.751235,3.418410,11.100000,0.000000,0.000000,0.000000,0.000000
-1.765245,4.132914,11.100000,0.714641,0.000000,0.000000,0.142928
-1.765245,4.132914,11.100000,0.714641,0.000000,0.000000,0.142928
-2.297620,4.139919,11.100000,1.247062,0.000000,0.000000,0.249412
-2.829996,4.146924,11.100000,1.779485,0.000000,0.000000,0.355897
-3.362371,4.153929,11.100000,2.311906,0.000000,0.000000,0.462381
-3.894746,4.160934,11.100000,2.844327,0.000000,0.000000,0.568865
-4.427122,4.167939,11.100000,3.376749,0.000000,0.000000,0.675350
-4.959497,4.174944,11.100000,3.909170,0.000000,0.000000,0.781834
-4.959497,4.174944,11.100000,3.909170,0.000000,0.000000,0.781834
-4.966502,3.474450,11.100000,4.609699,0.000000,0.000000,0.921940
-4.973507,2.773956,11.100000,5.310228,0.000000,0.000000,1.062046
-4.973507,2.773956,11.100000,5.310228,0.000000,0.000000,1.062046
-4.385092,2.773956,11.100000,5.898643,0.000000,0.000000,1.179729
-4.385092,2.773956,11.100000,5.898643,0.000000,0.000000,1.179729
-4.191756,2.306026,11.100000,5.898643,0.506298,0.000000,1.280988
-3.998419,1.838096,11.100000,5.898643,1.012596,0.000000,1.382248
-3.805083,1.370166,11.100000,5.898643,1.518893,0.000000,1.483507
-3.611747,0.902236,11.100000,5.898643,2.025191,0.000000,1.584767
-3.418410,0.434306,11.100000,5.898643,2.531489,0.000000,1.686026
-3.225074,-0.033624,11.100000,5.898643,3.037787,0.000000,1.787286
-3.031738,-0.501554,11.100000,5.898643,3.544084,0.000000,1.888545
-2.838401,-0.969484,11.100000,5.898643,4.050382,0.000000,1.989805
-2.645065,-1.437414,11.100000,5.898643,4.556680,0.000000,2.091065
-2.451729,-1.905344,11.100000,5.898643,5.062977,0.000000,2.192324
-2.258392,-2.373273,11.100000,5.898643,5.569275,0.000000,2.293583
-2.065056,-2.841203,11.100000,5.898643,6.075572,0.000000,2.394843
-1.871720,-3.309133,11.100000,5.898643,6.581870,0.000000,2.496103
-1.678383,-3.777063,11.100000,5.898643,7.088168,0.000000,2.597362
-1.485047,-4.244993,11.100000,5.898643,7.594465,0.000000,2.698622
-1.485047,-4.244993,11.100000,5.898643,7.594465,0.000000,2.698622
-2.409699,-4.230983,11.100000,6.823401,7.594465,0.000000,2.883573
-2.409699,-4.230983,11.100000,6.823401,7.594465,0.000000,2.883573
-2.405029,-4.740009,11.100000,7.332448,7.594465,0.000000,2.985383
-2.400359,-5.249035,11.100000,7.841496,7.594465,0.000000,3.087192
-2.395689,-5.758060,11.100000,8.350542,7.594465,0.000000,3.189002
-2.395689,-5.758060,11.100000,8.350542,7.594465,0.000000,3.189002
-1.878880,-5.758060,11.100000,8.867351,7.594465,0.000000,3.292363
-1.362072,-5.758060,11.100000,9.384159,7.594465,0.000000,3.395725
-0.845263,-5.758060,11.100000,9.900968,7.594465,0.000000,3.499087
-0.328454,-5.758060,11.100000,10.417777,7.594465,0.000000,3.602449
0.188355,-5.758060,11.100000,10.934586,7.594465,0.000000,3.705810
0.705164,-5.758060,11.100000,11.451395,7.594465,0.000000,3.809172
1.221973,-5.758060,11.100000,11.968204,7.594465,0.000000,3.912534
1.738782,-5.758060,11.100000,12.485013,7.594465,0.000000,4.015896
2.255590,-5.758060,11.100000,13.001821,7.594465,0.000000,4.119257
2.255590,-5.758060,11.100000,13.001821,7.594465,0.000000,4.119257
2.248586,-5.043556,11.100000,13.716360,7.594465,0.000000,4.262165
2.241581,-4.329053,11.100000,14.430897,7.594465,0.000000,4.405072
2.241581,-4.329053,11.100000,14.430897,7.594465,0.000000,4.405072
1.330938,-4.329053,11.100000,15.341540,7.594465,0.000000,4.587201
1.358958,-4.329053,11.100000,15.341540,7.622485,0.000000,4.592805
1.549493,-3.864859,11.100000,15.341540,8.124262,0.000000,4.693160
1.740027,-3.400665,11.100000,15.341540,8.626038,0.000000,4.793516
1.930562,-2.936471,11.100000,15.341540,9.127814,0.000000,4.893871
2.121096,-2.472277,11.100000,15.341540,9.629590,0.000000,4.994226
2.311630,-2.008083,11.100000,15.341540,10.131367,0.000000,5.094581
2.502165,-1.543889,11.100000,15.341540,10.633143,0.000000,5.194937
2.692699,-1.079695,11.100000,15.341540,11.134919,0.000000,5.295292
2.883233,-0.615501,11.100000,15.341540,11.636695,0.000000,5.395647
3.073768,-0.151307,11.100000,15.341540,12.138472,0.000000,5.496002
3.264302,0.312887,11.100000,15.341540,12.640248,0.000000,5.596358
3.454836,0.777081,11.100000,15.341540,13.142024,0.000000,5.696713
3.645371,1.241275,11.100000,15.341540,13.643801,0.000000,5.797068
3.835905,1.705469,11.100000,15.341540,14.145577,0.000000,5.897423
4.026439,2.169663,11.100000,15.341540,14.647353,0.000000,5.997779
4.216974,2.633857,11.100000,15.341540,15.149129,0.000000,6.098134
4.188954,2.633857,11.100000,15.369560,15.149129,0.000000,6.103738
4.945487,2.647867,11.100000,16.126222,15.149129,0.000000,6.255070
4.945487,2.647867,11.100000,16.126222,15.149129,0.000000,6.255070
4.966502,3.397396,11.100000,16.876046,15.149129,0.000000,6.405035
4.987517,4.146924,11.100000,17.625869,15.149129,0.000000,6.555000
4.987517,4.146924,11.100000,17.625869,15.149129,0.000000,6.555000
4.413112,4.149259,11.100000,18.200278,15.149129,0.000000,6.669882
