x,y,z,p1,p2,p3,t
-1.751235,3.418410,7.140000,0.000000,0.000000,0.000000,0.000000
-1.765245,4.132914,7.140000,0.028721,0.000000,0.000000,0.142928
-1.765245,4.132914,7.140000,0.028721,0.000000,0.000000,0.142928
-2.297620,4.139919,7.140000,0.050119,0.000000,0.000000,0.249412
-2.829996,4.146924,7.140000,0.071516,0.000000,0.000000,0.355897
-3.362371,4.153929,7.140000,0.092914,0.000000,0.000000,0.462381
-3.894746,4.160934,7.140000,0.114312,0.000000,0.000000,0.568865
-4.427122,4.167939,7.140000,0.135709,0.000000,0.000000,0.675350
-4.959497,4.174944,7.140000,0.157107,0.000000,0.000000,0.781834
-4.959497,4.174944,7.140000,0.157107,0.000000,0.000000,0.781834
-4.966502,3.474450,7.140000,0.185261,0.000000,0.000000,0.921940
-4.973507,2.773956,7.140000,0.213415,0.000000,0.000000,1.062046
-4.973507,2.773956,7.140000,0.213415,0.000000,0.000000,1.062046
-4.385092,2.773956,7.140000,0.237063,0.000000,0.000000,1.179729
-4.385092,2.773956,7.140000,0.237063,0.000000,0.000000,1.179729
-4.191756,2.306026,7.140000,0.257411,0.000000,0.000000,1.280988
-3.998419,1.838096,7.140000,0.277758,0.000000,0.000000,1.382248
-3.805083,1.370166,7.140000,0.298106,0.000000,0.000000,1.483507
-3.611747,0.902236,7.140000,0.318454,0.000000,0.000000,1.584767
-3.418410,0.434306,7.140000,0.338802,0.000000,0.000000,1.686026
-3.225074,-0.033624,7.140000,0.359150,0.000000,0.000000,1.787286
-3.031738,-0.501554,7.140000,0.379497,0.000000,0.000000,1.888545
-2.838401,-0.969484,7.140000,0.399845,0.000000,0.000000,1.989805
-2.645065,-1.437414,7.140000,0.420193,0.000000,0.000000,2.091065
-2.451729,-1.905344,7.140000,0.440541,0.000000,0.000000,2.192324
-2.258392,-2.373273,7.140000,0.460888,0.000000,0.000000,2.293583
-2.065056,-2.841203,7.140000,0.481236,0.000000,0.000000,2.394843
-1.871720,-3.309133,7.140000,0.501584,0.000000,0.000000,2.496103
-1.678383,-3.777063,7.140000,0.521932,0.000000,0.000000,2.597362
-1.485047,-4.244993,7.140000,0.542280,0.000000,0.000000,2.698622
-1.485047,-4.244993,7.140000,0.542280,0.000000,0.000000,2.698622
-2.409699,-4.230983,7.140000,0.579445,0.000000,0.000000,2.883573
-2.409699,-4.230983,7.140000,0.579445,0.000000,0.000000,2.883573
-2.405029,-4.740009,7.140000,0.599903,0.000000,0.000000,2.985383
-2.400359,-5.249035,7.140000,0.620362,0.000000,0.000000,3.087192
-2.395689,-5.758060,7.140000,0.640820,0.000000,0.000000,3.189002
-2.395689,-5.758060,7.140000,0.640820,0.000000,0.000000,3.189002
-1.878880,-5.758060,7.140000,0.661590,0.000000,0.000000,3.292363
-1.362072,-5.758060,7.140000,0.682360,0.000000,0.000000,3.395725
-0.845263,-5.758060,7.140000,0.703131,0.000000,0.000000,3.499087
-0.328454,-5.758060,7.140000,0.723901,0.000000,0.000000,3.602449
0.188355,-5.758060,7.140000,0.744671,0.000000,0.000000,3.705810
0.705164,-5.758060,7.140000,0.765441,0.000000,0.000000,3.809172
1.221973,-5.758060,7.140000,0.786211,0.000000,0.000000,3.912534
1.738782,-5.758060,7.140000,0.806982,0.000000,0.000000,4.015896
2.255590,-5.758060,7.140000,0.827752,0.000000,0.000000,4.119257
2.255590,-5.758060,7.140000,0.827752,0.000000,0.000000,4.119257
2.248586,-5.043556,7.140000,0.856469,0.000000,0.000000,4.262165
2.241581,-4.329053,7.140000,0.885186,0.000000,0.000000,4.405072
2.241581,-4.329053,7.140000,0.885186,0.000000,0.000000,4.405072
1.330938,-4.329053,7.140000,0.921784,0.000000,0.000000,4.587201
1.330938,-4.329053,7.140000,0.921784,0.000000,0.000000,4.587201
1.521473,-3.864859,7.140000,0.941950,0.000000,0.000000,4.687556
1.712007,-3.400665,7.140000,0.962116,0.000000,0.000000,4.787912
1.902542,-2.936471,7.140000,0.982282,0.000000,0.000000,4.888267
2.093076,-2.472277,7.140000,1.002448,0.000000,0.000000,4.988622
2.283610,-2.008083,7.140000,1.022614,0.000000,0.000000,5.088977
2.474145,-1.543889,7.140000,1.042780,0.000000,0.000000,5.189333
2.664679,-1.079695,7.140000,1.062946,0.000000,0.000000,5.289688
2.855213,-0.615501,7.140000,1.083112,0.000000,0.000000,5.390043
3.045748,-0.151307,7.140000,1.103278,0.000000,0.000000,5.490398
3.236282,0.312887,7.140000,1.123444,0.000000,0.000000,5.590754
3.426816,0.777081,7.140000,1.143611,0.000000,0.000000,5.691109
3.617351,1.241275,7.140000,1.163777,0.000000,0.000000,5.791464
3.807885,1.705469,7.140000,1.183943,0.000000,0.000000,5.891819
3.998419,2.169663,7.140000,1.204109,0.000000,0.000000,5.992175
4.188954,2.633857,7.140000,1.224275,0.000000,0.000000,6.092530
4.188954,2.633857,7.140000,1.224275,0.000000,0.000000,6.092530
4.945487,2.647867,7.140000,1.254685,0.000000,0.000000,6.243862
4.945487,2.647867,7.140000,1.254685,0.000000,0.000000,6.243862
4.966502,3.397396,7.140000,1.284820,0.000000,0.000000,6.393827
4.987517,4.146924,7.140000,1.314954,0.000000,0.000000,6.543792
4.987517,4.146924,7.140000,1.314954,0.000000,0.000000,6.543792
4.413112,4.149259,7.140000,1.338040,0.000000,0.000000,6.658674
3.838707,4.151594,7.140000,1.361125,0.000000,0.000000,6.773556
3.264302,4.153929,7.140000,1.384210,0.000000,0.000000,6.888438
2.689897,4.156264,7.140000,1.407295,0.000000,0.000000,7.003319
2.115492,4.158599,7.140000,1.430380,0.000000,0.000000,7.118201
1.541087,4.160934,7.140000,1.453465,0.000000,0.000000,7.233083
1.541087,4.160934,7.140000,1.453465,0.000000,0.000000,7.233083
1.541087,3.278312,7.140000,1.488937,0.000000,0.000000,7.409608
1.527077,3.250292,7.140000,1.490197,0.000000,0.000000,7.415873
1.696805,3.257896,7.140000,1.497025,0.000000,0.000000,7.449853
1.696805,3.257896,7.140000,1.497025,0.000000,0.000000,7.449853
1.710815,4.014430,7.140000,1.527434,0.000000,0.000000,7.601186
1.770248,4.040917,7.140000,1.530050,0.000000,0.000000,7.614199
2.283943,4.038582,7.140000,1.550695,0.000000,0.000000,7.716939
2.797639,4.036247,7.140000,1.571340,0.000000,0.000000,7.819680
3.311335,4.033913,7.140000,1.591985,0.000000,0.000000,7.922420
3.825030,4.031578,7.140000,1.612631,0.000000,0.000000,8.025160
4.338726,4.029243,7.140000,1.633276,0.000000,0.000000,8.127900
4.852421,4.026908,7.140000,1.653921,0.000000,0.000000,8.230640
4.861428,3.992815,7.140000,1.655339,0.000000,0.000000,8.237693
4.847418,3.376381,7.140000,1.680119,0.000000,0.000000,8.361011
4.833408,2.759946,7.140000,1.704900,0.000000,0.000000,8.484330
4.833408,2.759946,7.140000,1.704900,0.000000,0.000000,8.484330
4.118904,2.759946,7.140000,1.733615,0.000000,0.000000,8.627231
4.118904,2.759946,7.140000,1.733615,0.000000,0.000000,8.627231
3.920898,2.280808,7.140000,1.754451,0.000000,0.000000,8.730919
3.722892,1.801670,7.140000,1.775287,0.000000,0.000000,8.834607
3.524885,1.322533,7.140000,1.796122,0.000000,0.000000,8.938295
3.326879,0.843395,7.140000,1.816958,0.000000,0.000000,9.041983
3.128873,0.364257,7.140000,1.837794,0.000000,0.000000,9.145671
2.930867,-0.114881,7.140000,1.858630,0.000000,0.000000,9.249358
2.732860,-0.594019,7.140000,1.879465,0.000000,0.000000,9.353046
2.534854,-1.073157,7.140000,1.900301,0.000000,0.000000,9.456734
2.336848,-1.552295,7.140000,1.921137,0.000000,0.000000,9.560422
2.138841,-2.031432,7.140000,1.941973,0.000000,0.000000,9.664110
1.940835,-2.510570,7.140000,1.962808,0.000000,0.000000,9.767798
1.742829,-2.989708,7.140000,1.983644,0.000000,0.000000,9.871486
1.544823,-3.468846,7.140000,2.004480,0.000000,0.000000,9.975174
1.346816,-3.947984,7.140000,2.025316,0.000000,0.000000,10.078862
1.148810,-4.427122,7.140000,2.046151,0.000000,0.000000,10.182550
1.148810,-4.427122,7.140000,2.046151,0.000000,0.000000,10.182550
1.653166,-4.427122,7.140000,2.066421,0.000000,0.000000,10.283421
2.157521,-4.427122,7.140000,2.086691,0.000000,0.000000,10.384292
2.157521,-4.427122,7.140000,2.086691,0.000000,0.000000,10.384292
2.145260,-5.037426,7.140000,2.111224,0.000000,0.000000,10.506377
2.133000,-5.647730,7.140000,2.135756,0.000000,0.000000,10.628463
2.133000,-5.647730,7.140000,2.135756,0.000000,0.000000,10.628463
1.579172,-5.645760,7.140000,2.158014,0.000000,0.000000,10.739229
1.025345,-5.643791,7.140000,2.180273,0.000000,0.000000,10.849995
0.471517,-5.641821,7.140000,2.202531,0.000000,0.000000,10.960761
-0.082310,-5.639851,7.140000,2.224789,0.000000,0.000000,11.071528
-0.636138,-5.637881,7.140000,2.247047,0.000000,0.000000,11.182294
-1.189965,-5.635911,7.140000,2.269305,0.000000,0.000000,11.293060
-1.743793,-5.633941,7.140000,2.291563,0.000000,0.000000,11.403826
-2.297620,-5.631971,7.140000,2.313821,0.000000,0.000000,11.514592
-2.297620,-5.631971,7.140000,2.313821,0.000000,0.000000,11.514592
