x,y,z,p1,p2,p3,t
-1.876441,3.369887,8.800000,0.000000,0.000000,0.000000,0.000000
-1.876502,4.023920,8.800000,0.000000,0.026285,0.000000,0.130806
-1.876502,4.023920,8.800000,0.000000,0.026285,0.000000,0.130806
-1.876441,3.369887,8.800000,0.000000,0.052570,0.000000,0.261613
-1.876441,3.369887,7.800000,0.000000,0.052570,0.000000,1.261613
-1.876441,3.369887,6.600000,0.000000,0.052570,0.000000,1.321613
-1.876502,4.026420,6.600000,0.000000,0.052570,0.000000,1.354440
-1.876502,4.026420,8.800000,0.000000,0.052570,0.000000,1.464440
-1.876502,4.026420,8.800000,0.000000,0.052570,0.000000,1.464440
-2.467895,4.024577,8.800000,0.000000,0.076338,0.000000,1.582719
-3.059288,4.022735,8.800000,0.000000,0.100106,0.000000,1.700998
-3.650680,4.020893,8.800000,0.000000,0.123874,0.000000,1.819277
-4.242073,4.019050,8.800000,0.000000,0.147642,0.000000,1.937556
-4.833465,4.017208,8.800000,0.000000,0.171409,0.000000,2.055835
-4.833465,4.014708,8.800000,0.000000,0.171510,0.000000,2.056335
-4.845543,3.454965,8.800000,0.000000,0.194011,0.000000,2.168310
-4.857621,2.895223,8.800000,0.000000,0.216512,0.000000,2.280284
-4.857621,2.895223,8.800000,0.000000,0.216512,0.000000,2.280284
-4.331757,2.899508,8.800000,0.000000,0.237647,0.000000,2.385460
-4.331757,2.899508,8.800000,0.000000,0.237647,0.000000,2.385460
-4.129475,2.413226,8.800000,0.000000,0.258813,0.000000,2.490796
-3.927193,1.926943,8.800000,0.000000,0.279980,0.000000,2.596131
-3.724911,1.440661,8.800000,0.000000,0.301147,0.000000,2.701467
-3.522629,0.954378,8.800000,0.000000,0.322314,0.000000,2.806802
-3.320347,0.468096,8.800000,0.000000,0.343481,0.000000,2.912137
-3.118065,-0.018187,8.800000,0.000000,0.364647,0.000000,3.017473
-2.915783,-0.504470,8.800000,0.000000,0.385814,0.000000,3.122808
-2.713501,-0.990752,8.800000,0.000000,0.406981,0.000000,3.228144
-2.511219,-1.477035,8.800000,0.000000,0.428148,0.000000,3.333479
-2.308936,-1.963317,8.800000,0.000000,0.449315,0.000000,3.438815
-2.106654,-2.449600,8.800000,0.000000,0.470482,0.000000,3.544150
-1.904372,-2.935883,8.800000,0.000000,0.491648,0.000000,3.649485
-1.702090,-3.422165,8.800000,0.000000,0.512815,0.000000,3.754821
-1.499808,-3.908448,8.800000,0.000000,0.533982,0.000000,3.860156
-1.297526,-4.394730,8.800000,0.000000,0.555149,0.000000,3.965492
-1.297526,-4.394730,8.800000,0.000000,0.555149,0.000000,3.965492
-1.797573,-4.396916,8.800000,0.000000,0.575246,0.000000,4.065502
-2.297620,-4.399102,8.800000,0.000000,0.595342,0.000000,4.165512
-2.297620,-4.399102,8.800000,0.000000,0.595342,0.000000,4.165512
-2.297620,-5.015537,8.800000,0.000000,0.620117,0.000000,4.288799
-2.297620,-5.631971,8.800000,0.000000,0.644891,0.000000,4.412086
-2.270869,-5.631971,8.800000,0.000000,0.645966,0.000000,4.417437
-1.719224,-5.632551,8.800000,0.000000,0.668136,0.000000,4.527766
-1.167579,-5.633131,8.800000,0.000000,0.690306,0.000000,4.638095
-0.615934,-5.633712,8.800000,0.000000,0.712477,0.000000,4.748424
-0.064290,-5.634292,8.800000,0.000000,0.734647,0.000000,4.858753
0.487355,-5.634872,8.800000,0.000000,0.756817,0.000000,4.969082
1.039000,-5.635452,8.800000,0.000000,0.778987,0.000000,5.079411
1.590645,-5.636032,8.800000,0.000000,0.801158,0.000000,5.189740
2.142290,-5.636612,8.800000,0.000000,0.823328,0.000000,5.300069
2.142290,-5.636612,8.800000,0.000000,0.823328,0.000000,5.300069
2.145508,-5.031867,8.800000,0.000000,0.847633,0.000000,5.421019
2.148727,-4.427122,8.800000,0.000000,0.871937,0.000000,5.541970
2.157521,-4.427122,8.800000,0.000000,0.872291,0.000000,5.543729
1.654416,-4.427122,8.800000,0.000000,0.892510,0.000000,5.644350
1.151310,-4.427122,8.800000,0.000000,0.912730,0.000000,5.744971
1.151310,-4.427122,8.800000,0.000000,0.912730,0.000000,5.744971
1.349150,-3.947984,8.800000,0.000000,0.933563,0.000000,5.848647
1.546989,-3.468846,8.800000,0.000000,0.954396,0.000000,5.952322
1.744829,-2.989708,8.800000,0.000000,0.975229,0.000000,6.055997
1.942669,-2.510570,8.800000,0.000000,0.996063,0.000000,6.159672
2.140508,-2.031432,8.800000,0.000000,1.016896,0.000000,6.263347
2.338348,-1.552295,8.800000,0.000000,1.037729,0.000000,6.367022
2.536187,-1.073157,8.800000,0.000000,1.058562,0.000000,6.470698
2.734027,-0.594019,8.800000,0.000000,1.079395,0.000000,6.574373
2.931867,-0.114881,8.800000,0.000000,1.100229,0.000000,6.678048
3.129706,0.364257,8.800000,0.000000,1.121062,0.000000,6.781723
3.327546,0.843395,8.800000,0.000000,1.141895,0.000000,6.885398
3.525385,1.322533,8.800000,0.000000,1.162728,0.000000,6.989074
3.723225,1.801670,8.800000,0.000000,1.183561,0.000000,7.092749
3.921065,2.280808,8.800000,0.000000,1.204395,0.000000,7.196424
4.118904,2.759946,8.800000,0.000000,1.225228,0.000000,7.300099
4.118904,2.759946,8.800000,0.000000,1.225228,0.000000,7.300099
4.833408,2.759946,8.800000,0.000000,1.253943,0.000000,7.443000
4.833408,2.759946,8.800000,0.000000,1.253943,0.000000,7.443000
4.847418,3.376381,8.800000,0.000000,1.278724,0.000000,7.566319
4.861428,3.992815,8.800000,0.000000,1.303504,0.000000,7.689637
4.852421,4.026908,8.800000,0.000000,1.304921,0.000000,7.696690
4.338726,4.029243,8.800000,0.000000,1.325567,0.000000,7.799430
3.825030,4.031578,8.800000,0.000000,1.346212,0.000000,7.902170
3.311335,4.033913,8.800000,0.000000,1.366857,0.000000,8.004910
2.797639,4.036247,8.800000,0.000000,1.387503,0.000000,8.107650
2.283943,4.038582,8.800000,0.000000,1.408148,0.000000,8.210391
1.770248,4.040917,8.800000,0.000000,1.428793,0.000000,8.313131
1.770248,4.040917,8.800000,0.000000,1.428793,0.000000,8.313131
1.754921,3.415033,8.800000,0.000000,1.453955,0.000000,8.438345
1.754921,3.415033,7.800000,0.000000,1.453955,0.000000,9.438345
1.754921,3.415033,6.600000,0.000000,1.453955,0.000000,9.498345
-1.876502,4.026420,6.600000,0.000000,1.453955,0.000000,9.682472
-1.876502,4.026420,8.800000,0.000000,1.453955,0.000000,9.792472
-1.876502,4.026420,8.800000,0.000000,1.453955,0.000000,9.792472
-2.467895,4.024077,8.800000,0.000000,1.477723,0.000000,9.910751
-3.059288,4.021735,8.800000,0.000000,1.501491,0.000000,10.029031
-3.650680,4.019393,8.800000,0.000000,1.525258,0.000000,10.147310
-4.242073,4.017050,8.800000,0.000000,1.549026,0.000000,10.265590
-4.833465,4.014708,8.800000,0.000000,1.572794,0.000000,10.383869
-4.833465,4.014708,8.800000,0.000000,1.572794,0.000000,10.383869
-4.845543,3.454965,8.800000,0.000000,1.595295,0.000000,10.495843
-4.857621,2.895223,8.800000,0.000000,1.617796,0.000000,10.607818
-4.857621,2.895223,7.800000,0.000000,1.617796,0.000000,11.607818
-4.857621,2.895223,6.600000,0.000000,1.617796,0.000000,11.667818
-2.919534,3.378153,6.600000,0.000000,1.617796,0.000000,11.767685
-2.919534,3.378153,8.800000,0.000000,1.617796,0.000000,11.877685
-2.919534,3.378153,8.800000,0.000000,1.617796,0.000000,11.877685
-2.757632,2.900076,8.800000,0.020285,1.617796,0.000000,11.978635
-2.595730,2.421999,8.800000,0.040571,1.617796,0.000000,12.079585
