x,y,z,p1,p2,p3,t
-3.218521,-4.336404,5.860000,0.000000,0.000000,0.000000,0.000000
-2.725096,-4.336404,5.860000,0.000000,0.493425,0.000000,0.098685
-2.231672,-4.336404,5.860000,0.000000,0.986849,0.000000,0.197370
-1.738247,-4.336404,5.860000,0.000000,1.480274,0.000000,0.296055
-1.244822,-4.336404,5.860000,0.000000,1.973699,0.000000,0.394740
-0.751398,-4.336404,5.860000,0.000000,2.467123,0.000000,0.493425
-0.257973,-4.336404,5.860000,0.000000,2.960548,0.000000,0.592110
0.235452,-4.336404,5.860000,0.000000,3.453973,0.000000,0.690795
0.728876,-4.336404,5.860000,0.000000,3.947397,0.000000,0.789479
1.222301,-4.336404,5.860000,0.000000,4.440822,0.000000,0.888164
1.715726,-4.336404,5.860000,0.000000,4.934247,0.000000,0.986849
2.209150,-4.336404,5.860000,0.000000,5.427671,0.000000,1.085534
2.702575,-4.336404,5.860000,0.000000,5.921096,0.000000,1.184219
2.702575,-3.848098,5.860000,0.000000,6.409402,0.000000,1.281880
2.702575,-3.359792,5.860000,0.000000,6.897708,0.000000,1.379542
2.702575,-2.871486,5.860000,0.000000,7.386015,0.000000,1.477203
2.702575,-2.383180,5.860000,0.000000,7.874321,0.000000,1.574864
2.702575,-1.894874,5.860000,0.000000,8.362627,0.000000,1.672525
2.702575,-1.406567,5.860000,0.000000,8.850933,0.000000,1.770187
2.702575,-0.918261,5.860000,0.000000,9.339239,0.000000,1.867848
2.702575,-0.429955,5.860000,0.000000,9.827545,0.000000,1.965509
2.702575,0.058351,5.860000,0.000000,10.315852,0.000000,2.063170
2.702575,0.546657,5.860000,0.000000,10.804158,0.000000,2.160832
2.702575,1.034963,5.860000,0.000000,11.292464,0.000000,2.258493
2.702575,1.523270,5.860000,0.000000,11.780770,0.000000,2.356154
2.702575,2.011576,5.860000,0.000000,12.269076,0.000000,2.453815
2.702575,2.499882,5.860000,0.000000,12.757382,0.000000,2.551476
2.702575,2.988188,5.860000,0.000000,13.245689,0.000000,2.649138
2.702575,3.476494,5.860000,0.000000,13.733995,0.000000,2.746799
2.209150,3.476494,5.860000,0.000000,14.227419,0.000000,2.845484
1.715726,3.476494,5.860000,0.000000,14.720844,0.000000,2.944169
1.222301,3.476494,5.860000,0.000000,15.214269,0.000000,3.042854
0.728876,3.476494,5.860000,0.000000,15.707694,0.000000,3.141539
0.235452,3.476494,5.860000,0.000000,16.201118,0.000000,3.240224
-0.257973,3.476494,5.860000,0.000000,16.694543,0.000000,3.338909
-0.751398,3.476494,5.860000,0.000000,17.187968,0.000000,3.437594
-1.244822,3.476494,5.860000,0.000000,17.681392,0.000000,3.536278
-1.738247,3.476494,5.860000,0.000000,18.174817,0.000000,3.634963
-2.231672,3.476494,5.860000,0.000000,18.668242,0.000000,3.733648
-2.725096,3.476494,5.860000,0.000000,19.161666,0.000000,3.832333
-3.218521,3.476494,5.860000,0.000000,19.655091,0.000000,3.931018
-3.218521,2.955634,5.860000,0.000000,20.175951,0.000000,4.035190
-3.218521,2.434774,5.860000,0.000000,20.696811,0.000000,4.139362
-3.218521,1.913914,5.860000,0.000000,21.217671,0.000000,4.243534
-3.218521,1.393055,5.860000,0.000000,21.738531,0.000000,4.347706
-3.218521,0.872195,5.860000,0.000000,22.259391,0.000000,4.451878
-3.218521,0.351335,5.860000,0.000000,22.780250,0.000000,4.556050
-3.218521,-0.169525,5.860000,0.000000,23.301110,0.000000,4.660222
-3.218521,-0.690385,5.860000,0.000000,23.821970,0.000000,4.764394
-3.218521,-1.211245,5.860000,0.000000,24.342830,0.000000,4.868566
-3.218521,-1.732105,5.860000,0.000000,24.863690,0.000000,4.972738
-3.218521,-2.252965,5.860000,0.000000,25.384550,0.000000,5.076910
-3.218521,-2.773825,5.860000,0.000000,25.905410,0.000000,5.181082
-3.218521,-3.294685,5.860000,0.000000,26.426270,0.000000,5.285254
-3.218521,-3.815545,5.860000,0.000000,26.947130,0.000000,5.389426
-3.218521,-4.336404,5.860000,0.000000,27.467990,0.000000,5.493598
-3.218521,-4.336404,3.660000,0.000000,27.467990,0.000000,5.603598
