x,y,z,p1,p2,p3,t
-6.515882,-3.411754,-23.090000,0.000000,0.000000,0.000000,0.000000
-6.515882,-2.880101,-23.090000,0.035232,0.000000,0.000000,0.106331
-6.515882,-2.348449,-23.090000,0.070463,0.000000,0.000000,0.212661
-6.515882,-1.816796,-23.090000,0.105695,0.000000,0.000000,0.318992
-6.515882,-1.285143,-23.090000,0.140926,0.000000,0.000000,0.425322
-6.515882,-0.753490,-23.090000,0.176158,0.000000,0.000000,0.531653
-6.515882,-0.221837,-23.090000,0.211389,0.000000,0.000000,0.637983
-6.515882,-0.221837,-23.090000,0.211389,0.000000,0.000000,0.637983
-5.984472,-0.221837,-23.090000,0.246605,0.000000,0.000000,0.744265
-5.453063,-0.221837,-23.090000,0.281820,0.000000,0.000000,0.850547
-4.921653,-0.221837,-23.090000,0.317036,0.000000,0.000000,0.956829
-4.390244,-0.221837,-23.090000,0.352251,0.000000,0.000000,1.063111
-3.858834,-0.221837,-23.090000,0.387466,0.000000,0.000000,1.169393
-3.327425,-0.221837,-23.090000,0.422682,0.000000,0.000000,1.275675
-2.796015,-0.221837,-23.090000,0.457897,0.000000,0.000000,1.381957
-2.264605,-0.221837,-23.090000,0.493113,0.000000,0.000000,1.488239
-2.264605,-0.221837,-23.090000,0.493113,0.000000,0.000000,1.488239
-2.264605,0.324595,-23.090000,0.529324,0.000000,0.000000,1.597525
-2.264605,0.871027,-23.090000,0.565535,0.000000,0.000000,1.706811
-2.264605,1.417459,-23.090000,0.601746,0.000000,0.000000,1.816098
-2.264605,1.963891,-23.090000,0.637957,0.000000,0.000000,1.925384
-2.264605,2.510322,-23.090000,0.674167,0.000000,0.000000,2.034671
-2.264605,3.056754,-23.090000,0.710378,0.000000,0.000000,2.143957
-2.264605,3.603186,-23.090000,0.746589,0.000000,0.000000,2.253243
-2.264605,4.149618,-23.090000,0.782800,0.000000,0.000000,2.362530
-2.264605,4.696050,-23.090000,0.819011,0.000000,0.000000,2.471816
-2.264605,5.242482,-23.090000,0.855222,0.000000,0.000000,2.581103
-2.264605,5.242482,-23.090000,0.855222,0.000000,0.000000,2.581103
-1.724810,5.242482,-23.090000,0.890993,0.000000,0.000000,2.689062
-1.185015,5.242482,-23.090000,0.926764,0.000000,0.000000,2.797021
-0.645220,5.242482,-23.090000,0.962535,0.000000,0.000000,2.904980
-0.105426,5.242482,-23.090000,0.998307,0.000000,0.000000,3.012939
0.434369,5.242482,-23.090000,1.034078,0.000000,0.000000,3.120898
0.974164,5.242482,-23.090000,1.069849,0.000000,0.000000,3.228857
1.513959,5.242482,-23.090000,1.105620,0.000000,0.000000,3.336815
2.053754,5.242482,-23.090000,1.141391,0.000000,0.000000,3.444774
2.593549,5.242482,-23.090000,1.177162,0.000000,0.000000,3.552733
2.593549,5.242482,-23.090000,1.177162,0.000000,0.000000,3.552733
2.593549,4.720586,-23.090000,1.211747,0.000000,0.000000,3.657113
2.593549,4.198690,-23.090000,1.246332,0.000000,0.000000,3.761492
2.593549,3.676794,-23.090000,1.280917,0.000000,0.000000,3.865871
2.593549,3.154898,-23.090000,1.315502,0.000000,0.000000,3.970250
2.593549,2.633002,-23.090000,1.350087,0.000000,0.000000,4.074629
2.593549,2.111106,-23.090000,1.384672,0.000000,0.000000,4.179009
2.593549,1.589210,-23.090000,1.419257,0.000000,0.000000,4.283388
2.593549,1.067314,-23.090000,1.453842,0.000000,0.000000,4.387767
2.593549,1.067314,-23.090000,1.453842,0.000000,0.000000,4.387767
3.106370,1.067314,-23.090000,1.487826,0.000000,0.000000,4.490331
3.619191,1.067314,-23.090000,1.521809,0.000000,0.000000,4.592895
4.132011,1.067314,-23.090000,1.555793,0.000000,0.000000,4.695459
4.644832,1.067314,-23.090000,1.589776,0.000000,0.000000,4.798024
5.157653,1.067314,-23.090000,1.623760,0.000000,0.000000,4.900588
