x,y,z,p1,p2,p3,t
-7.047293,-3.649295,-23.090000,0.000000,0.000000,0.000000,0.000000
-6.920264,-3.649295,-23.090000,0.000000,0.008418,0.000000,0.025406
-6.793236,-3.649295,-23.090000,0.000000,0.016836,0.000000,0.050811
-6.666208,-3.649295,-23.090000,0.000000,0.025254,0.000000,0.076217
-6.539180,-3.649295,-23.090000,0.000000,0.033672,0.000000,0.101622
-6.412152,-3.649295,-23.090000,0.000000,0.042089,0.000000,0.127028
-6.285124,-3.649295,-23.090000,0.000000,0.050507,0.000000,0.152434
-6.158096,-3.649295,-23.090000,0.000000,0.058925,0.000000,0.177839
-6.031068,-3.649295,-23.090000,0.000000,0.067343,0.000000,0.203245
-5.904040,-3.649295,-23.090000,0.000000,0.075761,0.000000,0.228651
-5.777012,-3.649295,-23.090000,0.000000,0.084179,0.000000,0.254056
-5.649984,-3.649295,-23.090000,0.000000,0.092597,0.000000,0.279462
-5.522956,-3.649295,-23.090000,0.000000,0.101015,0.000000,0.304867
-5.395927,-3.649295,-23.090000,0.000000,0.109433,0.000000,0.330273
-5.268899,-3.649295,-23.090000,0.000000,0.117851,0.000000,0.355679
-5.141871,-3.649295,-23.090000,0.000000,0.126268,0.000000,0.381084
-5.014843,-3.649295,-23.090000,0.000000,0.134686,0.000000,0.406490
-4.887815,-3.649295,-23.090000,0.000000,0.143104,0.000000,0.431895
-4.760787,-3.649295,-23.090000,0.000000,0.151522,0.000000,0.457301
-4.633759,-3.649295,-23.090000,0.000000,0.159940,0.000000,0.482707
-4.633759,-1.742864,-23.090000,0.000000,0.286275,0.000000,0.863993
-4.760787,-1.742864,-23.090000,0.000000,0.294693,0.000000,0.889399
-4.887815,-1.742864,-23.090000,0.000000,0.303111,0.000000,0.914804
-5.014843,-1.742864,-23.090000,0.000000,0.311529,0.000000,0.940210
-5.141871,-1.742864,-23.090000,0.000000,0.319947,0.000000,0.965615
-5.268899,-1.742864,-23.090000,0.000000,0.328365,0.000000,0.991021
-5.395927,-1.742864,-23.090000,0.000000,0.336783,0.000000,1.016427
-5.522956,-1.742864,-23.090000,0.000000,0.345201,0.000000,1.041832
-5.649984,-1.742864,-23.090000,0.000000,0.353618,0.000000,1.067238
-5.777012,-1.742864,-23.090000,0.000000,0.362036,0.000000,1.092643
-5.904040,-1.742864,-23.090000,0.000000,0.370454,0.000000,1.118049
-6.031068,-1.742864,-23.090000,0.000000,0.378872,0.000000,1.143455
-6.158096,-1.742864,-23.090000,0.000000,0.387290,0.000000,1.168860
-6.285124,-1.742864,-23.090000,0.000000,0.395708,0.000000,1.194266
-6.412152,-1.742864,-23.090000,0.000000,0.404126,0.000000,1.219672
-6.539180,-1.742864,-23.090000,0.000000,0.412544,0.000000,1.245077
-6.666208,-1.742864,-23.090000,0.000000,0.420962,0.000000,1.270483
-6.793236,-1.742864,-23.090000,0.000000,0.429379,0.000000,1.295888
-6.920264,-1.742864,-23.090000,0.000000,0.437797,0.000000,1.321294
-7.047293,-1.742864,-23.090000,0.000000,0.446215,0.000000,1.346700
-7.050147,-1.749568,-23.090000,0.000000,0.446698,0.000000,1.348157
-6.806889,-1.749568,-23.090000,0.000000,0.462818,0.000000,1.396809
-6.563631,-1.749568,-23.090000,0.000000,0.478939,0.000000,1.445460
-6.320374,-1.749568,-23.090000,0.000000,0.495059,0.000000,1.494112
-6.077116,-1.749568,-23.090000,0.000000,0.511179,0.000000,1.542763
-5.833858,-1.749568,-23.090000,0.000000,0.527299,0.000000,1.591415
-5.590600,-1.749568,-23.090000,0.000000,0.543419,0.000000,1.640066
-5.347343,-1.749568,-23.090000,0.000000,0.559540,0.000000,1.688718
-5.104085,-1.749568,-23.090000,0.000000,0.575660,0.000000,1.737369
-4.860827,-1.749568,-23.090000,0.000000,0.591780,0.000000,1.786021
-4.617569,-1.749568,-23.090000,0.000000,0.607900,0.000000,1.834673
-4.374311,-1.749568,-23.090000,0.000000,0.624020,0.000000,1.883324
-4.131054,-1.749568,-23.090000,0.000000,0.640141,0.000000,1.931976
-3.887796,-1.749568,-23.090000,0.000000,0.656261,0.000000,1.980627
-3.644538,-1.749568,-23.090000,0.000000,0.672381,0.000000,2.029279
-3.401280,-1.749568,-23.090000,0.000000,0.688501,0.000000,2.077930
-3.158022,-1.749568,-23.090000,0.000000,0.704621,0.000000,2.126582
-2.914765,-1.749568,-23.090000,0.000000,0.720742,0.000000,2.175234
-2.671507,-1.749568,-23.090000,0.000000,0.736862,0.000000,2.223885
