x,y,z,p1,p2,p3,t
-1.580836,-2.708227,-43.450000,0.000000,0.000000,0.000000,0.000000
-1.650340,-2.202544,-43.450000,0.510438,0.000000,0.000000,0.102088
-1.853699,-1.734364,-43.450000,1.020876,0.000000,0.000000,0.204175
-2.175831,-1.338412,-43.450000,1.531314,0.000000,0.000000,0.306263
-2.592843,-1.044052,-43.450000,2.041752,0.000000,0.000000,0.408350
-3.073809,-0.873117,-43.450000,2.552190,0.000000,0.000000,0.510438
-3.583057,-0.838283,-43.450000,3.062628,0.000000,0.000000,0.612526
-4.082819,-0.942135,-43.450000,3.573067,0.000000,0.000000,0.714613
-4.536029,-1.176969,-43.450000,4.083505,0.000000,0.000000,0.816701
-4.909076,-1.525371,-43.450000,4.593943,0.000000,0.000000,0.918789
-5.174291,-1.961499,-43.450000,5.104381,0.000000,0.000000,1.020876
-5.312006,-2.453008,-43.450000,5.614819,0.000000,0.000000,1.122964
-5.312006,-2.963447,-43.450000,6.125257,0.000000,0.000000,1.225051
-5.174291,-3.454956,-43.450000,6.635695,0.000000,0.000000,1.327139
-4.909076,-3.891084,-43.450000,7.146133,0.000000,0.000000,1.429227
-4.536029,-4.239485,-43.450000,7.656571,0.000000,0.000000,1.531314
-4.082819,-4.474320,-43.450000,8.167009,0.000000,0.000000,1.633402
-3.583057,-4.578172,-43.450000,8.677447,0.000000,0.000000,1.735489
-3.073809,-4.543338,-43.450000,9.187885,0.000000,0.000000,1.837577
-2.592843,-4.372403,-43.450000,9.698323,0.000000,0.000000,1.939665
-2.175831,-4.078043,-43.450000,10.208761,0.000000,0.000000,2.041752
-1.853699,-3.682091,-43.450000,10.719200,0.000000,0.000000,2.143840
-1.650340,-3.213911,-43.450000,11.229638,0.000000,0.000000,2.245928
-1.580836,-2.708227,-43.450000,11.740076,0.000000,0.000000,2.348015
-1.580836,-2.708227,-45.650000,11.740076,0.000000,0.000000,2.458015
4.583220,-3.785421,-45.650000,11.740076,0.000000,0.000000,2.770889
4.583220,-3.785421,-43.450000,11.740076,0.000000,0.000000,2.880889
4.583220,-3.785421,-43.450000,11.740076,0.000000,0.000000,2.880889
4.523652,-3.485950,-43.450000,12.045414,0.000000,0.000000,2.941956
4.354015,-3.232071,-43.450000,12.350752,0.000000,0.000000,3.003024
4.100136,-3.062434,-43.450000,12.656090,0.000000,0.000000,3.064091
