x,y,z,p1,p2,p3,t
4.149317,1.209023,-22.890000,0.000000,0.000000,0.000000,0.000000
4.647120,1.284054,-22.890000,0.066722,0.000000,0.000000,0.100685
5.128181,1.432442,-22.890000,0.133444,0.000000,0.000000,0.201371
5.581752,1.650870,-22.890000,0.200166,0.000000,0.000000,0.302056
5.997702,1.934461,-22.890000,0.266888,0.000000,0.000000,0.402741
6.366740,2.276877,-22.890000,0.333610,0.000000,0.000000,0.503426
6.680621,2.670472,-22.890000,0.400332,0.000000,0.000000,0.604112
6.932334,3.106452,-22.890000,0.467055,0.000000,0.000000,0.704797
7.116257,3.575078,-22.890000,0.533777,0.000000,0.000000,0.805482
7.228279,4.065883,-22.890000,0.600499,0.000000,0.000000,0.906167
7.265901,4.567901,-22.890000,0.667221,0.000000,0.000000,1.006853
7.228279,5.069920,-22.890000,0.733943,0.000000,0.000000,1.107538
7.116257,5.560724,-22.890000,0.800665,0.000000,0.000000,1.208223
6.932334,6.029351,-22.890000,0.867387,0.000000,0.000000,1.308908
6.680621,6.465331,-22.890000,0.934109,0.000000,0.000000,1.409594
6.366740,6.858925,-22.890000,1.000831,0.000000,0.000000,1.510279
5.997702,7.201342,-22.890000,1.067553,0.000000,0.000000,1.610964
5.581752,7.484932,-22.890000,1.134275,0.000000,0.000000,1.711649
5.128181,7.703361,-22.890000,1.200997,0.000000,0.000000,1.812335
4.647120,7.851748,-22.890000,1.267720,0.000000,0.000000,1.913020
4.149317,7.926780,-22.890000,1.334442,0.000000,0.000000,2.013705
3.645890,7.926780,-22.890000,1.401164,0.000000,0.000000,2.114391
3.148087,7.851748,-22.890000,1.467886,0.000000,0.000000,2.215076
2.667026,7.703361,-22.890000,1.534608,0.000000,0.000000,2.315761
2.213455,7.484932,-22.890000,1.601330,0.000000,0.000000,2.416446
1.797505,7.201342,-22.890000,1.668052,0.000000,0.000000,2.517132
1.428467,6.858925,-22.890000,1.734774,0.000000,0.000000,2.617817
1.114586,6.465331,-22.890000,1.801496,0.000000,0.000000,2.718502
0.862873,6.029351,-22.890000,1.868218,0.000000,0.000000,2.819187
0.678950,5.560724,-22.890000,1.934940,0.000000,0.000000,2.919873
0.566927,5.069920,-22.890000,2.001662,0.000000,0.000000,3.020558
0.529306,4.567901,-22.890000,2.068384,0.000000,0.000000,3.121243
0.566927,4.065883,-22.890000,2.135107,0.000000,0.000000,3.221928
0.678950,3.575078,-22.890000,2.201829,0.000000,0.000000,3.322614
0.862873,3.106452,-22.890000,2.268551,0.000000,0.000000,3.423299
1.114586,2.670472,-22.890000,2.335273,0.000000,0.000000,3.523984
1.428467,2.276877,-22.890000,2.401995,0.000000,0.000000,3.624669
1.797505,1.934461,-22.890000,2.468717,0.000000,0.000000,3.725355
2.213455,1.650870,-22.890000,2.535439,0.000000,0.000000,3.826040
2.667026,1.432442,-22.890000,2.602161,0.000000,0.000000,3.926725
3.148087,1.284054,-22.890000,2.668883,0.000000,0.000000,4.027411
3.645890,1.209023,-22.890000,2.735605,0.000000,0.000000,4.128096
4.149317,1.209023,-22.890000,2.802327,0.000000,0.000000,4.228781
4.647120,1.284054,-22.890000,2.869049,0.000000,0.000000,4.329466
5.121632,1.430422,-22.890000,2.934863,0.000000,0.000000,4.428781
5.121632,1.430422,-23.890000,2.934863,0.000000,0.000000,5.428781
5.121632,1.430422,-25.290000,2.934863,0.000000,0.000000,5.498781
