x,y,z,p1,p2,p3,t
0.582666,0.351439,-22.890000,0.000000,0.000000,0.000000,0.000000
0.506545,0.734123,-22.890000,0.051713,0.000000,0.000000,0.078036
0.289773,1.058546,-22.890000,0.103426,0.000000,0.000000,0.156072
-0.034651,1.275319,-22.890000,0.155139,0.000000,0.000000,0.234108
-0.417334,1.351439,-22.890000,0.206852,0.000000,0.000000,0.312145
-0.800018,1.275319,-22.890000,0.258565,0.000000,0.000000,0.390181
-1.124441,1.058546,-22.890000,0.310278,0.000000,0.000000,0.468217
-1.341214,0.734123,-22.890000,0.361991,0.000000,0.000000,0.546253
-1.417334,0.351439,-22.890000,0.413704,0.000000,0.000000,0.624289
-1.341214,-0.031244,-22.890000,0.465417,0.000000,0.000000,0.702325
-1.124441,-0.355667,-22.890000,0.517130,0.000000,0.000000,0.780361
-0.800018,-0.572440,-22.890000,0.568843,0.000000,0.000000,0.858397
-0.417334,-0.648561,-22.890000,0.620556,0.000000,0.000000,0.936434
-0.034651,-0.572440,-22.890000,0.672268,0.000000,0.000000,1.014470
0.289773,-0.355667,-22.890000,0.723981,0.000000,0.000000,1.092506
0.506545,-0.031244,-22.890000,0.775694,0.000000,0.000000,1.170542
0.582666,0.351439,-22.890000,0.827407,0.000000,0.000000,1.248578
0.506545,0.734123,-22.890000,0.879120,0.000000,0.000000,1.326614
0.289773,1.058546,-22.890000,0.930833,0.000000,0.000000,1.404650
0.107150,1.180571,-22.890000,0.959943,0.000000,0.000000,1.448578
0.107150,1.180571,-23.890000,0.959943,0.000000,0.000000,2.448578
0.107150,1.180571,-25.290000,0.959943,0.000000,0.000000,2.518578
0.582666,0.351439,-25.290000,0.959943,0.000000,0.000000,2.566369
0.582666,0.351439,-23.090000,0.959943,0.000000,0.000000,2.676369
0.582666,0.351439,-23.090000,0.959943,0.000000,0.000000,2.676369
0.506545,0.734123,-23.090000,1.011656,0.000000,0.000000,2.754405
0.289773,1.058546,-23.090000,1.063369,0.000000,0.000000,2.832441
-0.034651,1.275319,-23.090000,1.115082,0.000000,0.000000,2.910477
-0.417334,1.351439,-23.090000,1.166795,0.000000,0.000000,2.988513
-0.800018,1.275319,-23.090000,1.218508,0.000000,0.000000,3.066549
-1.124441,1.058546,-23.090000,1.270221,0.000000,0.000000,3.144585
-1.341214,0.734123,-23.090000,1.321934,0.000000,0.000000,3.222622
-1.417334,0.351439,-23.090000,1.373647,0.000000,0.000000,3.300658
-1.341214,-0.031244,-23.090000,1.425360,0.000000,0.000000,3.378694
-1.124441,-0.355667,-23.090000,1.477073,0.000000,0.000000,3.456730
-0.800018,-0.572440,-23.090000,1.528786,0.000000,0.000000,3.534766
-0.417334,-0.648561,-23.090000,1.580499,0.000000,0.000000,3.612802
-0.034651,-0.572440,-23.090000,1.632212,0.000000,0.000000,3.690838
0.289773,-0.355667,-23.090000,1.683925,0.000000,0.000000,3.768874
0.506545,-0.031244,-23.090000,1.735638,0.000000,0.000000,3.846911
0.582666,0.351439,-23.090000,1.787351,0.000000,0.000000,3.924947
0.506545,0.734123,-23.090000,1.839064,0.000000,0.000000,4.002983
0.289773,1.058546,-23.090000,1.890777,0.000000,0.000000,4.081019
0.107150,1.180571,-23.090000,1.919887,0.000000,0.000000,4.124947
0.107150,1.180571,-24.090000,1.919887,0.000000,0.000000,5.124947
0.107150,1.180571,-25.290000,1.919887,0.000000,0.000000,5.184947
5.498642,-0.503930,-25.290000,1.919887,0.000000,0.000000,5.467372
5.498642,-0.503930,-22.890000,1.919887,0.000000,0.000000,5.587372
5.498642,-0.503930,-22.890000,1.919887,0.000000,0.000000,5.587372
5.561623,-0.005384,-22.890000,1.986487,0.000000,0.000000,5.687874
5.582666,0.496683,-22.890000,2.053087,0.000000,0.000000,5.788376
5.561623,0.998750,-22.890000,2.119688,0.000000,0.000000,5.888877
5.498642,1.497295,-22.890000,2.186288,0.000000,0.000000,5.989379
5.394165,1.988822,-22.890000,2.252888,0.000000,0.000000,6.089880
5.248924,2.469882,-22.890000,2.319489,0.000000,0.000000,6.190382
5.063939,2.937102,-22.890000,2.386089,0.000000,0.000000,6.290883
4.840506,3.387205,-22.890000,2.452689,0.000000,0.000000,6.391385
4.580193,3.817032,-22.890000,2.519290,0.000000,0.000000,6.491887
4.284827,4.223569,-22.890000,2.585890,0.000000,0.000000,6.592388
3.956478,4.603965,-22.890000,2.652490,0.000000,0.000000,6.692890
3.597449,4.955552,-22.890000,2.719091,0.000000,0.000000,6.793391
3.210260,5.275862,-22.890000,2.785691,0.000000,0.000000,6.893893
2.797627,5.562650,-22.890000,2.852291,0.000000,0.000000,6.994394
2.362442,5.813904,-22.890000,2.918892,0.000000,0.000000,7.094896
1.907759,6.027862,-22.890000,2.985492,0.000000,0.000000,7.195398
1.436768,6.203022,-22.890000,3.052092,0.000000,0.000000,7.295899
0.952771,6.338156,-22.890000,3.118693,0.000000,0.000000,7.396401
0.459164,6.432317,-22.890000,3.185293,0.000000,0.000000,7.496902
-0.040591,6.484843,-22.890000,3.251894,0.000000,0.000000,7.597404
-0.542989,6.495367,-22.890000,3.318494,0.000000,0.000000,7.697905
-1.044505,6.463814,-22.890000,3.385094,0.000000,0.000000,7.798407
-1.541622,6.390406,-22.890000,3.451695,0.000000,0.000000,7.898909
-2.030853,6.275658,-22.890000,3.518295,0.000000,0.000000,7.999410
-2.508766,6.120375,-22.890000,3.584895,0.000000,0.000000,8.099912
-2.972010,5.925645,-22.890000,3.651496,0.000000,0.000000,8.200413
-3.417334,5.692835,-22.890000,3.718096,0.000000,0.000000,8.300915
-3.841616,5.423578,-22.890000,3.784696,0.000000,0.000000,8.401416
-4.241878,5.119762,-22.890000,3.851297,0.000000,0.000000,8.501918
-4.615314,4.783519,-22.890000,3.917897,0.000000,0.000000,8.602420
-4.959305,4.417206,-22.890000,3.984497,0.000000,0.000000,8.702921
-5.271436,4.023394,-22.890000,4.051098,0.000000,0.000000,8.803423
-5.549520,3.604845,-22.890000,4.117698,0.000000,0.000000,8.903924
-5.791605,3.164494,-22.890000,4.184298,0.000000,0.000000,9.004426
-5.995993,2.705430,-22.890000,4.250899,0.000000,0.000000,9.104927
-6.161251,2.230873,-22.890000,4.317499,0.000000,0.000000,9.205429
-6.286220,1.744153,-22.890000,4.384099,0.000000,0.000000,9.305931
-6.370022,1.248682,-22.890000,4.450700,0.000000,0.000000,9.406432
-6.412071,0.747937,-22.890000,4.517300,0.000000,0.000000,9.506934
-6.412071,0.245429,-22.890000,4.583901,0.000000,0.000000,9.607435
-6.370022,-0.255317,-22.890000,4.650501,0.000000,0.000000,9.707937
-6.286220,-0.750788,-22.890000,4.717101,0.000000,0.000000,9.808438
-6.161251,-1.237508,-22.890000,4.783702,0.000000,0.000000,9.908940
-5.995993,-1.712065,-22.890000,4.850302,0.000000,0.000000,10.009442
-5.791605,-2.171128,-22.890000,4.916902,0.000000,0.000000,10.109943
-5.549520,-2.611479,-22.890000,4.983503,0.000000,0.000000,10.210445
-5.271436,-3.030029,-22.890000,5.050103,0.000000,0.000000,10.310946
-4.959305,-3.423841,-22.890000,5.116703,0.000000,0.000000,10.411448
-4.615314,-3.790153,-22.890000,5.183304,0.000000,0.000000,10.511949
-4.241878,-4.126397,-22.890000,5.249904,0.000000,0.000000,10.612451
-3.841616,-4.430213,-22.890000,5.316504,0.000000,0.000000,10.712952
-3.417334,-4.699470,-22.890000,5.383105,0.000000,0.000000,10.813454
-2.972010,-4.932280,-22.890000,5.449705,0.000000,0.000000,10.913956
-2.508766,-5.127009,-22.890000,5.516305,0.000000,0.000000,11.014457
-2.030853,-5.282293,-22.890000,5.582906,0.000000,0.000000,11.114959
-1.541622,-5.397041,-22.890000,5.649506,0.000000,0.000000,11.215460
-1.044505,-5.470449,-22.890000,5.716106,0.000000,0.000000,11.315962
-0.542989,-5.502001,-22.890000,5.782707,0.000000,0.000000,11.416463
-0.040591,-5.491478,-22.890000,5.849307,0.000000,0.000000,11.516965
0.459164,-5.438951,-22.890000,5.915908,0.000000,0.000000,11.617467
0.952771,-5.344791,-22.890000,5.982508,0.000000,0.000000,11.717968
1.436768,-5.209656,-22.890000,6.049108,0.000000,0.000000,11.818470
1.907759,-5.034496,-22.890000,6.115709,0.000000,0.000000,11.918971
2.362442,-4.820539,-22.890000,6.182309,0.000000,0.000000,12.019473
2.797627,-4.569285,-22.890000,6.248909,0.000000,0.000000,12.119974
3.210260,-4.282497,-22.890000,6.315510,0.000000,0.000000,12.220476
3.597449,-3.962186,-22.890000,6.382110,0.000000,0.000000,12.320978
3.956478,-3.610600,-22.890000,6.448710,0.000000,0.000000,12.421479
4.284827,-3.230204,-22.890000,6.515311,0.000000,0.000000,12.521981
4.580193,-2.823667,-22.890000,6.581911,0.000000,0.000000,12.622482
4.840506,-2.393839,-22.890000,6.648511,0.000000,0.000000,12.722984
5.063939,-1.943737,-22.890000,6.715112,0.000000,0.000000,12.823485
5.248924,-1.476517,-22.890000,6.781712,0.000000,0.000000,12.923987
5.394165,-0.995457,-22.890000,6.848312,0.000000,0.000000,13.024489
5.498642,-0.503930,-22.890000,6.914913,0.000000,0.000000,13.124990
5.561623,-0.005384,-22.890000,6.981513,0.000000,0.000000,13.225492
5.582456,0.491671,-22.890000,7.047449,0.000000,0.000000,13.324990
5.582456,0.491671,-23.890000,7.047449,0.000000,0.000000,14.324990
5.582456,0.491671,-25.290000,7.047449,0.000000,0.000000,14.394990
5.498642,-0.503930,-25.290000,7.047449,0.000000,0.000000,14.444946
5.498642,-0.503930,-23.090000,7.047449,0.000000,0.000000,14.554946
5.498642,-0.503930,-23.090000,7.047449,0.000000,0.000000,14.554946
5.561623,-0.005384,-23.090000,7.114049,0.000000,0.000000,14.655448
5.582666,0.496683,-23.090000,7.180649,0.000000,0.000000,14.755949
5.561623,0.998750,-23.090000,7.247250,0.000000,0.000000,14.856451
5.498642,1.497295,-23.090000,7.313850,0.000000,0.000000,14.956953
5.394165,1.988822,-23.090000,7.380450,0.000000,0.000000,15.057454
5.248924,2.469882,-23.090000,7.447051,0.000000,0.000000,15.157956
5.063939,2.937102,-23.090000,7.513651,0.000000,0.000000,15.258457
4.840506,3.387205,-23.090000,7.580252,0.000000,0.000000,15.358959
4.580193,3.817032,-23.090000,7.646852,0.000000,0.000000,15.459460
4.284827,4.223569,-23.090000,7.713452,0.000000,0.000000,15.559962
3.956478,4.603965,-23.090000,7.780053,0.000000,0.000000,15.660464
