x,y,z,p1,p2,p3,t
-0.468681,-1.233740,-11.630000,0.000000,0.000000,0.000000,0.000000
-0.798173,-0.849929,-11.630000,0.056089,0.000000,0.000000,0.101168
-1.198180,-0.540300,-11.630000,0.112177,0.000000,0.000000,0.202337
-1.652327,-0.317530,-11.630000,0.168266,0.000000,0.000000,0.303505
-2.142021,-0.190740,-11.630000,0.224354,0.000000,0.000000,0.404673
-2.647213,-0.165120,-11.630000,0.280443,0.000000,0.000000,0.505842
-3.147221,-0.241718,-11.630000,0.336531,0.000000,0.000000,0.607010
-3.621575,-0.417399,-11.630000,0.392620,0.000000,0.000000,0.708178
-4.050855,-0.684971,-11.630000,0.448708,0.000000,0.000000,0.809347
-4.417485,-1.033480,-11.630000,0.504797,0.000000,0.000000,0.910515
-4.706457,-1.448656,-11.630000,0.560885,0.000000,0.000000,1.011683
-4.905938,-1.913503,-11.630000,0.616974,0.000000,0.000000,1.112852
-5.007763,-2.408990,-11.630000,0.673062,0.000000,0.000000,1.214020
-5.007763,-2.914832,-11.630000,0.729151,0.000000,0.000000,1.315188
-4.905938,-3.410319,-11.630000,0.785239,0.000000,0.000000,1.416357
-4.706457,-3.875166,-11.630000,0.841328,0.000000,0.000000,1.517525
-4.417485,-4.290342,-11.630000,0.897416,0.000000,0.000000,1.618693
-4.050855,-4.638850,-11.630000,0.953505,0.000000,0.000000,1.719861
-3.621575,-4.906422,-11.630000,1.009593,0.000000,0.000000,1.821030
-3.147221,-5.082104,-11.630000,1.065682,0.000000,0.000000,1.922198
-2.647213,-5.158702,-11.630000,1.121770,0.000000,0.000000,2.023366
-2.142021,-5.133082,-11.630000,1.177859,0.000000,0.000000,2.124535
-1.652327,-5.006291,-11.630000,1.233947,0.000000,0.000000,2.225703
-1.198180,-4.783521,-11.630000,1.290036,0.000000,0.000000,2.326871
-0.798173,-4.473893,-11.630000,1.346124,0.000000,0.000000,2.428040
-0.468681,-4.090081,-11.630000,1.402213,0.000000,0.000000,2.529208
-0.223196,-3.647800,-11.630000,1.458301,0.000000,0.000000,2.630376
-0.071765,-3.165157,-11.630000,1.514390,0.000000,0.000000,2.731545
-0.020590,-2.661911,-11.630000,1.570478,0.000000,0.000000,2.832713
-0.071765,-2.158665,-11.630000,1.626567,0.000000,0.000000,2.933881
-0.223196,-1.676021,-11.630000,1.682655,0.000000,0.000000,3.035050
-0.468681,-1.233740,-11.630000,1.738744,0.000000,0.000000,3.136218
-0.468681,-1.233740,-12.630000,1.738744,0.000000,0.000000,4.136218
-0.468681,-1.233740,-13.830000,1.738744,0.000000,0.000000,4.196218
