x,y,z,p1,p2,p3,t
1.495442,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.000000
1.348922,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.007326
1.202402,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.014652
1.055881,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.021978
0.909361,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.029304
0.762841,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.036630
0.616321,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.043956
0.469801,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.051282
0.323281,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.058608
0.176761,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.065934
0.030241,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.073260
-0.116280,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.080586
-0.262800,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.087912
-0.409320,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.095238
-0.555840,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.102564
-0.702360,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.109890
-0.848880,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.117216
-0.995400,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.124542
-1.141920,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.131868
-1.288440,-12.297195,-21.950000,0.000000,0.000000,0.000000,0.139194
-1.832991,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.169154
-1.629150,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.179346
-1.425309,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.189538
-1.221467,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.199730
-1.017626,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.209922
-0.813785,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.220114
-0.609944,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.230306
-0.406102,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.240498
-0.202261,-12.047195,-21.950000,0.000000,0.000000,0.000000,0.250690
