x,y,z,p1,p2,p3,t
1.391941,2.250000,-21.950000,0.000000,0.000000,0.000000,0.000000
1.245421,2.250000,-21.950000,0.000000,0.000000,0.000000,0.007326
1.098901,2.250000,-21.950000,0.000000,0.000000,0.000000,0.014652
0.952381,2.250000,-21.950000,0.000000,0.000000,0.000000,0.021978
0.805861,2.250000,-21.950000,0.000000,0.000000,0.000000,0.029304
0.659341,2.250000,-21.950000,0.000000,0.000000,0.000000,0.036630
0.512820,2.250000,-21.950000,0.000000,0.000000,0.000000,0.043956
0.366300,2.250000,-21.950000,0.000000,0.000000,0.000000,0.051282
0.219780,2.250000,-21.950000,0.000000,0.000000,0.000000,0.058608
0.073260,2.250000,-21.950000,0.000000,0.000000,0.000000,0.065934
-0.073260,2.250000,-21.950000,0.000000,0.000000,0.000000,0.073260
-0.219780,2.250000,-21.950000,0.000000,0.000000,0.000000,0.080586
-0.366300,2.250000,-21.950000,0.000000,0.000000,0.000000,0.087912
-0.512820,2.250000,-21.950000,0.000000,0.000000,0.000000,0.095238
-0.659341,2.250000,-21.950000,0.000000,0.000000,0.000000,0.102564
-0.805861,2.250000,-21.950000,0.000000,0.000000,0.000000,0.109890
-0.952381,2.250000,-21.950000,0.000000,0.000000,0.000000,0.117216
-1.098901,2.250000,-21.950000,0.000000,0.000000,0.000000,0.124542
-1.245421,2.250000,-21.950000,0.000000,0.000000,0.000000,0.131868
-1.391941,2.250000,-21.950000,0.000000,0.000000,0.000000,0.139194
-1.936492,2.500000,-21.950000,0.000000,0.000000,0.000000,0.169154
-1.732650,2.500000,-21.950000,0.000000,0.000000,0.000000,0.179346
-1.528809,2.500000,-21.950000,0.000000,0.000000,0.000000,0.189538
-1.324968,2.500000,-21.950000,0.000000,0.000000,0.000000,0.199730
-1.121127,2.500000,-21.950000,0.000000,0.000000,0.000000,0.209922
-0.917286,2.500000,-21.950000,0.000000,0.000000,0.000000,0.220114
-0.713444,2.500000,-21.950000,0.000000,0.000000,0.000000,0.230306
-0.509603,2.500000,-21.950000,0.000000,0.000000,0.000000,0.240498
-0.305762,2.500000,-21.950000,0.000000,0.000000,0.000000,0.250690
-0.101921,2.500000,-21.950000,0.000000,0.000000,0.000000,0.260882
0.101921,2.500000,-21.950000,0.000000,0.000000,0.000000,0.271075
0.305762,2.500000,-21.950000,0.000000,0.000000,0.000000,0.281267
0.509603,2.500000,-21.950000,0.000000,0.000000,0.000000,0.291459
0.713444,2.500000,-21.950000,0.000000,0.000000,0.000000,0.301651
0.917286,2.500000,-21.950000,0.000000,0.000000,0.000000,0.311843
1.121127,2.500000,-21.950000,0.000000,0.000000,0.000000,0.322035
1.324968,2.500000,-21.950000,0.000000,0.000000,0.000000,0.332227
1.528809,2.500000,-21.950000,0.000000,0.000000,0.000000,0.342419
1.732650,2.500000,-21.950000,0.000000,0.000000,0.000000,0.352611
1.936492,2.500000,-21.950000,0.000000,0.000000,0.000000,0.362803
2.331845,2.750000,-21.950000,0.000000,0.000000,0.000000,0.386191
2.086387,2.750000,-21.950000,0.000000,0.000000,0.000000,0.398464
1.840930,2.750000,-21.950000,0.000000,0.000000,0.000000,0.410737
1.595473,2.750000,-21.950000,0.000000,0.000000,0.000000,0.423010
1.350015,2.750000,-21.950000,0.000000,0.000000,0.000000,0.435283
1.104558,2.750000,-21.950000,0.000000,0.000000,0.000000,0.447556
0.859101,2.750000,-21.950000,0.000000,0.000000,0.000000,0.459829
0.613643,2.750000,-21.950000,0.000000,0.000000,0.000000,0.472101
0.368186,2.750000,-21.950000,0.000000,0.000000,0.000000,0.484374
0.122729,2.750000,-21.950000,0.000000,0.000000,0.000000,0.496647
-0.122729,2.750000,-21.950000,0.000000,0.000000,0.000000,0.508920
-0.368186,2.750000,-21.950000,0.000000,0.000000,0.000000,0.521193
-0.613643,2.750000,-21.950000,0.000000,0.000000,0.000000,0.533466
-0.859101,2.750000,-21.950000,0.000000,0.000000,0.000000,0.545739
-1.104558,2.750000,-21.950000,0.000000,0.000000,0.000000,0.558011
-1.350015,2.750000,-21.950000,0.000000,0.000000,0.000000,0.570284
