x,y,z,p1,p2,p3,t
1.391941,-9.750000,-21.950000,0.000000,0.000000,0.000000,0.000000
1.245421,-9.750000,-21.950000,0.001119,0.000000,0.000000,0.029304
1.098901,-9.750000,-21.950000,0.002237,0.000000,0.000000,0.058608
0.952381,-9.750000,-21.950000,0.003356,0.000000,0.000000,0.087912
0.805861,-9.750000,-21.950000,0.004474,0.000000,0.000000,0.117216
0.659341,-9.750000,-21.950000,0.005593,0.000000,0.000000,0.146520
0.512820,-9.750000,-21.950000,0.006711,0.000000,0.000000,0.175824
0.366300,-9.750000,-21.950000,0.007830,0.000000,0.000000,0.205128
0.219780,-9.750000,-21.950000,0.008948,0.000000,0.000000,0.234432
0.073260,-9.750000,-21.950000,0.010067,0.000000,0.000000,0.263736
-0.073260,-9.750000,-21.950000,0.011185,0.000000,0.000000,0.293040
-0.219780,-9.750000,-21.950000,0.012304,0.000000,0.000000,0.322344
-0.366300,-9.750000,-21.950000,0.013423,0.000000,0.000000,0.351648
-0.512820,-9.750000,-21.950000,0.014541,0.000000,0.000000,0.380952
-0.659341,-9.750000,-21.950000,0.015660,0.000000,0.000000,0.410256
-0.805861,-9.750000,-21.950000,0.016778,0.000000,0.000000,0.439560
-0.952381,-9.750000,-21.950000,0.017897,0.000000,0.000000,0.468864
-1.098901,-9.750000,-21.950000,0.019015,0.000000,0.000000,0.498168
-1.245421,-9.750000,-21.950000,0.020134,0.000000,0.000000,0.527472
-1.391941,-9.750000,-21.950000,0.021252,0.000000,0.000000,0.556776
-1.936492,-9.500000,-21.950000,0.025827,0.000000,0.000000,0.676616
-1.732650,-9.500000,-21.950000,0.027383,0.000000,0.000000,0.717384
-1.528809,-9.500000,-21.950000,0.028939,0.000000,0.000000,0.758152
-1.324968,-9.500000,-21.950000,0.030495,0.000000,0.000000,0.798920
-1.121127,-9.500000,-21.950000,0.032051,0.000000,0.000000,0.839689
-0.917286,-9.500000,-21.950000,0.033607,0.000000,0.000000,0.880457
-0.713444,-9.500000,-21.950000,0.035163,0.000000,0.000000,0.921225
-0.509603,-9.500000,-21.950000,0.036720,0.000000,0.000000,0.961993
-0.305762,-9.500000,-21.950000,0.038276,0.000000,0.000000,1.002762
-0.101921,-9.500000,-21.950000,0.039832,0.000000,0.000000,1.043530
0.101921,-9.500000,-21.950000,0.041388,0.000000,0.000000,1.084298
0.305762,-9.500000,-21.950000,0.042944,0.000000,0.000000,1.125066
0.509603,-9.500000,-21.950000,0.044500,0.000000,0.000000,1.165835
0.713444,-9.500000,-21.950000,0.046056,0.000000,0.000000,1.206603
0.917286,-9.500000,-21.950000,0.047613,0.000000,0.000000,1.247371
1.121127,-9.500000,-21.950000,0.049169,0.000000,0.000000,1.288139
1.324968,-9.500000,-21.950000,0.050725,0.000000,0.000000,1.328907
1.528809,-9.500000,-21.950000,0.052281,0.000000,0.000000,1.369676
1.732650,-9.500000,-21.950000,0.053837,0.000000,0.000000,1.410444
1.936492,-9.500000,-21.950000,0.055393,0.000000,0.000000,1.451212
2.331845,-9.250000,-21.950000,0.058964,0.000000,0.000000,1.544765
2.086387,-9.250000,-21.950000,0.060838,0.000000,0.000000,1.593857
1.840930,-9.250000,-21.950000,0.062712,0.000000,0.000000,1.642948
1.595473,-9.250000,-21.950000,0.064586,0.000000,0.000000,1.692040
1.350015,-9.250000,-21.950000,0.066460,0.000000,0.000000,1.741131
1.104558,-9.250000,-21.950000,0.068333,0.000000,0.000000,1.790223
0.859101,-9.250000,-21.950000,0.070207,0.000000,0.000000,1.839314
0.613643,-9.250000,-21.950000,0.072081,0.000000,0.000000,1.888405
0.368186,-9.250000,-21.950000,0.073955,0.000000,0.000000,1.937497
0.122729,-9.250000,-21.950000,0.075829,0.000000,0.000000,1.986588
-0.122729,-9.250000,-21.950000,0.077703,0.000000,0.000000,2.035680
-0.368186,-9.250000,-21.950000,0.079576,0.000000,0.000000,2.084771
-0.613643,-9.250000,-21.950000,0.081450,0.000000,0.000000,2.133863
-0.859101,-9.250000,-21.950000,0.083324,0.000000,0.000000,2.182954
-1.104558,-9.250000,-21.950000,0.085198,0.000000,0.000000,2.232046
-1.350015,-9.250000,-21.950000,0.087072,0.000000,0.000000,2.281137
-1.595473,-9.250000,-21.950000,0.088946,0.000000,0.000000,2.330229
-1.840930,-9.250000,-21.950000,0.090819,0.000000,0.000000,2.379320
-2.086387,-9.250000,-21.950000,0.092693,0.000000,0.000000,2.428412
-2.331845,-9.250000,-21.950000,0.094567,0.000000,0.000000,2.477503
-2.645751,-9.000000,-21.950000,0.097631,0.000000,0.000000,2.557762
-2.367251,-9.000000,-21.950000,0.099757,0.000000,0.000000,2.613462
-2.088751,-9.000000,-21.950000,0.101883,0.000000,0.000000,2.669162
-1.810251,-9.000000,-21.950000,0.104009,0.000000,0.000000,2.724862
-1.531751,-9.000000,-21.950000,0.106135,0.000000,0.000000,2.780562
-1.253251,-9.000000,-21.950000,0.108261,0.000000,0.000000,2.836262
-0.974750,-9.000000,-21.950000,0.110387,0.000000,0.000000,2.891962
-0.696250,-9.000000,-21.950000,0.112513,0.000000,0.000000,2.947662
-0.417750,-9.000000,-21.950000,0.114639,0.000000,0.000000,3.003362
-0.139250,-9.000000,-21.950000,0.116765,0.000000,0.000000,3.059062
0.139250,-9.000000,-21.950000,0.118892,0.000000,0.000000,3.114762
0.417750,-9.000000,-21.950000,0.121018,0.000000,0.000000,3.170462
0.696250,-9.000000,-21.950000,0.123144,0.000000,0.000000,3.226162
0.974750,-9.000000,-21.950000,0.125270,0.000000,0.000000,3.281862
