x,y,z,p1,p2,p3,t
2666.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10077.777778,0.000000,0.000000,71.495425,0.000000,0.290632,14.822222
10077.777778,244.444444,0.000000,73.853595,0.000000,0.300218,15.311111
2666.666667,244.444444,0.000000,129.654902,0.000000,0.590850,30.133333
2666.666667,488.888889,0.000000,131.495425,0.000000,0.600436,30.622222
10077.777778,488.888889,0.000000,202.990850,0.000000,0.891068,45.444444
10077.777778,733.333333,0.000000,205.349020,0.000000,0.900654,45.933333
2666.666667,733.333333,0.000000,261.150327,0.000000,1.191285,60.755556
2666.666667,977.777778,0.000000,262.990850,0.000000,1.200871,61.244444
10077.777778,977.777778,0.000000,334.486275,0.000000,1.491503,76.066667
10077.777778,1222.222222,0.000000,336.844444,0.000000,1.501089,76.555556
9022.222222,1222.222222,0.000000,342.846623,0.000000,1.542484,78.666667
6433.333333,1222.222222,0.000000,342.948148,0.000000,25.096296,83.844444
6311.111111,1222.222222,0.000000,342.952941,0.000000,26.006972,84.088889
3722.222222,1222.222222,0.000000,361.024401,0.000000,26.108497,89.266667
2666.666667,1222.222222,0.000000,368.972113,0.000000,26.149891,91.377778
2666.666667,1466.666667,0.000000,370.812636,0.000000,26.159477,91.866667
3722.222222,1466.666667,0.000000,378.180828,0.000000,26.200871,93.977778
6222.222222,1466.666667,0.000000,378.278867,0.000000,50.024401,98.977778
6533.333333,1466.666667,0.000000,378.291068,0.000000,51.976471,99.600000
9022.222222,1466.666667,0.000000,392.443573,0.000000,52.074074,104.577778
10077.777778,1466.666667,0.000000,402.626580,0.000000,52.115468,106.688889
10077.777778,1711.111111,0.000000,404.984749,0.000000,52.125054,107.177778
9022.222222,1711.111111,0.000000,410.986928,0.000000,52.166449,109.288889
6622.222222,1711.111111,0.000000,411.081046,0.000000,74.189978,114.088889
6122.222222,1711.111111,0.000000,411.100654,0.000000,77.935076,115.088889
3722.222222,1711.111111,0.000000,427.853595,0.000000,78.029194,119.888889
2666.666667,1711.111111,0.000000,435.801307,0.000000,78.070588,122.000000
2666.666667,1955.555556,0.000000,437.641830,0.000000,78.080174,122.488889
3722.222222,1955.555556,0.000000,445.010022,0.000000,78.121569,124.600000
6033.333333,1955.555556,0.000000,445.100654,0.000000,100.960784,129.222222
6722.222222,1955.555556,0.000000,445.127669,0.000000,104.553813,130.600000
9022.222222,1955.555556,0.000000,458.206100,0.000000,104.644009,135.200000
10077.777778,1955.555556,0.000000,468.389107,0.000000,104.685403,137.311111
10077.777778,2200.000000,0.000000,470.747277,0.000000,104.694989,137.800000
7977.777778,2200.000000,0.000000,482.111983,0.000000,104.777342,142.000000
6811.111111,2200.000000,0.000000,482.157734,0.000000,115.300218,144.333333
5933.333333,2200.000000,0.000000,482.192157,0.000000,121.737255,146.088889
4766.666667,2200.000000,0.000000,490.427451,0.000000,121.783007,148.422222
2666.666667,2200.000000,0.000000,506.239216,0.000000,121.865359,152.622222
2666.666667,2444.444444,0.000000,508.079739,0.000000,121.874946,153.111111
4666.666667,2444.444444,0.000000,527.373856,0.000000,121.953377,157.111111
5844.444444,2444.444444,0.000000,527.420044,0.000000,133.731155,159.466667
6911.111111,2444.444444,0.000000,527.461874,0.000000,140.131155,161.600000
8077.777778,2444.444444,0.000000,537.847495,0.000000,140.176906,163.933333
10077.777778,2444.444444,0.000000,557.141612,0.000000,140.255338,167.933333
10077.777778,2688.888889,0.000000,559.499782,0.000000,140.264924,168.422222
8177.777778,2688.888889,0.000000,578.499782,0.000000,140.339434,172.222222
7000.000000,2688.888889,0.000000,578.545969,0.000000,151.747712,174.577778
5744.444444,2688.888889,0.000000,578.595207,0.000000,161.299782,177.088889
4577.777778,2688.888889,0.000000,586.738998,0.000000,161.345534,179.422222
2666.666667,2688.888889,0.000000,601.128540,0.000000,161.420479,183.244444
2666.666667,2933.333333,0.000000,602.969063,0.000000,161.430065,183.733333
4477.777778,2933.333333,0.000000,619.446623,0.000000,161.501089,187.355556
5655.555556,2933.333333,0.000000,619.492810,0.000000,173.278867,189.711111
7100.000000,2933.333333,0.000000,619.549455,0.000000,183.474946,192.600000
8266.666667,2933.333333,0.000000,629.386057,0.000000,183.520697,194.933333
10077.777778,2933.333333,0.000000,646.857952,0.000000,183.591721,196.744444
9455.555556,3177.777778,0.000000,652.573108,0.000000,183.617937,198.081476
8366.666667,3177.777778,0.000000,663.248489,0.000000,183.660639,200.259254
7188.888889,3177.777778,0.000000,663.294677,0.000000,194.653232,202.614810
5555.555556,3177.777778,0.000000,663.358729,0.000000,206.759114,205.881476
4388.888889,3177.777778,0.000000,670.129971,0.000000,206.804866,208.214810
3288.888889,3177.777778,0.000000,678.843696,0.000000,206.848003,210.414810
3200.000000,3422.222222,0.000000,681.220337,0.000000,206.858203,210.935019
4288.888889,3422.222222,0.000000,691.340598,0.000000,206.900905,213.112796
5466.666667,3422.222222,0.000000,691.386786,0.000000,218.493933,215.468352
7288.888889,3422.222222,0.000000,691.458245,0.000000,230.356242,219.112796
8455.555556,3422.222222,0.000000,700.013801,0.000000,230.401994,221.446130
9544.444444,3422.222222,0.000000,710.518376,0.000000,230.444695,223.623907
9644.444444,3666.666667,0.000000,711.937310,0.000000,230.455053,224.152124
8555.555556,3666.666667,0.000000,722.783497,0.000000,230.497754,226.329901
7377.777778,3666.666667,0.000000,722.829685,0.000000,241.767471,228.685457
5366.666667,3666.666667,0.000000,722.908552,0.000000,257.146556,232.707679
4188.888889,3666.666667,0.000000,734.686329,0.000000,257.192743,235.063235
3111.111111,3666.666667,0.000000,745.168247,0.000000,257.235009,237.218790
3011.111111,3911.111111,0.000000,746.545752,0.000000,257.245366,237.747007
4100.000000,3911.111111,0.000000,755.513072,0.000000,257.288068,239.924784
5277.777778,3911.111111,0.000000,755.559259,0.000000,268.650159,242.280340
7477.777778,3911.111111,0.000000,755.645534,0.000000,283.230551,246.680340
8644.444444,3911.111111,0.000000,763.194553,0.000000,283.276303,249.013673
9733.333333,3911.111111,0.000000,770.581917,0.000000,283.319004,251.191451
9822.222222,4155.555556,0.000000,772.785155,0.000000,283.329205,251.711660
8744.444444,4155.555556,0.000000,782.252693,0.000000,283.371470,253.867215
7566.666667,4155.555556,0.000000,782.298880,0.000000,293.994564,256.222771
6433.333333,4155.555556,0.000000,782.343325,0.000000,304.705675,258.489438
6344.444444,4155.555556,0.000000,782.346811,0.000000,305.458616,258.667215
5177.777778,4155.555556,0.000000,782.392562,0.000000,314.059924,261.000549
4000.000000,4155.555556,0.000000,793.616092,0.000000,314.106111,263.356104
2922.222222,4155.555556,0.000000,801.139403,0.000000,314.148377,265.511660
2833.333333,4400.000000,0.000000,803.261039,0.000000,314.158577,266.031869
3911.111111,4400.000000,0.000000,811.080212,0.000000,314.200843,268.187424
5088.888889,4400.000000,0.000000,811.126399,0.000000,325.424372,270.542980
6244.444444,4400.000000,0.000000,811.171715,0.000000,336.843980,272.854091
6522.222222,4400.000000,0.000000,811.182608,0.000000,339.000843,273.409647
7666.666667,4400.000000,0.000000,811.227488,0.000000,346.450952,275.698535
8833.333333,4400.000000,0.000000,817.724220,0.000000,346.496703,278.031869
9911.111111,4400.000000,0.000000,827.656682,0.000000,346.538969,280.187424
10000.000000,4644.444444,0.000000,830.114924,0.000000,346.549169,280.707633
8933.333333,4644.444444,0.000000,839.610349,0.000000,346.590999,282.840966
7755.555556,4644.444444,0.000000,839.656536,0.000000,357.629779,285.196522
6622.222222,4644.444444,0.000000,839.700981,0.000000,368.963113,287.463189
6155.555556,4644.444444,0.000000,839.719281,0.000000,372.550041,288.396522
4988.888889,4644.444444,0.000000,839.765033,0.000000,380.876838,290.729855
3811.111111,4644.444444,0.000000,851.080937,0.000000,380.923025,293.085411
2744.444444,4644.444444,0.000000,861.371133,0.000000,380.964856,295.218744
2655.555556,4888.888889,0.000000,863.921177,0.000000,380.975056,295.738953
3722.222222,4888.888889,0.000000,870.739477,0.000000,381.016886,297.872286
4900.000000,4888.888889,0.000000,870.785665,0.000000,392.702289,300.227842
6055.555556,4888.888889,0.000000,870.830981,0.000000,404.257844,302.538953
6711.111111,4888.888889,0.000000,870.856689,0.000000,410.324947,303.850064
7855.555556,4888.888889,0.000000,870.901569,0.000000,418.313618,306.138953
9022.222222,4888.888889,0.000000,876.940785,0.000000,418.359369,308.472286
10100.000000,4888.888889,0.000000,883.956907,0.000000,418.401635,310.627842
10188.888889,5133.333333,0.000000,886.078543,0.000000,418.411835,311.148051
9122.222222,5133.333333,0.000000,894.653706,0.000000,418.453665,313.281384
7944.444444,5133.333333,0.000000,894.699894,0.000000,429.769570,315.636940
6800.000000,5133.333333,0.000000,894.744774,0.000000,437.219679,317.925829
5966.666667,5133.333333,0.000000,894.777454,0.000000,441.925561,319.592495
4800.000000,5133.333333,0.000000,894.823205,0.000000,450.343862,321.925829
3622.222222,5133.333333,0.000000,904.892051,0.000000,450.390049,324.281384
2555.555556,5133.333333,0.000000,911.752181,0.000000,450.431879,326.414718
2466.666667,5377.777778,0.000000,913.955419,0.000000,450.442079,326.934926
3533.333333,5377.777778,0.000000,919.560648,0.000000,450.483909,329.068260
4711.111111,5377.777778,0.000000,919.606835,0.000000,461.799813,331.423815
5866.666667,5377.777778,0.000000,919.652151,0.000000,472.131840,333.734926
