x,y,z,p1,p2,p3,t
0.024569,-5.098039,5.710000,0.000000,0.000000,0.000000,0.000000
-0.204368,-4.641840,5.710000,0.510421,0.000000,0.000000,0.102084
-0.433305,-4.185641,5.710000,1.020843,0.000000,0.000000,0.204169
-0.662243,-3.729442,5.710000,1.531264,0.000000,0.000000,0.306253
-0.891180,-3.273243,5.710000,2.041685,0.000000,0.000000,0.408337
-1.120117,-2.817044,5.710000,2.552106,0.000000,0.000000,0.510421
-1.349054,-2.360844,5.710000,3.062528,0.000000,0.000000,0.612506
-1.577991,-1.904645,5.710000,3.572949,0.000000,0.000000,0.714590
-1.806928,-1.448446,5.710000,4.083370,0.000000,0.000000,0.816674
-2.035865,-0.992247,5.710000,4.593791,0.000000,0.000000,0.918758
-2.264803,-0.536048,5.710000,5.104213,0.000000,0.000000,1.020843
-2.493740,-0.079849,5.710000,5.614634,0.000000,0.000000,1.122927
-2.722677,0.376350,5.710000,6.125055,0.000000,0.000000,1.225011
-2.951614,0.832549,5.710000,6.635476,0.000000,0.000000,1.327095
-3.180551,1.288749,5.710000,7.145898,0.000000,0.000000,1.429180
-3.409488,1.744948,5.710000,7.656319,0.000000,0.000000,1.531264
-3.638425,2.201147,5.710000,8.166740,0.000000,0.000000,1.633348
-3.867362,2.657346,5.710000,8.677161,0.000000,0.000000,1.735432
-4.096300,3.113545,5.710000,9.187583,0.000000,0.000000,1.837517
-4.325237,3.569744,5.710000,9.698004,0.000000,0.000000,1.939601
-4.554174,4.025943,5.710000,10.208425,0.000000,0.000000,2.041685
-4.783111,4.482142,5.710000,10.718846,0.000000,0.000000,2.143769
-5.012048,4.938342,5.710000,11.229268,0.000000,0.000000,2.245854
-5.012048,4.938342,3.510000,11.229268,0.000000,0.000000,2.355854
0.024569,-5.098039,3.510000,11.229268,0.000000,0.000000,2.917317
0.024569,-5.098039,5.710000,11.229268,0.000000,0.000000,3.027317
0.024569,-5.098039,5.710000,11.229268,0.000000,0.000000,3.027317
0.249039,-4.639607,5.710000,11.739706,0.000000,0.000000,3.129405
0.473509,-4.181174,5.710000,12.250144,0.000000,0.000000,3.231492
0.697979,-3.722741,5.710000,12.760583,0.000000,0.000000,3.333580
0.922449,-3.264309,5.710000,13.271021,0.000000,0.000000,3.435668
1.146919,-2.805876,5.710000,13.781459,0.000000,0.000000,3.537755
1.371389,-2.347443,5.710000,14.291898,0.000000,0.000000,3.639843
1.595859,-1.889011,5.710000,14.802336,0.000000,0.000000,3.741931
1.820329,-1.430578,5.710000,15.312774,0.000000,0.000000,3.844018
2.044800,-0.972145,5.710000,15.823213,0.000000,0.000000,3.946106
2.269270,-0.513713,5.710000,16.333651,0.000000,0.000000,4.048194
2.493740,-0.055280,5.710000,16.844090,0.000000,0.000000,4.150281
2.718210,0.403153,5.710000,17.354528,0.000000,0.000000,4.252369
2.942680,0.861585,5.710000,17.864966,0.000000,0.000000,4.354457
3.167150,1.320018,5.710000,18.375405,0.000000,0.000000,4.456544
3.391620,1.778451,5.710000,18.885843,0.000000,0.000000,4.558632
3.616090,2.236883,5.710000,19.396281,0.000000,0.000000,4.660720
3.840560,2.695316,5.710000,19.906720,0.000000,0.000000,4.762807
4.065030,3.153749,5.710000,20.417158,0.000000,0.000000,4.864895
4.289500,3.612181,5.710000,20.927596,0.000000,0.000000,4.966983
4.513970,4.070614,5.710000,21.438035,0.000000,0.000000,5.069070
4.738440,4.529047,5.710000,21.948473,0.000000,0.000000,5.171158
4.962910,4.987479,5.710000,22.458912,0.000000,0.000000,5.273246
4.962910,4.987479,3.510000,22.458912,0.000000,0.000000,5.383246
-2.493749,-0.079831,3.510000,22.458912,0.000000,0.000000,5.834021
-2.493749,-0.079831,5.710000,22.458912,0.000000,0.000000,5.944021
-2.493749,-0.079831,5.710000,22.458912,0.000000,0.000000,5.944021
-1.940920,-0.079833,5.710000,23.011740,0.000000,0.000000,6.054587
-1.388091,-0.079834,5.710000,23.564569,0.000000,0.000000,6.165153
-0.835262,-0.079836,5.710000,24.117398,0.000000,0.000000,6.275718
-0.282433,-0.079838,5.710000,24.670227,0.000000,0.000000,6.386284
0.270395,-0.079840,5.710000,25.223056,0.000000,0.000000,6.496850
0.823224,-0.079841,5.710000,25.775884,0.000000,0.000000,6.607416
1.376053,-0.079843,5.710000,26.328713,0.000000,0.000000,6.717981
1.928882,-0.079845,5.710000,26.881542,0.000000,0.000000,6.828547
2.481711,-0.079847,5.710000,27.434371,0.000000,0.000000,6.939113
2.481711,-0.079847,3.510000,27.434371,0.000000,0.000000,7.049113
