x,y,z,p1,p2,p3,t
-2.856730,1.127771,-23.860000,0.000000,0.000000,0.000000,0.000000
-2.364277,1.221712,-23.860000,0.055589,0.000000,0.000000,0.250666
-1.910657,1.435169,-23.860000,0.111177,0.000000,0.000000,0.501333
-1.524373,1.754731,-23.860000,0.166766,0.000000,0.000000,0.751999
-1.229697,2.160318,-23.860000,0.222354,0.000000,0.000000,1.002666
-1.045144,2.626445,-23.860000,0.277943,0.000000,0.000000,1.253332
-0.982311,3.123825,-23.860000,0.333531,0.000000,0.000000,1.503999
-1.045144,3.621205,-23.860000,0.389120,0.000000,0.000000,1.754665
-1.229697,4.087332,-23.860000,0.444709,0.000000,0.000000,2.005332
-1.524373,4.492919,-23.860000,0.500297,0.000000,0.000000,2.255998
-1.910657,4.812481,-23.860000,0.555886,0.000000,0.000000,2.506665
-2.364277,5.025938,-23.860000,0.611474,0.000000,0.000000,2.757331
-2.856730,5.119878,-23.860000,0.667063,0.000000,0.000000,3.007998
-3.357073,5.088399,-23.860000,0.722652,0.000000,0.000000,3.258664
-3.833869,4.933479,-23.860000,0.778240,0.000000,0.000000,3.509331
-4.257159,4.664851,-23.860000,0.833829,0.000000,0.000000,3.759997
-4.600345,4.299395,-23.860000,0.889417,0.000000,0.000000,4.010663
-4.841864,3.860074,-23.860000,0.945006,0.000000,0.000000,4.261330
-4.966540,3.374491,-23.860000,1.000594,0.000000,0.000000,4.511996
-4.966540,2.873158,-23.860000,1.056183,0.000000,0.000000,4.762663
-4.841864,2.387576,-23.860000,1.111772,0.000000,0.000000,5.013329
-4.600345,1.948254,-23.860000,1.167360,0.000000,0.000000,5.263996
-4.257159,1.582798,-23.860000,1.222949,0.000000,0.000000,5.514662
-3.833869,1.314171,-23.860000,1.278537,0.000000,0.000000,5.765329
-3.357073,1.159250,-23.860000,1.334126,0.000000,0.000000,6.015995
-2.856730,1.127771,-23.860000,1.389715,0.000000,0.000000,6.266662
-2.973269,1.123845,-23.860000,1.402644,0.000000,0.000000,6.324965
-2.973269,0.457516,-23.860000,1.476528,0.000000,0.000000,6.658129
-2.973269,-0.208812,-23.860000,1.550411,0.000000,0.000000,6.991293
-2.973269,-0.875141,-23.860000,1.624295,0.000000,0.000000,7.324458
-2.856730,-0.879067,-23.860000,1.637224,0.000000,0.000000,7.382761
-3.357073,-0.910546,-23.860000,1.692813,0.000000,0.000000,7.633427
-3.833869,-1.065467,-23.860000,1.748401,0.000000,0.000000,7.884094
-4.257159,-1.334094,-23.860000,1.803990,0.000000,0.000000,8.134760
-4.600345,-1.699550,-23.860000,1.859579,0.000000,0.000000,8.385427
-4.841864,-2.138872,-23.860000,1.915167,0.000000,0.000000,8.636093
-4.966540,-2.624454,-23.860000,1.970756,0.000000,0.000000,8.886760
-4.966540,-3.125787,-23.860000,2.026344,0.000000,0.000000,9.137426
-4.841864,-3.611370,-23.860000,2.081933,0.000000,0.000000,9.388093
-4.600345,-4.050691,-23.860000,2.137521,0.000000,0.000000,9.638759
-4.257159,-4.416147,-23.860000,2.193110,0.000000,0.000000,9.889426
-3.833869,-4.684775,-23.860000,2.248699,0.000000,0.000000,10.140092
-3.357073,-4.839695,-23.860000,2.304287,0.000000,0.000000,10.390758
-2.856730,-4.871174,-23.860000,2.359876,0.000000,0.000000,10.641425
-2.364277,-4.777234,-23.860000,2.415464,0.000000,0.000000,10.892091
-1.910657,-4.563777,-23.860000,2.471053,0.000000,0.000000,11.142758
-1.524373,-4.244215,-23.860000,2.526642,0.000000,0.000000,11.393424
-1.229697,-3.838628,-23.860000,2.582230,0.000000,0.000000,11.644091
-1.045144,-3.372501,-23.860000,2.637819,0.000000,0.000000,11.894757
-0.982311,-2.875121,-23.860000,2.693407,0.000000,0.000000,12.145424
-1.045144,-2.377741,-23.860000,2.748996,0.000000,0.000000,12.396090
-1.229697,-1.911613,-23.860000,2.804584,0.000000,0.000000,12.646757
-1.524373,-1.506027,-23.860000,2.860173,0.000000,0.000000,12.897423
-1.910657,-1.186465,-23.860000,2.915762,0.000000,0.000000,13.148090
-2.364277,-0.973008,-23.860000,2.971350,0.000000,0.000000,13.398756
-2.856730,-0.879067,-23.860000,3.026939,0.000000,0.000000,13.649423
-2.856730,-0.879067,-24.860000,3.026939,0.000000,0.000000,14.649423
-2.856730,-0.879067,-25.870000,3.026939,0.000000,0.000000,14.699923
-1.601004,-1.428749,-25.870000,3.026939,0.000000,0.000000,14.768461
-1.601004,-1.428749,-23.860000,3.026939,0.000000,0.000000,14.868961
-1.601004,-1.428749,-23.860000,3.026939,0.000000,0.000000,14.868961
-1.191451,-1.037606,-23.860000,3.089734,0.000000,0.000000,15.152124
-0.781898,-0.646463,-23.860000,3.152529,0.000000,0.000000,15.435288
-0.372345,-0.255320,-23.860000,3.215325,0.000000,0.000000,15.718452
0.037208,0.135823,-23.860000,3.278120,0.000000,0.000000,16.001615
0.037208,0.135823,-23.860000,3.278120,0.000000,0.000000,16.001615
0.441005,-0.251802,-23.860000,3.340184,0.000000,0.000000,16.281484
0.844802,-0.639427,-23.860000,3.402249,0.000000,0.000000,16.561352
1.248599,-1.027053,-23.860000,3.464313,0.000000,0.000000,16.841221
1.652396,-1.414678,-23.860000,3.526378,0.000000,0.000000,17.121089
1.742841,-1.335149,-23.860000,3.539732,0.000000,0.000000,17.181308
1.399655,-1.700605,-23.860000,3.595321,0.000000,0.000000,17.431975
1.158136,-2.139926,-23.860000,3.650909,0.000000,0.000000,17.682641
1.033460,-2.625509,-23.860000,3.706498,0.000000,0.000000,17.933308
1.033460,-3.126842,-23.860000,3.762087,0.000000,0.000000,18.183974
1.158136,-3.612424,-23.860000,3.817675,0.000000,0.000000,18.434640
1.399655,-4.051746,-23.860000,3.873264,0.000000,0.000000,18.685307
1.742841,-4.417202,-23.860000,3.928852,0.000000,0.000000,18.935973
2.166131,-4.685829,-23.860000,3.984441,0.000000,0.000000,19.186640
2.642927,-4.840750,-23.860000,4.040029,0.000000,0.000000,19.437306
3.143270,-4.872229,-23.860000,4.095618,0.000000,0.000000,19.687973
3.635723,-4.778288,-23.860000,4.151207,0.000000,0.000000,19.938639
4.089343,-4.564831,-23.860000,4.206795,0.000000,0.000000,20.189306
4.475627,-4.245269,-23.860000,4.262384,0.000000,0.000000,20.439972
4.770303,-3.839682,-23.860000,4.317972,0.000000,0.000000,20.690639
4.954856,-3.373555,-23.860000,4.373561,0.000000,0.000000,20.941305
5.017689,-2.876175,-23.860000,4.429150,0.000000,0.000000,21.191972
4.954856,-2.378795,-23.860000,4.484738,0.000000,0.000000,21.442638
4.770303,-1.912668,-23.860000,4.540327,0.000000,0.000000,21.693305
4.475627,-1.507081,-23.860000,4.595915,0.000000,0.000000,21.943971
4.089343,-1.187519,-23.860000,4.651504,0.000000,0.000000,22.194637
3.635723,-0.974062,-23.860000,4.707092,0.000000,0.000000,22.445304
3.143270,-0.880122,-23.860000,4.762681,0.000000,0.000000,22.695970
2.642927,-0.911601,-23.860000,4.818270,0.000000,0.000000,22.946637
2.166131,-1.066521,-23.860000,4.873858,0.000000,0.000000,23.197303
1.742841,-1.335149,-23.860000,4.929447,0.000000,0.000000,23.447970
1.399655,-1.700605,-23.860000,4.985035,0.000000,0.000000,23.698636
1.158136,-2.139926,-23.860000,5.040624,0.000000,0.000000,23.949303
1.033460,-2.625509,-23.860000,5.096213,0.000000,0.000000,24.199969
1.033460,-3.126842,-23.860000,5.151801,0.000000,0.000000,24.450636
1.158136,-3.612424,-23.860000,5.207390,0.000000,0.000000,24.701302
1.399655,-4.051746,-23.860000,5.262978,0.000000,0.000000,24.951969
1.742841,-4.417202,-23.860000,5.318567,0.000000,0.000000,25.202635
2.166131,-4.685829,-23.860000,5.374155,0.000000,0.000000,25.453302
2.642927,-4.840750,-23.860000,5.429744,0.000000,0.000000,25.703968
3.143270,-4.872229,-23.860000,5.485333,0.000000,0.000000,25.954634
3.635723,-4.778288,-23.860000,5.540921,0.000000,0.000000,26.205301
4.089343,-4.564831,-23.860000,5.596510,0.000000,0.000000,26.455967
4.475627,-4.245269,-23.860000,5.652098,0.000000,0.000000,26.706634
4.770303,-3.839682,-23.860000,5.707687,0.000000,0.000000,26.957300
4.954856,-3.373555,-23.860000,5.763276,0.000000,0.000000,27.207967
5.017689,-2.876175,-23.860000,5.818864,0.000000,0.000000,27.458633
4.954856,-2.378795,-23.860000,5.874453,0.000000,0.000000,27.709300
4.770303,-1.912668,-23.860000,5.930041,0.000000,0.000000,27.959966
4.475627,-1.507081,-23.860000,5.985630,0.000000,0.000000,28.210633
4.089343,-1.187519,-23.860000,6.041218,0.000000,0.000000,28.461299
3.635723,-0.974062,-23.860000,6.096807,0.000000,0.000000,28.711966
3.143270,-0.880122,-23.860000,6.152396,0.000000,0.000000,28.962632
3.068742,-0.884811,-23.860000,6.160676,0.000000,0.000000,28.999970
3.063315,-0.876696,-23.860000,6.161758,0.000000,0.000000,29.004851
3.063315,-0.376435,-23.860000,6.217228,0.000000,0.000000,29.254981
3.063315,0.123825,-23.860000,6.272698,0.000000,0.000000,29.505111
3.063315,0.624085,-23.860000,6.328167,0.000000,0.000000,29.755242
3.063315,1.124345,-23.860000,6.383637,0.000000,0.000000,30.005372
3.143270,1.127771,-23.860000,6.392511,0.000000,0.000000,30.045386
3.635723,1.221712,-23.860000,6.448099,0.000000,0.000000,30.296053
4.089343,1.435169,-23.860000,6.503688,0.000000,0.000000,30.546719
4.475627,1.754731,-23.860000,6.559276,0.000000,0.000000,30.797386
4.770303,2.160318,-23.860000,6.614865,0.000000,0.000000,31.048052
4.954856,2.626445,-23.860000,6.670453,0.000000,0.000000,31.298719
5.017689,3.123825,-23.860000,6.726042,0.000000,0.000000,31.549385
4.954856,3.621205,-23.860000,6.781631,0.000000,0.000000,31.800052
4.770303,4.087332,-23.860000,6.837219,0.000000,0.000000,32.050718
4.475627,4.492919,-23.860000,6.892808,0.000000,0.000000,32.301384
4.089343,4.812481,-23.860000,6.948396,0.000000,0.000000,32.552051
3.635723,5.025938,-23.860000,7.003985,0.000000,0.000000,32.802717
3.143270,5.119878,-23.860000,7.059574,0.000000,0.000000,33.053384
2.642927,5.088399,-23.860000,7.115162,0.000000,0.000000,33.304050
2.166131,4.933479,-23.860000,7.170751,0.000000,0.000000,33.554717
1.742841,4.664851,-23.860000,7.226339,0.000000,0.000000,33.805383
1.399655,4.299395,-23.860000,7.281928,0.000000,0.000000,34.056050
1.158136,3.860074,-23.860000,7.337516,0.000000,0.000000,34.306716
