x,y,z,p1,p2,p3,t
-6.774880,3.958905,-23.860000,0.000000,0.000000,0.000000,0.000000
-6.351582,3.690272,-23.860000,0.055590,0.000000,0.000000,0.250671
-5.874777,3.535348,-23.860000,0.111179,0.000000,0.000000,0.501343
-5.374423,3.503869,-23.860000,0.166769,0.000000,0.000000,0.752014
-4.881961,3.597811,-23.860000,0.222359,0.000000,0.000000,1.002686
-4.428332,3.811272,-23.860000,0.277948,0.000000,0.000000,1.253357
-4.042041,4.130840,-23.860000,0.333538,0.000000,0.000000,1.504028
-3.747359,4.536435,-23.860000,0.389128,0.000000,0.000000,1.754700
-3.562802,5.002572,-23.860000,0.444717,0.000000,0.000000,2.005371
-3.499967,5.499961,-23.860000,0.500307,0.000000,0.000000,2.256042
-3.562802,5.997351,-23.860000,0.555897,0.000000,0.000000,2.506714
-3.747359,6.463488,-23.860000,0.611486,0.000000,0.000000,2.757385
-4.042041,6.869082,-23.860000,0.667076,0.000000,0.000000,3.008057
-4.428332,7.188650,-23.860000,0.722666,0.000000,0.000000,3.258728
-4.881961,7.402112,-23.860000,0.778255,0.000000,0.000000,3.509399
-5.374423,7.496054,-23.860000,0.833845,0.000000,0.000000,3.760071
-5.874777,7.464574,-23.860000,0.889435,0.000000,0.000000,4.010742
-6.351582,7.309651,-23.860000,0.945024,0.000000,0.000000,4.261413
-6.774880,7.041018,-23.860000,1.000614,0.000000,0.000000,4.512085
-7.118072,6.675555,-23.860000,1.056204,0.000000,0.000000,4.762756
-7.359596,6.236225,-23.860000,1.111793,0.000000,0.000000,5.013428
-7.484275,5.750633,-23.860000,1.167383,0.000000,0.000000,5.264099
-7.484275,5.249290,-23.860000,1.222973,0.000000,0.000000,5.514770
-7.359596,4.763698,-23.860000,1.278562,0.000000,0.000000,5.765442
-7.118072,4.324368,-23.860000,1.334152,0.000000,0.000000,6.016113
-6.774880,3.958905,-23.860000,1.389742,0.000000,0.000000,6.266785
-6.351582,3.690272,-23.860000,1.445331,0.000000,0.000000,6.517456
-5.874777,3.535348,-23.860000,1.500921,0.000000,0.000000,6.768127
-5.810589,3.531310,-23.860000,1.508052,0.000000,0.000000,6.800285
-5.842022,3.529382,-23.860000,1.511544,0.000000,0.000000,6.816031
-5.842022,3.025174,-23.860000,1.567452,0.000000,0.000000,7.068134
-5.842022,2.520967,-23.860000,1.623359,0.000000,0.000000,7.320238
-5.842022,2.016759,-23.860000,1.679266,0.000000,0.000000,7.572342
-5.842022,1.512551,-23.860000,1.735174,0.000000,0.000000,7.824446
-5.842022,1.008344,-23.860000,1.791081,0.000000,0.000000,8.076550
-5.842022,0.504136,-23.860000,1.846988,0.000000,0.000000,8.328654
-5.842022,-0.000072,-23.860000,1.902896,0.000000,0.000000,8.580757
-5.842022,-0.504279,-23.860000,1.958803,0.000000,0.000000,8.832861
-5.842022,-1.008487,-23.860000,2.014710,0.000000,0.000000,9.084965
-5.842022,-1.512695,-23.860000,2.070618,0.000000,0.000000,9.337069
-5.842022,-2.016902,-23.860000,2.126525,0.000000,0.000000,9.589173
-5.842022,-2.521110,-23.860000,2.182432,0.000000,0.000000,9.841277
-5.842022,-3.025318,-23.860000,2.238340,0.000000,0.000000,10.093381
-5.842022,-3.529526,-23.860000,2.294247,0.000000,0.000000,10.345484
-5.874728,-3.535483,-23.860000,2.297933,0.000000,0.000000,10.362107
-6.351518,-3.690402,-23.860000,2.353521,0.000000,0.000000,10.612770
-6.774802,-3.959026,-23.860000,2.409109,0.000000,0.000000,10.863433
-7.117984,-4.324477,-23.860000,2.464697,0.000000,0.000000,11.114096
-7.359500,-4.763793,-23.860000,2.520285,0.000000,0.000000,11.364760
-7.484174,-5.249369,-23.860000,2.575873,0.000000,0.000000,11.615423
-7.484174,-5.750696,-23.860000,2.631461,0.000000,0.000000,11.866086
-7.359500,-6.236272,-23.860000,2.687048,0.000000,0.000000,12.116749
-7.117984,-6.675588,-23.860000,2.742636,0.000000,0.000000,12.367413
-6.774802,-7.041039,-23.860000,2.798224,0.000000,0.000000,12.618076
-6.351518,-7.309664,-23.860000,2.853812,0.000000,0.000000,12.868739
-5.874728,-7.464582,-23.860000,2.909400,0.000000,0.000000,13.119402
-5.374391,-7.496061,-23.860000,2.964988,0.000000,0.000000,13.370066
-4.881944,-7.402121,-23.860000,3.020576,0.000000,0.000000,13.620729
