x,y,z,p1,p2,p3,t
7.200825,5.526980,-24.360000,0.000000,0.000000,0.000000,0.000000
7.137984,6.024422,-24.360000,0.055595,0.000000,0.000000,0.250697
6.953408,6.490607,-24.360000,0.111191,0.000000,0.000000,0.501395
6.658695,6.896244,-24.360000,0.166786,0.000000,0.000000,0.752092
6.272364,7.215845,-24.360000,0.222382,0.000000,0.000000,1.002790
5.818688,7.429329,-24.360000,0.277977,0.000000,0.000000,1.253487
5.326174,7.523281,-24.360000,0.333573,0.000000,0.000000,1.504185
4.825768,7.491798,-24.360000,0.389168,0.000000,0.000000,1.754882
4.348913,7.336858,-24.360000,0.444764,0.000000,0.000000,2.005580
3.925572,7.068197,-24.360000,0.500359,0.000000,0.000000,2.256277
3.582343,6.702696,-24.360000,0.555955,0.000000,0.000000,2.506975
3.340794,6.263320,-24.360000,0.611550,0.000000,0.000000,2.757672
3.216102,5.777678,-24.360000,0.667146,0.000000,0.000000,3.008370
3.216102,5.276283,-24.360000,0.722741,0.000000,0.000000,3.259067
3.340794,4.790640,-24.360000,0.778336,0.000000,0.000000,3.509765
3.582343,4.351264,-24.360000,0.833932,0.000000,0.000000,3.760462
3.925572,3.985763,-24.360000,0.889527,0.000000,0.000000,4.011160
4.348913,3.717102,-24.360000,0.945123,0.000000,0.000000,4.261857
4.825768,3.562163,-24.360000,1.000718,0.000000,0.000000,4.512555
5.326174,3.530680,-24.360000,1.056314,0.000000,0.000000,4.763252
5.818688,3.624632,-24.360000,1.111909,0.000000,0.000000,5.013950
6.272364,3.838115,-24.360000,1.167505,0.000000,0.000000,5.264647
6.658695,4.157717,-24.360000,1.223100,0.000000,0.000000,5.515345
6.953408,4.563354,-24.360000,1.278696,0.000000,0.000000,5.766042
7.137984,5.029539,-24.360000,1.334291,0.000000,0.000000,6.016740
7.200825,5.526980,-24.360000,1.389887,0.000000,0.000000,6.267437
7.137984,6.024422,-24.360000,1.445482,0.000000,0.000000,6.518135
6.953408,6.490607,-24.360000,1.501078,0.000000,0.000000,6.768832
6.915666,6.542554,-24.360000,1.508197,0.000000,0.000000,6.800937
6.864489,6.026420,-24.360000,1.565708,0.000000,0.000000,7.060270
6.639275,6.494080,-24.360000,1.623262,0.000000,0.000000,7.319802
6.286222,6.874581,-24.360000,1.680817,0.000000,0.000000,7.579334
5.836700,7.134113,-24.360000,1.738371,0.000000,0.000000,7.838866
5.330650,7.249616,-24.360000,1.795926,0.000000,0.000000,8.098398
4.813037,7.210826,-24.360000,1.853481,0.000000,0.000000,8.357930
4.329854,7.021191,-24.360000,1.911035,0.000000,0.000000,8.617462
3.924034,6.697560,-24.360000,1.968590,0.000000,0.000000,8.876994
3.631635,6.268689,-24.360000,2.026145,0.000000,0.000000,9.136526
3.478638,5.772686,-24.360000,2.083699,0.000000,0.000000,9.396058
3.478638,5.253622,-24.360000,2.141254,0.000000,0.000000,9.655589
3.631635,4.757618,-24.360000,2.198808,0.000000,0.000000,9.915121
3.924034,4.328748,-24.360000,2.256363,0.000000,0.000000,10.174653
4.329854,4.005116,-24.360000,2.313918,0.000000,0.000000,10.434185
4.813037,3.815481,-24.360000,2.371472,0.000000,0.000000,10.693717
5.330650,3.776691,-24.360000,2.429027,0.000000,0.000000,10.953249
5.836700,3.892194,-24.360000,2.486582,0.000000,0.000000,11.212781
6.286222,4.151726,-24.360000,2.544136,0.000000,0.000000,11.472313
6.639275,4.532227,-24.360000,2.601691,0.000000,0.000000,11.731845
6.864489,4.999887,-24.360000,2.659245,0.000000,0.000000,11.991377
6.941851,5.513154,-24.360000,2.716800,0.000000,0.000000,12.250909
6.864489,6.026420,-24.360000,2.774355,0.000000,0.000000,12.510441
6.639275,6.494080,-24.360000,2.831909,0.000000,0.000000,12.769973
6.286222,6.874581,-24.360000,2.889464,0.000000,0.000000,13.029505
6.261218,6.889017,-24.360000,2.892665,0.000000,0.000000,13.043941
6.261218,6.889017,-25.360000,2.892665,0.000000,0.000000,14.043941
6.261218,6.889017,-26.370000,2.892665,0.000000,0.000000,14.094441
5.296805,3.752859,-26.370000,2.892665,0.000000,0.000000,14.258496
5.296805,3.752859,-24.360000,2.892665,0.000000,0.000000,14.358996
5.296805,3.752859,-24.360000,2.892665,0.000000,0.000000,14.358996
5.296805,3.238866,-24.360000,2.949658,0.000000,0.000000,14.615992
5.296805,2.703245,-24.360000,3.009048,0.000000,0.000000,14.883803
5.296805,2.167624,-24.360000,3.068439,0.000000,0.000000,15.151613
5.296805,1.632003,-24.360000,3.127829,0.000000,0.000000,15.419424
5.296805,1.096383,-24.360000,3.187220,0.000000,0.000000,15.687234
5.296805,0.560762,-24.360000,3.246610,0.000000,0.000000,15.955044
5.296805,0.025141,-24.360000,3.306001,0.000000,0.000000,16.222855
5.296805,-0.510480,-24.360000,3.365391,0.000000,0.000000,16.490665
5.296805,-1.046100,-24.360000,3.424781,0.000000,0.000000,16.758475
5.296805,-1.581721,-24.360000,3.484172,0.000000,0.000000,17.026286
5.296805,-2.117342,-24.360000,3.543562,0.000000,0.000000,17.294096
5.296805,-2.652963,-24.360000,3.602953,0.000000,0.000000,17.561907
5.296805,-3.188584,-24.360000,3.662343,0.000000,0.000000,17.829717
5.296805,-3.724204,-24.360000,3.721734,0.000000,0.000000,18.097527
5.296805,-3.724204,-25.360000,3.721734,0.000000,0.000000,19.097527
5.296805,-3.724204,-26.370000,3.721734,0.000000,0.000000,19.148027
5.840480,-3.842583,-26.370000,3.721734,0.000000,0.000000,19.175848
5.840480,-3.842583,-24.360000,3.721734,0.000000,0.000000,19.276348
5.840480,-3.842583,-24.360000,3.721734,0.000000,0.000000,19.276348
5.331766,-3.726473,-24.360000,3.779591,0.000000,0.000000,19.537246
4.811429,-3.765467,-24.360000,3.837449,0.000000,0.000000,19.798144
4.325702,-3.956100,-24.360000,3.895307,0.000000,0.000000,20.059043
3.917745,-4.281435,-24.360000,3.953164,0.000000,0.000000,20.319941
3.623807,-4.712563,-24.360000,4.011022,0.000000,0.000000,20.580839
3.470005,-5.211178,-24.360000,4.068879,0.000000,0.000000,20.841737
3.470005,-5.732974,-24.360000,4.126737,0.000000,0.000000,21.102636
3.623807,-6.231589,-24.360000,4.184595,0.000000,0.000000,21.363534
3.917745,-6.662717,-24.360000,4.242452,0.000000,0.000000,21.624432
4.325702,-6.988052,-24.360000,4.300310,0.000000,0.000000,21.885330
4.811429,-7.178686,-24.360000,4.358168,0.000000,0.000000,22.146228
5.331766,-7.217680,-24.360000,4.416025,0.000000,0.000000,22.407127
5.840480,-7.101569,-24.360000,4.473883,0.000000,0.000000,22.668025
6.292369,-6.840671,-24.360000,4.531740,0.000000,0.000000,22.928923
6.647281,-6.458167,-24.360000,4.589598,0.000000,0.000000,23.189821
6.873680,-5.988045,-24.360000,4.647456,0.000000,0.000000,23.450720
6.951449,-5.472076,-24.360000,4.705313,0.000000,0.000000,23.711618
6.873680,-4.956108,-24.360000,4.763171,0.000000,0.000000,23.972516
6.647281,-4.485985,-24.360000,4.821028,0.000000,0.000000,24.233414
6.292369,-4.103482,-24.360000,4.878886,0.000000,0.000000,24.494312
5.840480,-3.842583,-24.360000,4.936744,0.000000,0.000000,24.755211
5.331766,-3.726473,-24.360000,4.994601,0.000000,0.000000,25.016109
4.811429,-3.765467,-24.360000,5.052459,0.000000,0.000000,25.277007
4.789640,-3.774018,-24.360000,5.055054,0.000000,0.000000,25.288711
4.789640,-3.774018,-25.360000,5.055054,0.000000,0.000000,26.288711
4.789640,-3.774018,-26.370000,5.055054,0.000000,0.000000,26.339211
5.823824,-3.569656,-26.370000,5.055054,0.000000,0.000000,26.391920
5.823824,-3.569656,-24.360000,5.055054,0.000000,0.000000,26.492420
5.823824,-3.569656,-24.360000,5.055054,0.000000,0.000000,26.492420
