x,y,z,p1,p2,p3,t
-2.151881,3.590447,8.060000,0.000000,0.000000,0.000000,0.000000
-2.245400,4.090729,8.060000,0.020454,0.000000,0.000000,0.254474
-2.513326,4.523445,8.060000,0.040909,0.000000,0.000000,0.508948
-2.919475,4.830154,8.060000,0.061363,0.000000,0.000000,0.763422
-3.408994,4.969434,8.060000,0.081817,0.000000,0.000000,1.017896
-3.915771,4.922475,8.060000,0.102271,0.000000,0.000000,1.272370
-4.371362,4.695617,8.060000,0.122726,0.000000,0.000000,1.526843
-4.714238,4.319500,8.060000,0.143180,0.000000,0.000000,1.781317
-4.898091,3.844920,8.060000,0.163634,0.000000,0.000000,2.035791
-4.898091,3.335973,8.060000,0.184089,0.000000,0.000000,2.290265
-4.714238,2.861393,8.060000,0.204543,0.000000,0.000000,2.544739
-4.371362,2.485276,8.060000,0.224997,0.000000,0.000000,2.799213
-3.915771,2.258418,8.060000,0.245452,0.000000,0.000000,3.053687
-3.408994,2.211459,8.060000,0.265906,0.000000,0.000000,3.308161
-2.919475,2.350739,8.060000,0.286360,0.000000,0.000000,3.562635
-2.513326,2.657448,8.060000,0.306814,0.000000,0.000000,3.817109
-2.245400,3.090165,8.060000,0.327269,0.000000,0.000000,4.071582
-2.151881,3.590447,8.060000,0.347723,0.000000,0.000000,4.326056
-2.217847,3.943334,8.060000,0.362151,0.000000,0.000000,4.505556
-2.151881,3.590447,8.060000,0.362165,0.000000,0.000000,4.685056
-2.245400,3.090165,8.060000,0.362186,0.000000,0.000000,4.939530
-2.513326,2.657448,8.060000,0.362206,0.000000,0.000000,5.194004
-2.919475,2.350739,8.060000,0.362227,0.000000,0.000000,5.448478
-3.408994,2.211459,8.060000,0.362247,0.000000,0.000000,5.702952
-3.478827,2.205874,8.060000,0.365063,0.000000,0.000000,5.737980
-3.481454,1.691476,8.060000,0.385736,0.000000,0.000000,5.995182
-3.484081,1.177078,8.060000,0.406410,0.000000,0.000000,6.252384
-3.486708,0.662680,8.060000,0.427084,0.000000,0.000000,6.509587
-3.489335,0.148282,8.060000,0.447757,0.000000,0.000000,6.766789
-3.491962,-0.366116,8.060000,0.468431,0.000000,0.000000,7.023992
-3.494589,-0.880515,8.060000,0.489104,0.000000,0.000000,7.281194
-3.497216,-1.394913,8.060000,0.509778,0.000000,0.000000,7.538397
-3.499843,-1.909311,8.060000,0.530452,0.000000,0.000000,7.795599
-3.502470,-2.423709,8.060000,0.551125,0.000000,0.000000,8.052802
-3.417495,-2.412073,8.060000,0.554572,0.000000,0.000000,8.095685
-3.921187,-2.458747,8.060000,0.574902,0.000000,0.000000,8.348610
-4.374005,-2.684224,8.060000,0.595232,0.000000,0.000000,8.601535
-4.714794,-3.058051,8.060000,0.615562,0.000000,0.000000,8.854460
-4.897529,-3.529742,8.060000,0.635891,0.000000,0.000000,9.107385
-4.897529,-4.035592,8.060000,0.656221,0.000000,0.000000,9.360310
-4.714794,-4.507283,8.060000,0.676551,0.000000,0.000000,9.613235
-4.374005,-4.881111,8.060000,0.696881,0.000000,0.000000,9.866160
-3.921187,-5.106588,8.060000,0.717210,0.000000,0.000000,10.119085
-3.417495,-5.153262,8.060000,0.737540,0.000000,0.000000,10.372010
-2.930956,-5.014829,8.060000,0.757870,0.000000,0.000000,10.624935
-2.527279,-4.709987,8.060000,0.778200,0.000000,0.000000,10.877860
-2.260983,-4.279904,8.060000,0.798530,0.000000,0.000000,11.130785
-2.168033,-3.782667,8.060000,0.818859,0.000000,0.000000,11.383710
-2.260983,-3.285430,8.060000,0.839189,0.000000,0.000000,11.636635
-2.527279,-2.855348,8.060000,0.859519,0.000000,0.000000,11.889560
-2.930956,-2.550505,8.060000,0.879849,0.000000,0.000000,12.142485
-3.417495,-2.412073,8.060000,0.900179,0.000000,0.000000,12.395410
-3.774964,-2.445197,8.060000,0.914607,0.000000,0.000000,12.574910
-3.417495,-2.412073,8.060000,0.914621,0.000000,0.000000,12.754410
-2.930956,-2.550505,8.060000,0.914641,0.000000,0.000000,13.007335
-2.527279,-2.855348,8.060000,0.914662,0.000000,0.000000,13.260260
-2.260983,-3.285430,8.060000,0.914682,0.000000,0.000000,13.513185
-2.318396,-3.157104,8.060000,0.920332,0.000000,0.000000,13.583477
-1.989198,-2.724102,8.060000,0.942192,0.000000,0.000000,13.855443
-1.660000,-2.291100,8.060000,0.964053,0.000000,0.000000,14.127409
-1.330802,-1.858098,8.060000,0.985913,0.000000,0.000000,14.399375
-1.001604,-1.425095,8.060000,1.007773,0.000000,0.000000,14.671341
-0.672406,-0.992093,8.060000,1.029633,0.000000,0.000000,14.943307
-0.343208,-0.559091,8.060000,1.051494,0.000000,0.000000,15.215274
-0.014010,-0.126089,8.060000,1.073354,0.000000,0.000000,15.487240
-0.014010,-0.126089,8.060000,1.073354,0.000000,0.000000,15.487240
0.325566,-0.565684,8.060000,1.095678,0.000000,0.000000,15.764979
0.665142,-1.005279,8.060000,1.118003,0.000000,0.000000,16.042717
1.004718,-1.444874,8.060000,1.140327,0.000000,0.000000,16.320456
1.344294,-1.884469,8.060000,1.162651,0.000000,0.000000,16.598195
1.683869,-2.324064,8.060000,1.184976,0.000000,0.000000,16.875934
2.023445,-2.763659,8.060000,1.207300,0.000000,0.000000,17.153673
2.363021,-3.203254,8.060000,1.229624,0.000000,0.000000,17.431412
2.415022,-3.099331,8.060000,1.234294,0.000000,0.000000,17.489515
2.232099,-3.571510,8.060000,1.254645,0.000000,0.000000,17.742702
2.232099,-4.077884,8.060000,1.274996,0.000000,0.000000,17.995889
2.415022,-4.550063,8.060000,1.295347,0.000000,0.000000,18.249076
2.756164,-4.924278,8.060000,1.315698,0.000000,0.000000,18.502263
3.209451,-5.149988,8.060000,1.336049,0.000000,0.000000,18.755450
3.713665,-5.196710,8.060000,1.356400,0.000000,0.000000,19.008637
4.200708,-5.058135,8.060000,1.376750,0.000000,0.000000,19.261823
4.604803,-4.752976,8.060000,1.397101,0.000000,0.000000,19.515010
4.871374,-4.322449,8.060000,1.417452,0.000000,0.000000,19.768197
4.964420,-3.824697,8.060000,1.437803,0.000000,0.000000,20.021384
4.871374,-3.326945,8.060000,1.458154,0.000000,0.000000,20.274571
4.604803,-2.896418,8.060000,1.478505,0.000000,0.000000,20.527758
4.200708,-2.591259,8.060000,1.498855,0.000000,0.000000,20.780945
