x,y,z,p1,p2,p3,t
-2.123861,3.590447,8.160000,0.000000,0.000000,0.000000,0.000000
-2.217380,4.090729,8.160000,0.025447,0.000000,0.000000,0.254474
-2.485306,4.523445,8.160000,0.050895,0.000000,0.000000,0.508948
-2.891455,4.830154,8.160000,0.076342,0.000000,0.000000,0.763422
-3.380974,4.969434,8.160000,0.101790,0.000000,0.000000,1.017896
-3.887751,4.922475,8.160000,0.127237,0.000000,0.000000,1.272370
-4.343343,4.695617,8.160000,0.152684,0.000000,0.000000,1.526843
-4.686218,4.319500,8.160000,0.178132,0.000000,0.000000,1.781317
-4.870072,3.844920,8.160000,0.203579,0.000000,0.000000,2.035791
-4.870072,3.335973,8.160000,0.229027,0.000000,0.000000,2.290265
-4.686218,2.861393,8.160000,0.254474,0.000000,0.000000,2.544739
-4.343343,2.485276,8.160000,0.279921,0.000000,0.000000,2.799213
-3.887751,2.258418,8.160000,0.305369,0.000000,0.000000,3.053687
-3.380974,2.211459,8.160000,0.330816,0.000000,0.000000,3.308161
-2.891455,2.350739,8.160000,0.356263,0.000000,0.000000,3.562635
-2.485306,2.657448,8.160000,0.381711,0.000000,0.000000,3.817109
-2.217380,3.090165,8.160000,0.407158,0.000000,0.000000,4.071582
-2.123861,3.590447,8.160000,0.432606,0.000000,0.000000,4.326056
-2.123861,3.590447,7.160000,0.432606,0.000000,0.000000,5.326056
-2.123861,3.590447,6.150000,0.432606,0.000000,0.000000,5.376556
-3.478827,2.205874,6.150000,0.432606,0.000000,0.000000,5.473419
-3.478827,2.205874,8.160000,0.432606,0.000000,0.000000,5.573919
-3.478827,2.205874,8.160000,0.432606,0.000000,0.000000,5.573919
-3.481454,1.691476,8.160000,0.458326,0.000000,0.000000,5.831122
-3.484081,1.177078,8.160000,0.484046,0.000000,0.000000,6.088324
-3.486708,0.662680,8.160000,0.509766,0.000000,0.000000,6.345527
-3.489335,0.148282,8.160000,0.535487,0.000000,0.000000,6.602729
-3.491962,-0.366116,8.160000,0.561207,0.000000,0.000000,6.859931
-3.494589,-0.880515,8.160000,0.586927,0.000000,0.000000,7.117134
-3.497216,-1.394913,8.160000,0.612647,0.000000,0.000000,7.374336
-3.499843,-1.909311,8.160000,0.638368,0.000000,0.000000,7.631539
-3.502470,-2.423709,8.160000,0.664088,0.000000,0.000000,7.888741
-3.502470,-2.423709,7.160000,0.664088,0.000000,0.000000,8.888741
-3.502470,-2.423709,6.150000,0.664088,0.000000,0.000000,8.939241
-2.168033,-3.782667,6.150000,0.664088,0.000000,0.000000,9.034471
-2.168033,-3.782667,8.160000,0.664088,0.000000,0.000000,9.134971
-2.168033,-3.782667,8.160000,0.664088,0.000000,0.000000,9.134971
-2.260983,-3.285430,8.160000,0.689380,0.000000,0.000000,9.387896
-2.527279,-2.855348,8.160000,0.714673,0.000000,0.000000,9.640821
-2.930956,-2.550505,8.160000,0.739965,0.000000,0.000000,9.893746
-3.417495,-2.412073,8.160000,0.765258,0.000000,0.000000,10.146671
-3.921187,-2.458747,8.160000,0.790550,0.000000,0.000000,10.399596
-4.374005,-2.684224,8.160000,0.815843,0.000000,0.000000,10.652521
-4.714794,-3.058051,8.160000,0.841135,0.000000,0.000000,10.905446
-4.897529,-3.529742,8.160000,0.866428,0.000000,0.000000,11.158371
-4.897529,-4.035592,8.160000,0.891720,0.000000,0.000000,11.411296
-4.714794,-4.507283,8.160000,0.917013,0.000000,0.000000,11.664221
-4.374005,-4.881111,8.160000,0.942305,0.000000,0.000000,11.917146
-3.921187,-5.106588,8.160000,0.967598,0.000000,0.000000,12.170071
-3.417495,-5.153262,8.160000,0.992890,0.000000,0.000000,12.422996
-2.930956,-5.014829,8.160000,1.018183,0.000000,0.000000,12.675921
-2.527279,-4.709987,8.160000,1.043475,0.000000,0.000000,12.928846
-2.260983,-4.279904,8.160000,1.068768,0.000000,0.000000,13.181771
-2.168033,-3.782667,8.160000,1.094060,0.000000,0.000000,13.434696
-2.168033,-3.782667,7.160000,1.094060,0.000000,0.000000,14.434696
-2.168033,-3.782667,6.150000,1.094060,0.000000,0.000000,14.485196
-2.318396,-3.157104,6.150000,1.094060,0.000000,0.000000,14.517365
-2.318396,-3.157104,8.160000,1.094060,0.000000,0.000000,14.617865
-2.318396,-3.157104,8.160000,1.094060,0.000000,0.000000,14.617865
-1.989198,-2.724102,8.160000,1.121257,0.000000,0.000000,14.889831
-1.660000,-2.291100,8.160000,1.148454,0.000000,0.000000,15.161797
-1.330802,-1.858098,8.160000,1.175650,0.000000,0.000000,15.433763
-1.001604,-1.425095,8.160000,1.202847,0.000000,0.000000,15.705729
-0.672406,-0.992093,8.160000,1.230043,0.000000,0.000000,15.977695
-0.343208,-0.559091,8.160000,1.257240,0.000000,0.000000,16.249661
-0.014010,-0.126089,8.160000,1.284437,0.000000,0.000000,16.521627
-0.014010,-0.126089,8.160000,1.284437,0.000000,0.000000,16.521627
0.325566,-0.565684,8.160000,1.312210,0.000000,0.000000,16.799366
0.665142,-1.005279,8.160000,1.339984,0.000000,0.000000,17.077105
1.004718,-1.444874,8.160000,1.367758,0.000000,0.000000,17.354844
1.344294,-1.884469,8.160000,1.395532,0.000000,0.000000,17.632583
1.683869,-2.324064,8.160000,1.423306,0.000000,0.000000,17.910322
2.023445,-2.763659,8.160000,1.451080,0.000000,0.000000,18.188061
2.363021,-3.203254,8.160000,1.478854,0.000000,0.000000,18.465800
2.363021,-3.203254,7.160000,1.478854,0.000000,0.000000,19.465800
2.363021,-3.203254,6.150000,1.478854,0.000000,0.000000,19.516300
4.946354,-3.796677,6.150000,1.478854,0.000000,0.000000,19.648830
4.946354,-3.796677,8.160000,1.478854,0.000000,0.000000,19.749330
4.946354,-3.796677,8.160000,1.478854,0.000000,0.000000,19.749330
4.854528,-3.305452,8.160000,1.503840,0.000000,0.000000,19.999197
4.591451,-2.880569,8.160000,1.528827,0.000000,0.000000,20.249064
4.192655,-2.579412,8.160000,1.553814,0.000000,0.000000,20.498932
