x,y,z,p1,p2,p3,t
-2.151881,3.590447,-0.010000,0.000000,0.000000,0.000000,0.000000
-2.245400,4.090729,-0.010000,0.001199,0.000000,0.000000,0.254474
-2.513326,4.523445,-0.010000,0.002398,0.000000,0.000000,0.508948
-2.919475,4.830154,-0.010000,0.003598,0.000000,0.000000,0.763422
-3.408994,4.969434,-0.010000,0.004797,0.000000,0.000000,1.017896
-3.915771,4.922475,-0.010000,0.005996,0.000000,0.000000,1.272370
-4.371362,4.695617,-0.010000,0.007195,0.000000,0.000000,1.526843
-4.714238,4.319500,-0.010000,0.008394,0.000000,0.000000,1.781317
-4.898091,3.844920,-0.010000,0.009593,0.000000,0.000000,2.035791
-4.898091,3.335973,-0.010000,0.010793,0.000000,0.000000,2.290265
-4.714238,2.861393,-0.010000,0.011992,0.000000,0.000000,2.544739
-4.371362,2.485276,-0.010000,0.013191,0.000000,0.000000,2.799213
-3.915771,2.258418,-0.010000,0.014390,0.000000,0.000000,3.053687
-3.408994,2.211459,-0.010000,0.015589,0.000000,0.000000,3.308161
-2.919475,2.350739,-0.010000,0.016789,0.000000,0.000000,3.562635
-2.513326,2.657448,-0.010000,0.017988,0.000000,0.000000,3.817109
-2.245400,3.090165,-0.010000,0.019187,0.000000,0.000000,4.071582
-2.151881,3.590447,-0.010000,0.020386,0.000000,0.000000,4.326056
-2.173931,3.708403,-0.010000,0.020669,0.000000,0.000000,4.386056
-2.173931,3.708403,-1.010000,0.020669,0.000000,0.000000,5.386056
-2.173931,3.708403,-3.020000,0.020669,0.000000,0.000000,5.486556
-1.951881,3.590447,-3.020000,0.020669,0.000000,0.000000,5.499128
-1.951881,3.590447,-1.010000,0.020669,0.000000,0.000000,5.599628
-1.951881,3.590447,-1.010000,0.020669,0.000000,0.000000,5.599628
-2.037755,4.105061,-1.010000,0.021898,0.000000,0.000000,5.860493
-2.286071,4.563910,-1.010000,0.023127,0.000000,0.000000,6.121359
-2.669920,4.917268,-1.010000,0.024357,0.000000,0.000000,6.382224
-3.147707,5.126845,-1.010000,0.025586,0.000000,0.000000,6.643089
-3.667656,5.169929,-1.010000,0.026815,0.000000,0.000000,6.903954
-4.173422,5.041852,-1.010000,0.028045,0.000000,0.000000,7.164820
-4.610197,4.756492,-1.010000,0.029274,0.000000,0.000000,7.425685
-4.930650,4.344774,-1.010000,0.030503,0.000000,0.000000,7.686550
-5.100056,3.851312,-1.010000,0.031732,0.000000,0.000000,7.947415
-5.100056,3.329581,-1.010000,0.032962,0.000000,0.000000,8.208281
-4.930650,2.836120,-1.010000,0.034191,0.000000,0.000000,8.469146
-4.610197,2.424401,-1.010000,0.035420,0.000000,0.000000,8.730011
-4.173422,2.139041,-1.010000,0.036650,0.000000,0.000000,8.990876
-3.667656,2.010964,-1.010000,0.037879,0.000000,0.000000,9.251742
-3.147707,2.054048,-1.010000,0.039108,0.000000,0.000000,9.512607
-2.669920,2.263625,-1.010000,0.040338,0.000000,0.000000,9.773472
-2.286071,2.616984,-1.010000,0.041567,0.000000,0.000000,10.034337
-2.037755,3.075832,-1.010000,0.042796,0.000000,0.000000,10.295203
-1.951881,3.590447,-1.010000,0.044025,0.000000,0.000000,10.556068
-1.971632,3.708810,-1.010000,0.044308,0.000000,0.000000,10.616068
-1.951881,3.590447,-1.010000,0.044309,0.000000,0.000000,10.676068
-2.037755,3.075832,-1.010000,0.044310,0.000000,0.000000,10.936933
-2.286071,2.616984,-1.010000,0.044312,0.000000,0.000000,11.197798
-2.669920,2.263625,-1.010000,0.044313,0.000000,0.000000,11.458664
-3.147707,2.054048,-1.010000,0.044314,0.000000,0.000000,11.719529
-3.278829,2.204853,-1.010000,0.044785,0.000000,0.000000,11.819448
-3.281456,1.690455,-1.010000,0.045997,0.000000,0.000000,12.076650
-3.284083,1.176057,-1.010000,0.047209,0.000000,0.000000,12.333852
-3.286710,0.661659,-1.010000,0.048421,0.000000,0.000000,12.591055
-3.289337,0.147260,-1.010000,0.049633,0.000000,0.000000,12.848257
-3.291964,-0.367138,-1.010000,0.050845,0.000000,0.000000,13.105460
-3.294591,-0.881536,-1.010000,0.052057,0.000000,0.000000,13.362662
-3.297218,-1.395934,-1.010000,0.053269,0.000000,0.000000,13.619865
-3.299845,-1.910332,-1.010000,0.054481,0.000000,0.000000,13.877067
-3.302472,-2.424730,-1.010000,0.055693,0.000000,0.000000,14.134269
-3.302472,-2.424730,-2.010000,0.055693,0.000000,0.000000,15.134269
-3.302472,-2.424730,-3.020000,0.055693,0.000000,0.000000,15.184769
-3.417495,-2.412073,-3.020000,0.055693,0.000000,0.000000,15.190555
-3.417495,-2.412073,-0.010000,0.055693,0.000000,0.000000,15.341055
-3.417495,-2.412073,-0.010000,0.055693,0.000000,0.000000,15.341055
-3.921187,-2.458747,-0.010000,0.056885,0.000000,0.000000,15.593980
-4.374005,-2.684224,-0.010000,0.058077,0.000000,0.000000,15.846905
-4.714794,-3.058051,-0.010000,0.059269,0.000000,0.000000,16.099830
-4.897529,-3.529742,-0.010000,0.060461,0.000000,0.000000,16.352755
-4.897529,-4.035592,-0.010000,0.061653,0.000000,0.000000,16.605680
