x,y,z,p1,p2,p3,t
3.195671,2.506948,-0.110000,0.000000,0.000000,0.000000,0.000000
3.143612,2.768665,-0.110000,0.000629,0.000000,0.000000,0.053369
2.995362,2.990537,-0.110000,0.001257,0.000000,0.000000,0.106737
2.773490,3.138787,-0.110000,0.001886,0.000000,0.000000,0.160106
2.511774,3.190846,-0.110000,0.002515,0.000000,0.000000,0.213475
2.250057,3.138787,-0.110000,0.003144,0.000000,0.000000,0.266843
2.028185,2.990537,-0.110000,0.003772,0.000000,0.000000,0.320212
1.879935,2.768665,-0.110000,0.004401,0.000000,0.000000,0.373581
1.827876,2.506948,-0.110000,0.005030,0.000000,0.000000,0.426950
1.879935,2.245232,-0.110000,0.005659,0.000000,0.000000,0.480318
2.028185,2.023360,-0.110000,0.006287,0.000000,0.000000,0.533687
2.250057,1.875110,-0.110000,0.006916,0.000000,0.000000,0.587056
2.511774,1.823051,-0.110000,0.007545,0.000000,0.000000,0.640424
2.773490,1.875110,-0.110000,0.008174,0.000000,0.000000,0.693793
2.995362,2.023360,-0.110000,0.008802,0.000000,0.000000,0.747162
3.143612,2.245232,-0.110000,0.009431,0.000000,0.000000,0.800530
3.195671,2.506948,-0.110000,0.010060,0.000000,0.000000,0.853899
3.143612,2.768665,-0.110000,0.010688,0.000000,0.000000,0.907268
2.995362,2.990537,-0.110000,0.011317,0.000000,0.000000,0.960636
2.773490,3.138787,-0.110000,0.011946,0.000000,0.000000,1.014005
2.511774,3.190846,-0.110000,0.012575,0.000000,0.000000,1.067374
2.250057,3.138787,-0.110000,0.013203,0.000000,0.000000,1.120743
2.028185,2.990537,-0.110000,0.013832,0.000000,0.000000,1.174111
1.879935,2.768665,-0.110000,0.014461,0.000000,0.000000,1.227480
1.827876,2.506948,-0.110000,0.015090,0.000000,0.000000,1.280849
1.879935,2.245232,-0.110000,0.015718,0.000000,0.000000,1.334217
2.028185,2.023360,-0.110000,0.016347,0.000000,0.000000,1.387586
2.250057,1.875110,-0.110000,0.016976,0.000000,0.000000,1.440955
2.511774,1.823051,-0.110000,0.017605,0.000000,0.000000,1.494323
2.522443,1.825174,-0.110000,0.017630,0.000000,0.000000,1.496499
2.556000,1.824483,-0.110000,0.017709,0.000000,0.000000,1.503212
