x,y,z,p1,p2,p3,t
5.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000
4.974347,0.505842,0.200000,0.759738,0.000000,0.000000,0.101298
4.897650,1.006493,0.200000,1.519475,0.000000,0.000000,0.202597
4.770696,1.496816,0.200000,2.279213,0.000000,0.000000,0.303895
4.594789,1.971779,0.200000,3.038950,0.000000,0.000000,0.405193
4.371733,2.426510,0.200000,3.798688,0.000000,0.000000,0.506492
4.103817,2.856341,0.200000,4.558425,0.000000,0.000000,0.607790
3.793791,3.256862,0.200000,5.318163,0.000000,0.000000,0.709088
3.444835,3.623964,0.200000,6.077900,0.000000,0.000000,0.810387
3.060530,3.953879,0.200000,6.837638,0.000000,0.000000,0.911685
2.644820,4.243221,0.200000,7.597375,0.000000,0.000000,1.012983
2.201971,4.489023,0.200000,8.357113,0.000000,0.000000,1.114282
1.736526,4.688761,0.200000,9.116850,0.000000,0.000000,1.215580
1.253263,4.840386,0.200000,9.876588,0.000000,0.000000,1.316878
0.757139,4.942342,0.200000,10.636325,0.000000,0.000000,1.418177
0.253246,4.993583,0.200000,11.396063,0.000000,0.000000,1.519475
-0.253246,4.993583,0.200000,12.155801,0.000000,0.000000,1.620773
-0.757139,4.942342,0.200000,12.915538,0.000000,0.000000,1.722072
-1.253263,4.840386,0.200000,13.675276,0.000000,0.000000,1.823370
-1.736526,4.688761,0.200000,14.435013,0.000000,0.000000,1.924668
-2.201971,4.489023,0.200000,15.194751,0.000000,0.000000,2.025967
-2.644820,4.243221,0.200000,15.954488,0.000000,0.000000,2.127265
-3.060530,3.953879,0.200000,16.714226,0.000000,0.000000,2.228563
-3.444835,3.623964,0.200000,17.473963,0.000000,0.000000,2.329862
-3.793791,3.256862,0.200000,18.233701,0.000000,0.000000,2.431160
-4.103817,2.856341,0.200000,18.993438,0.000000,0.000000,2.532458
-4.371733,2.426510,0.200000,19.753176,0.000000,0.000000,2.633757
-4.594789,1.971779,0.200000,20.512913,0.000000,0.000000,2.735055
-4.770696,1.496816,0.200000,21.272651,0.000000,0.000000,2.836353
-4.897650,1.006493,0.200000,22.032388,0.000000,0.000000,2.937652
-4.974347,0.505842,0.200000,22.792126,0.000000,0.000000,3.038950
-5.000000,0.000000,0.200000,23.551864,0.000000,0.000000,3.140248
-4.974347,-0.505842,0.200000,24.311601,0.000000,0.000000,3.241547
-4.897650,-1.006493,0.200000,25.071339,0.000000,0.000000,3.342845
-4.770696,-1.496816,0.200000,25.831076,0.000000,0.000000,3.444143
-4.594789,-1.971779,0.200000,26.590814,0.000000,0.000000,3.545442
-4.371733,-2.426510,0.200000,27.350551,0.000000,0.000000,3.646740
-4.103817,-2.856341,0.200000,28.110289,0.000000,0.000000,3.748038
-3.793791,-3.256862,0.200000,28.870026,0.000000,0.000000,3.849337
-3.444835,-3.623964,0.200000,29.629764,0.000000,0.000000,3.950635
-3.060530,-3.953879,0.200000,30.389501,0.000000,0.000000,4.051934
-2.644820,-4.243221,0.200000,31.149239,0.000000,0.000000,4.153232
-2.201971,-4.489023,0.200000,31.908976,0.000000,0.000000,4.254530
-1.736526,-4.688761,0.200000,32.668714,0.000000,0.000000,4.355829
-1.253263,-4.840386,0.200000,33.428451,0.000000,0.000000,4.457127
-0.757139,-4.942342,0.200000,34.188189,0.000000,0.000000,4.558425
-0.253246,-4.993583,0.200000,34.947926,0.000000,0.000000,4.659724
0.253246,-4.993583,0.200000,35.707664,0.000000,0.000000,4.761022
0.757139,-4.942342,0.200000,36.467402,0.000000,0.000000,4.862320
1.253263,-4.840386,0.200000,37.227139,0.000000,0.000000,4.963619
1.736526,-4.688761,0.200000,37.986877,0.000000,0.000000,5.064917
2.201971,-4.489023,0.200000,38.746614,0.000000,0.000000,5.166215
2.644820,-4.243221,0.200000,39.506352,0.000000,0.000000,5.267514
3.060530,-3.953879,0.200000,40.266089,0.000000,0.000000,5.368812
3.444835,-3.623964,0.200000,41.025827,0.000000,0.000000,5.470110
3.793791,-3.256862,0.200000,41.785564,0.000000,0.000000,5.571409
4.103817,-2.856341,0.200000,42.545302,0.000000,0.000000,5.672707
4.371733,-2.426510,0.200000,43.305039,0.000000,0.000000,5.774005
4.594789,-1.971779,0.200000,44.064777,0.000000,0.000000,5.875304
4.770696,-1.496816,0.200000,44.824514,0.000000,0.000000,5.976602
4.897650,-1.006493,0.200000,45.584252,0.000000,0.000000,6.077900
4.974347,-0.505842,0.200000,46.343989,0.000000,0.000000,6.179199
5.000000,-0.000000,0.200000,47.103727,0.000000,0.000000,6.280497
5.000000,-0.000000,1.200000,47.103727,0.000000,0.000000,7.280497
5.000000,-0.000000,2.400000,47.103727,0.000000,0.000000,7.340497
6.000000,-2.000000,2.400000,47.103727,0.000000,0.000000,7.452300
6.000000,-2.000000,0.200000,47.103727,0.000000,0.000000,7.562300
6.000000,-2.000000,0.200000,47.103727,0.000000,0.000000,7.562300
6.444444,-2.000000,0.200000,47.770394,0.000000,0.000000,7.651189
6.888889,-2.000000,0.200000,48.437060,0.000000,0.000000,7.740078
7.333333,-2.000000,0.200000,49.103727,0.000000,0.000000,7.828967
7.777778,-2.000000,0.200000,49.770394,0.000000,0.000000,7.917856
8.222222,-2.000000,0.200000,50.437060,0.000000,0.000000,8.006745
8.666667,-2.000000,0.200000,51.103727,0.000000,0.000000,8.095634
9.111111,-2.000000,0.200000,51.770394,0.000000,0.000000,8.184523
9.555556,-2.000000,0.200000,52.437060,0.000000,0.000000,8.273411
10.000000,-2.000000,0.200000,53.103727,0.000000,0.000000,8.362300
10.000000,-1.555556,0.200000,53.770394,0.000000,0.000000,8.451189
10.000000,-1.111111,0.200000,54.437060,0.000000,0.000000,8.540078
10.000000,-0.666667,0.200000,55.103727,0.000000,0.000000,8.628967
10.000000,-0.222222,0.200000,55.770394,0.000000,0.000000,8.717856
10.000000,0.222222,0.200000,56.437060,0.000000,0.000000,8.806745
10.000000,0.666667,0.200000,57.103727,0.000000,0.000000,8.895634
10.000000,1.111111,0.200000,57.770394,0.000000,0.000000,8.984523
10.000000,1.555556,0.200000,58.437060,0.000000,0.000000,9.073411
10.000000,2.000000,0.200000,59.103727,0.000000,0.000000,9.162300
9.555556,2.000000,0.200000,59.770394,0.000000,0.000000,9.251189
9.111111,2.000000,0.200000,60.437060,0.000000,0.000000,9.340078
8.666667,2.000000,0.200000,61.103727,0.000000,0.000000,9.428967
8.222222,2.000000,0.200000,61.770394,0.000000,0.000000,9.517856
7.777778,2.000000,0.200000,62.437060,0.000000,0.000000,9.606745
7.333333,2.000000,0.200000,63.103727,0.000000,0.000000,9.695634
6.888889,2.000000,0.200000,63.770394,0.000000,0.000000,9.784523
6.444444,2.000000,0.200000,64.437060,0.000000,0.000000,9.873411
6.000000,2.000000,0.200000,65.103727,0.000000,0.000000,9.962300
6.000000,1.500000,0.200000,65.853727,0.000000,0.000000,10.062300
