x,y,z,p1,p2,p3,t
-0.373763,-1.443915,-23.080000,0.000000,0.000000,0.000000,0.000000
-0.845651,-1.092983,-23.080000,0.065207,0.000000,0.000000,0.117615
-1.317538,-0.742052,-23.080000,0.130413,0.000000,0.000000,0.235229
-1.789425,-0.391121,-23.080000,0.195620,0.000000,0.000000,0.352844
-2.261313,-0.040189,-23.080000,0.260826,0.000000,0.000000,0.470459
-2.261313,-0.040189,-23.080000,0.260826,0.000000,0.000000,0.470459
-1.778378,0.301444,-23.080000,0.326419,0.000000,0.000000,0.588770
-1.295443,0.643077,-23.080000,0.392012,0.000000,0.000000,0.707082
-0.812508,0.984710,-23.080000,0.457604,0.000000,0.000000,0.825393
-0.329573,1.326343,-23.080000,0.523197,0.000000,0.000000,0.943704
-0.563895,1.160582,-23.080000,0.555023,0.000000,0.000000,1.001109
-0.812508,0.984710,-23.080000,0.588790,0.000000,0.000000,1.062016
-1.295443,0.643077,-23.080000,0.654383,0.000000,0.000000,1.180327
-1.778378,0.301444,-23.080000,0.719975,0.000000,0.000000,1.298638
-2.261313,-0.040189,-23.080000,0.785568,0.000000,0.000000,1.416950
-2.261313,-0.040189,-23.080000,0.785568,0.000000,0.000000,1.416950
-1.789425,-0.391121,-23.080000,0.850775,0.000000,0.000000,1.534564
-1.317538,-0.742052,-23.080000,0.915981,0.000000,0.000000,1.652179
-0.845651,-1.092983,-23.080000,0.981188,0.000000,0.000000,1.769794
-0.373763,-1.443915,-23.080000,1.046394,0.000000,0.000000,1.887409
-0.392442,-1.477865,-23.080000,1.050691,0.000000,0.000000,1.895158
-0.183084,-1.014714,-23.080000,1.107049,0.000000,0.000000,1.996813
-0.055011,-0.522843,-23.080000,1.163406,0.000000,0.000000,2.098467
-0.011907,-0.016404,-23.080000,1.219764,0.000000,0.000000,2.200121
-0.055011,0.490036,-23.080000,1.276122,0.000000,0.000000,2.301775
-0.183084,0.981907,-23.080000,1.332480,0.000000,0.000000,2.403429
-0.392442,1.445057,-23.080000,1.388838,0.000000,0.000000,2.505083
-0.677061,1.866165,-23.080000,1.445196,0.000000,0.000000,2.606738
-1.028753,2.233114,-23.080000,1.501554,0.000000,0.000000,2.708392
-1.437401,2.535349,-23.080000,1.557911,0.000000,0.000000,2.810046
-1.891249,2.764174,-23.080000,1.614269,0.000000,0.000000,2.911700
-2.377241,2.913007,-23.080000,1.670627,0.000000,0.000000,3.013354
-2.881395,2.977567,-23.080000,1.726985,0.000000,0.000000,3.115008
-3.389208,2.955995,-23.080000,1.783343,0.000000,0.000000,3.216663
-3.886071,2.848913,-23.080000,1.839701,0.000000,0.000000,3.318317
-4.357690,2.659401,-23.080000,1.896059,0.000000,0.000000,3.419971
-4.790497,2.392911,-23.080000,1.952417,0.000000,0.000000,3.521625
-5.172042,2.057109,-23.080000,2.008774,0.000000,0.000000,3.623279
-5.491348,1.661656,-23.080000,2.065132,0.000000,0.000000,3.724933
-5.739229,1.217929,-23.080000,2.121490,0.000000,0.000000,3.826588
-5.908554,0.738692,-23.080000,2.177848,0.000000,0.000000,3.928242
-5.994452,0.237732,-23.080000,2.234206,0.000000,0.000000,4.029896
-5.994452,-0.270539,-23.080000,2.290564,0.000000,0.000000,4.131550
-5.908554,-0.771499,-23.080000,2.346922,0.000000,0.000000,4.233204
-5.739229,-1.250736,-23.080000,2.403279,0.000000,0.000000,4.334858
-5.491348,-1.694464,-23.080000,2.459637,0.000000,0.000000,4.436512
-5.172042,-2.089916,-23.080000,2.515995,0.000000,0.000000,4.538167
