x,y,z,p1,p2,p3,t
-2.182306,-5.051085,3.520000,0.000000,0.000000,0.000000,0.000000
-1.637295,-5.053497,3.520000,0.000000,0.021904,0.000000,0.109003
-1.092285,-5.055908,3.520000,0.000000,0.043808,0.000000,0.218006
-0.547275,-5.058320,3.520000,0.000000,0.065712,0.000000,0.327009
-0.002265,-5.060731,3.520000,0.000000,0.087615,0.000000,0.436012
0.542745,-5.063143,3.520000,0.000000,0.109519,0.000000,0.545016
1.087756,-5.065554,3.520000,0.000000,0.131423,0.000000,0.654019
1.632766,-5.067966,3.520000,0.000000,0.153327,0.000000,0.763022
2.177776,-5.070377,3.520000,0.000000,0.175231,0.000000,0.872025
2.177776,-5.070377,3.520000,0.000000,0.175231,0.000000,0.872025
2.190638,-4.504467,3.520000,0.000000,0.197980,0.000000,0.985236
2.203499,-3.938557,3.520000,0.000000,0.220730,0.000000,1.098447
2.216361,-3.372647,3.520000,0.000000,0.243479,0.000000,1.211659
2.216361,-3.372647,3.520000,0.000000,0.243479,0.000000,1.211659
1.386788,-3.372647,3.520000,0.000000,0.276819,0.000000,1.377573
1.386788,-3.372647,3.520000,0.000000,0.276819,0.000000,1.377573
1.535865,-2.883321,3.520000,0.000000,0.297377,0.000000,1.479879
1.684943,-2.393996,3.520000,0.000000,0.317935,0.000000,1.582186
1.834021,-1.904670,3.520000,0.000000,0.338493,0.000000,1.684492
1.983098,-1.415345,3.520000,0.000000,0.359051,0.000000,1.786798
2.132176,-0.926020,3.520000,0.000000,0.379610,0.000000,1.889104
2.281254,-0.436694,3.520000,0.000000,0.400168,0.000000,1.991410
2.430331,0.052631,3.520000,0.000000,0.420726,0.000000,2.093716
2.579409,0.541956,3.520000,0.000000,0.441284,0.000000,2.196022
2.728486,1.031282,3.520000,0.000000,0.461842,0.000000,2.298328
2.877564,1.520607,3.520000,0.000000,0.482400,0.000000,2.400634
3.026642,2.009932,3.520000,0.000000,0.502958,0.000000,2.502940
3.026642,2.009932,3.520000,0.000000,0.502958,0.000000,2.502940
3.541105,2.016363,3.520000,0.000000,0.523636,0.000000,2.605841
4.055569,2.022794,3.520000,0.000000,0.544313,0.000000,2.708742
4.570033,2.029225,3.520000,0.000000,0.564991,0.000000,2.811643
4.586809,2.029225,3.520000,0.000000,0.565665,0.000000,2.814998
4.612533,2.659443,3.520000,0.000000,0.591014,0.000000,2.941147
4.638256,3.289661,3.520000,0.000000,0.616363,0.000000,3.067295
4.663979,3.919880,3.520000,0.000000,0.641713,0.000000,3.193444
4.647203,3.919880,3.520000,0.000000,0.642387,0.000000,3.196799
4.123552,3.928148,3.520000,0.000000,0.663435,0.000000,3.301542
3.599901,3.936416,3.520000,0.000000,0.684482,0.000000,3.406286
3.076251,3.944684,3.520000,0.000000,0.705530,0.000000,3.511029
2.552600,3.952952,3.520000,0.000000,0.726578,0.000000,3.615772
2.028949,3.961220,3.520000,0.000000,0.747626,0.000000,3.720515
1.505298,3.969489,3.520000,0.000000,0.768674,0.000000,3.825258
0.981647,3.977757,3.520000,0.000000,0.789722,0.000000,3.930002
0.981647,3.977757,3.520000,0.000000,0.789722,0.000000,3.930002
0.952709,3.292877,3.520000,0.000000,0.817271,0.000000,4.067100
0.923770,2.607997,3.520000,0.000000,0.844820,0.000000,4.204198
0.923770,2.607997,2.520000,0.000000,0.844820,0.000000,5.204198
0.923770,2.607997,1.320000,0.000000,0.844820,0.000000,5.264198
1.920085,2.409790,1.320000,0.000000,0.844820,0.000000,5.314990
1.920085,2.409790,3.520000,0.000000,0.844820,0.000000,5.424990
1.920085,2.409790,3.520000,0.000000,0.844820,0.000000,5.424990
1.776770,1.905432,3.520000,0.021072,0.844820,0.000000,5.529855
1.633455,1.401073,3.520000,0.042145,0.844820,0.000000,5.634720
1.490140,0.896715,3.520000,0.063217,0.844820,0.000000,5.739585
1.346825,0.392357,3.520000,0.084289,0.844820,0.000000,5.844450
1.203511,-0.112002,3.520000,0.105361,0.844820,0.000000,5.949315
1.060196,-0.616360,3.520000,0.126434,0.844820,0.000000,6.054180
0.916881,-1.120719,3.520000,0.147506,0.844820,0.000000,6.159045
0.773566,-1.625077,3.520000,0.168578,0.844820,0.000000,6.263910
0.630251,-2.129435,3.520000,0.189651,0.844820,0.000000,6.368775
