x,y,z,p1,p2,p3,t
-5.157185,2.120820,-22.890000,0.000000,0.000000,0.000000,0.000000
-4.911339,2.556468,-22.890000,0.000000,0.066298,0.000000,0.100046
-4.665493,2.992116,-22.890000,0.000000,0.132597,0.000000,0.200092
-4.419648,3.427764,-22.890000,0.000000,0.198895,0.000000,0.300138
-4.173802,3.863412,-22.890000,0.000000,0.265193,0.000000,0.400184
-3.927956,4.299060,-22.890000,0.000000,0.331492,0.000000,0.500229
-3.682110,4.734709,-22.890000,0.000000,0.397790,0.000000,0.600275
-3.436265,5.170357,-22.890000,0.000000,0.464089,0.000000,0.700321
-3.190419,5.606005,-22.890000,0.000000,0.530387,0.000000,0.800367
-2.944573,6.041653,-22.890000,0.000000,0.596685,0.000000,0.900413
-2.698728,6.477301,-22.890000,0.000000,0.662984,0.000000,1.000459
-2.698728,6.477301,-22.890000,0.000000,0.662984,0.000000,1.000459
-3.198933,6.472386,-22.890000,0.000000,0.729282,0.000000,1.100505
-3.699138,6.467470,-22.890000,0.000000,0.795580,0.000000,1.200551
-4.199343,6.462555,-22.890000,0.000000,0.861879,0.000000,1.300596
-4.699549,6.457639,-22.890000,0.000000,0.928177,0.000000,1.400642
-5.199754,6.452724,-22.890000,0.000000,0.994476,0.000000,1.500688
-5.699959,6.447808,-22.890000,0.000000,1.060774,0.000000,1.600734
-6.200164,6.442893,-22.890000,0.000000,1.127072,0.000000,1.700780
-6.700369,6.437977,-22.890000,0.000000,1.193371,0.000000,1.800826
-7.200575,6.433062,-22.890000,0.000000,1.259669,0.000000,1.900872
-7.700780,6.428147,-22.890000,0.000000,1.325967,0.000000,2.000918
-7.700780,6.428147,-22.890000,0.000000,1.325967,0.000000,2.000918
-7.446420,5.997414,-22.890000,0.000000,1.392266,0.000000,2.100963
-7.192061,5.566681,-22.890000,0.000000,1.458564,0.000000,2.201009
-6.937701,5.135948,-22.890000,0.000000,1.524863,0.000000,2.301055
-6.683342,4.705216,-22.890000,0.000000,1.591161,0.000000,2.401101
-6.428982,4.274483,-22.890000,0.000000,1.657459,0.000000,2.501147
-6.174623,3.843750,-22.890000,0.000000,1.723758,0.000000,2.601193
-5.920263,3.413018,-22.890000,0.000000,1.790056,0.000000,2.701239
-5.665904,2.982285,-22.890000,0.000000,1.856354,0.000000,2.801285
-5.411544,2.551552,-22.890000,0.000000,1.922653,0.000000,2.901330
-5.157185,2.120820,-22.890000,0.000000,1.988951,0.000000,3.001376
-5.157185,2.120820,-23.890000,0.000000,1.988951,0.000000,4.001376
-5.157185,2.120820,-25.290000,0.000000,1.988951,0.000000,4.071376
1.356636,-2.510055,-25.290000,0.000000,1.988951,0.000000,4.470985
1.356636,-2.510055,-22.890000,0.000000,1.988951,0.000000,4.590985
1.356636,-2.510055,-22.890000,0.000000,1.988951,0.000000,4.590985
1.356636,-3.022523,-22.890000,0.000000,2.056871,0.000000,4.693478
1.356636,-3.534990,-22.890000,0.000000,2.124792,0.000000,4.795972
1.356636,-4.047457,-22.890000,0.000000,2.192712,0.000000,4.898465
1.356636,-4.559924,-22.890000,0.000000,2.260632,0.000000,5.000959
1.356636,-5.072391,-22.890000,0.000000,2.328553,0.000000,5.103452
1.356636,-5.584859,-22.890000,0.000000,2.396473,0.000000,5.205946
1.812163,-5.584859,-22.890000,0.000000,2.456847,0.000000,5.297051
2.267689,-5.584859,-22.890000,0.000000,2.517220,0.000000,5.388156
2.723216,-5.584859,-22.890000,0.000000,2.577594,0.000000,5.479262
3.178742,-5.584859,-22.890000,0.000000,2.637968,0.000000,5.570367
3.634269,-5.584859,-22.890000,0.000000,2.698341,0.000000,5.661472
4.089795,-5.584859,-22.890000,0.000000,2.758715,0.000000,5.752577
4.545321,-5.584859,-22.890000,0.000000,2.819088,0.000000,5.843683
5.000848,-5.584859,-22.890000,0.000000,2.879462,0.000000,5.934788
5.456374,-5.584859,-22.890000,0.000000,2.939836,0.000000,6.025893
5.456374,-5.129332,-22.890000,0.000000,3.000209,0.000000,6.116999
5.456374,-4.673806,-22.890000,0.000000,3.060583,0.000000,6.208104
5.456374,-4.218279,-22.890000,0.000000,3.120957,0.000000,6.299209
5.456374,-3.762753,-22.890000,0.000000,3.181330,0.000000,6.390314
5.456374,-3.307227,-22.890000,0.000000,3.241704,0.000000,6.481420
5.456374,-2.851700,-22.890000,0.000000,3.302077,0.000000,6.572525
5.456374,-2.396174,-22.890000,0.000000,3.362451,0.000000,6.663630
5.456374,-1.940647,-22.890000,0.000000,3.422825,0.000000,6.754736
5.456374,-1.485121,-22.890000,0.000000,3.483198,0.000000,6.845841
5.000848,-1.485121,-22.890000,0.000000,3.543572,0.000000,6.936946
4.545321,-1.485121,-22.890000,0.000000,3.603946,0.000000,7.028051
4.089795,-1.485121,-22.890000,0.000000,3.664319,0.000000,7.119157
3.634269,-1.485121,-22.890000,0.000000,3.724693,0.000000,7.210262
3.178742,-1.485121,-22.890000,0.000000,3.785066,0.000000,7.301367
2.723216,-1.485121,-22.890000,0.000000,3.845440,0.000000,7.392472
2.267689,-1.485121,-22.890000,0.000000,3.905814,0.000000,7.483578
1.812163,-1.485121,-22.890000,0.000000,3.966187,0.000000,7.574683
1.356636,-1.485121,-22.890000,0.000000,4.026561,0.000000,7.665788
1.356636,-1.997588,-22.890000,0.000000,4.094481,0.000000,7.768282
1.356636,-2.510055,-22.890000,0.000000,4.162402,0.000000,7.870775
1.356636,-3.022523,-22.890000,0.000000,4.230322,0.000000,7.973269
1.356636,-3.510055,-22.890000,0.000000,4.294937,0.000000,8.070775
1.356636,-3.510055,-23.890000,0.000000,4.294937,0.000000,9.070775
1.356636,-3.510055,-25.290000,0.000000,4.294937,0.000000,9.140775
1.633090,1.477688,-25.290000,0.000000,4.294937,0.000000,9.390545
