x,y,z,p1,p2,p3,t
-1.970219,-3.900818,0.000000,0.000000,0.000000,0.000000,0.000000
-2.061150,-3.385126,0.000000,0.523648,0.000000,0.000000,0.104730
-2.322973,-2.931634,0.000000,1.047296,0.000000,0.000000,0.209459
-2.724111,-2.595039,0.000000,1.570943,0.000000,0.000000,0.314189
-3.216179,-2.415941,0.000000,2.094591,0.000000,0.000000,0.418918
-3.739827,-2.415941,0.000000,2.618239,0.000000,0.000000,0.523648
-4.231895,-2.595039,0.000000,3.141887,0.000000,0.000000,0.628377
-4.633032,-2.931634,0.000000,3.665535,0.000000,0.000000,0.733107
-4.894856,-3.385126,0.000000,4.189182,0.000000,0.000000,0.837836
-4.985787,-3.900818,0.000000,4.712830,0.000000,0.000000,0.942566
-4.894856,-4.416511,0.000000,5.236478,0.000000,0.000000,1.047296
-4.633032,-4.870003,0.000000,5.760126,0.000000,0.000000,1.152025
-4.231895,-5.206597,0.000000,6.283774,0.000000,0.000000,1.256755
-3.739827,-5.385696,0.000000,6.807421,0.000000,0.000000,1.361484
-3.216179,-5.385696,0.000000,7.331069,0.000000,0.000000,1.466214
-2.724111,-5.206597,0.000000,7.854717,0.000000,0.000000,1.570943
-2.322973,-4.870003,0.000000,8.378365,0.000000,0.000000,1.675673
-2.061150,-4.416511,0.000000,8.902013,0.000000,0.000000,1.780403
-1.970219,-3.900818,0.000000,9.425660,0.000000,0.000000,1.885132
-1.970219,-3.900818,2.200000,9.425660,0.000000,0.000000,1.995132
3.656240,-3.669396,2.200000,9.425660,0.000000,0.000000,2.276693
3.656240,-3.669396,0.000000,9.425660,0.000000,0.000000,2.386693
3.656240,-3.669396,0.000000,9.425660,0.000000,0.000000,2.386693
3.566160,-3.216536,0.000000,9.887392,0.000000,0.000000,2.479039
3.309636,-2.832620,0.000000,10.349125,0.000000,0.000000,2.571386
2.925719,-2.576095,0.000000,10.810857,0.000000,0.000000,2.663732
2.472859,-2.486016,0.000000,11.272589,0.000000,0.000000,2.756079
2.019999,-2.576095,0.000000,11.734321,0.000000,0.000000,2.848425
1.636083,-2.832620,0.000000,12.196053,0.000000,0.000000,2.940771
1.379559,-3.216536,0.000000,12.657785,0.000000,0.000000,3.033118
1.289479,-3.669396,0.000000,13.119517,0.000000,0.000000,3.125464
1.379559,-4.122256,0.000000,13.581249,0.000000,0.000000,3.217811
1.636083,-4.506172,0.000000,14.042981,0.000000,0.000000,3.310157
2.019999,-4.762697,0.000000,14.504713,0.000000,0.000000,3.402503
2.472859,-4.852776,0.000000,14.966445,0.000000,0.000000,3.494850
2.925719,-4.762697,0.000000,15.428177,0.000000,0.000000,3.587196
3.309636,-4.506172,0.000000,15.889909,0.000000,0.000000,3.679543
3.566160,-4.122256,0.000000,16.351642,0.000000,0.000000,3.771889
3.656240,-3.669396,0.000000,16.813374,0.000000,0.000000,3.864236
3.656240,-3.669396,2.200000,16.813374,0.000000,0.000000,3.974236
-5.693046,0.711100,2.200000,16.813374,0.000000,0.000000,4.490467
-5.693046,0.711100,0.000000,16.813374,0.000000,0.000000,4.600467
-5.693046,0.711100,0.000000,16.813374,0.000000,0.000000,4.600467
-5.362442,1.114436,0.000000,17.334889,0.000000,0.000000,4.704770
-5.031839,1.517772,0.000000,17.856405,0.000000,0.000000,4.809073
-4.701236,1.921108,0.000000,18.377921,0.000000,0.000000,4.913376
-4.370632,2.324445,0.000000,18.899437,0.000000,0.000000,5.017679
-4.040029,2.727781,0.000000,19.420953,0.000000,0.000000,5.121983
-4.040029,2.727781,2.200000,19.420953,0.000000,0.000000,5.231983
-4.040029,2.727781,2.200000,19.420953,0.000000,0.000000,5.231983
-4.040029,2.727781,0.000000,19.420953,0.000000,0.000000,5.341983
-4.040029,2.727781,0.000000,19.420953,0.000000,0.000000,5.341983
-3.534205,2.919531,0.000000,19.961901,0.000000,0.000000,5.450172
-3.028382,3.111281,0.000000,20.502850,0.000000,0.000000,5.558362
-2.522559,3.303031,0.000000,21.043798,0.000000,0.000000,5.666552
-2.016735,3.494781,0.000000,21.584747,0.000000,0.000000,5.774741
-1.510912,3.686531,0.000000,22.125695,0.000000,0.000000,5.882931
-1.510912,3.686531,2.200000,22.125695,0.000000,0.000000,5.992931
-1.510912,3.686531,2.200000,22.125695,0.000000,0.000000,5.992931
-1.510912,3.686531,0.000000,22.125695,0.000000,0.000000,6.102931
-1.510912,3.686531,0.000000,22.125695,0.000000,0.000000,6.102931
-0.937866,3.579085,0.000000,22.708727,0.000000,0.000000,6.219538
-0.364820,3.471639,0.000000,23.291759,0.000000,0.000000,6.336144
0.208226,3.364193,0.000000,23.874791,0.000000,0.000000,6.452750
0.781272,3.256746,0.000000,24.457823,0.000000,0.000000,6.569357
1.354318,3.149300,0.000000,25.040855,0.000000,0.000000,6.685963
1.927364,3.041854,0.000000,25.623887,0.000000,0.000000,6.802570
1.927364,3.041854,2.200000,25.623887,0.000000,0.000000,6.912570
1.927364,3.041854,2.200000,25.623887,0.000000,0.000000,6.912570
1.927364,3.041854,0.000000,25.623887,0.000000,0.000000,7.022570
1.927364,3.041854,0.000000,25.623887,0.000000,0.000000,7.022570
2.353842,2.658354,0.000000,26.197434,0.000000,0.000000,7.137279
2.780321,2.274854,0.000000,26.770981,0.000000,0.000000,7.251988
3.206799,1.891354,0.000000,27.344528,0.000000,0.000000,7.366698
3.633278,1.507854,0.000000,27.918075,0.000000,0.000000,7.481407
4.059756,1.124354,0.000000,28.491622,0.000000,0.000000,7.596117
4.059756,1.124354,2.200000,28.491622,0.000000,0.000000,7.706117
