x,y,z,p1,p2,p3,t
-0.493875,-2.963235,-25.880000,0.000000,0.000000,0.000000,0.000000
-0.558842,-2.448972,-25.880000,0.518351,0.000000,0.000000,0.103670
-0.749659,-1.967022,-25.880000,1.036701,0.000000,0.000000,0.207340
-1.054338,-1.547667,-25.880000,1.555052,0.000000,0.000000,0.311010
-1.453734,-1.217258,-25.880000,2.073402,0.000000,0.000000,0.414680
-1.922752,-0.996555,-25.880000,2.591753,0.000000,0.000000,0.518351
-2.431921,-0.899426,-25.880000,3.110104,0.000000,0.000000,0.622021
-2.949249,-0.931974,-25.880000,3.628454,0.000000,0.000000,0.725691
-3.442229,-1.092153,-25.880000,4.146805,0.000000,0.000000,0.829361
-3.879887,-1.369899,-25.880000,4.665155,0.000000,0.000000,0.933031
-4.234723,-1.747760,-25.880000,5.183506,0.000000,0.000000,1.036701
-4.484440,-2.201994,-25.880000,5.701857,0.000000,0.000000,1.140371
-4.613348,-2.704060,-25.880000,6.220207,0.000000,0.000000,1.244041
-4.613348,-3.222411,-25.880000,6.738558,0.000000,0.000000,1.347712
-4.484440,-3.724476,-25.880000,7.256908,0.000000,0.000000,1.451382
-4.234723,-4.178710,-25.880000,7.775259,0.000000,0.000000,1.555052
-3.879887,-4.556572,-25.880000,8.293610,0.000000,0.000000,1.658722
-3.442229,-4.834318,-25.880000,8.811960,0.000000,0.000000,1.762392
-2.949249,-4.994497,-25.880000,9.330311,0.000000,0.000000,1.866062
-2.431921,-5.027044,-25.880000,9.848662,0.000000,0.000000,1.969732
-1.922752,-4.929915,-25.880000,10.367012,0.000000,0.000000,2.073402
-1.453734,-4.709212,-25.880000,10.885363,0.000000,0.000000,2.177073
-1.054338,-4.378803,-25.880000,11.403713,0.000000,0.000000,2.280743
-0.749659,-3.959449,-25.880000,11.922064,0.000000,0.000000,2.384413
-0.558842,-3.477499,-25.880000,12.440415,0.000000,0.000000,2.488083
-0.493875,-2.963235,-25.880000,12.958765,0.000000,0.000000,2.591753
-0.493875,-2.963235,-28.080000,12.958765,0.000000,0.000000,2.701753
3.826710,-2.236765,-28.080000,12.958765,0.000000,0.000000,2.920815
3.826710,-2.236765,-25.880000,12.958765,0.000000,0.000000,3.030815
3.826710,-2.236765,-25.880000,12.958765,0.000000,0.000000,3.030815
3.756616,-1.884379,-25.880000,13.318054,0.000000,0.000000,3.102673
3.557006,-1.585641,-25.880000,13.677344,0.000000,0.000000,3.174530
3.258268,-1.386031,-25.880000,14.036633,0.000000,0.000000,3.246388
2.905882,-1.315937,-25.880000,14.395922,0.000000,0.000000,3.318246
2.553497,-1.386031,-25.880000,14.755211,0.000000,0.000000,3.390104
2.254759,-1.585641,-25.880000,15.114500,0.000000,0.000000,3.461962
2.055148,-1.884379,-25.880000,15.473789,0.000000,0.000000,3.533820
1.985055,-2.236765,-25.880000,15.833079,0.000000,0.000000,3.605677
2.055148,-2.589150,-25.880000,16.192368,0.000000,0.000000,3.677535
2.254759,-2.887888,-25.880000,16.551657,0.000000,0.000000,3.749393
2.553497,-3.087499,-25.880000,16.910946,0.000000,0.000000,3.821251
2.905882,-3.157593,-25.880000,17.270235,0.000000,0.000000,3.893109
3.258268,-3.087499,-25.880000,17.629525,0.000000,0.000000,3.964967
3.557006,-2.887888,-25.880000,17.988814,0.000000,0.000000,4.036824
3.756616,-2.589150,-25.880000,18.348103,0.000000,0.000000,4.108682
3.826710,-2.236765,-25.880000,18.707392,0.000000,0.000000,4.180540
3.826710,-2.236765,-28.080000,18.707392,0.000000,0.000000,4.290540
-4.091176,2.580882,-28.080000,18.707392,0.000000,0.000000,4.753959
-4.091176,2.580882,-25.880000,18.707392,0.000000,0.000000,4.863959
-4.091176,2.580882,-25.880000,18.707392,0.000000,0.000000,4.863959
-3.571176,2.667549,-25.880000,19.234565,0.000000,0.000000,4.969393
-3.051176,2.754216,-25.880000,19.761738,0.000000,0.000000,5.074828
-2.531176,2.840882,-25.880000,20.288910,0.000000,0.000000,5.180262
-2.011176,2.927549,-25.880000,20.816083,0.000000,0.000000,5.285697
-1.491176,3.014216,-25.880000,21.343256,0.000000,0.000000,5.391131
-0.971176,3.100882,-25.880000,21.870429,0.000000,0.000000,5.496566
-0.451176,3.187549,-25.880000,22.397601,0.000000,0.000000,5.602000
0.068824,3.274216,-25.880000,22.924774,0.000000,0.000000,5.707435
0.588824,3.360882,-25.880000,23.451947,0.000000,0.000000,5.812870
1.108824,3.447549,-25.880000,23.979120,0.000000,0.000000,5.918304
1.628824,3.534216,-25.880000,24.506293,0.000000,0.000000,6.023739
2.148824,3.620882,-25.880000,25.033465,0.000000,0.000000,6.129173
2.668824,3.707549,-25.880000,25.560638,0.000000,0.000000,6.234608
3.188824,3.794216,-25.880000,26.087811,0.000000,0.000000,6.340042
3.708824,3.880882,-25.880000,26.614984,0.000000,0.000000,6.445477
3.708824,3.880882,-28.080000,26.614984,0.000000,0.000000,6.555477
3.708824,3.880882,-28.080000,26.614984,0.000000,0.000000,6.555477
3.708824,3.880882,-25.880000,26.614984,0.000000,0.000000,6.665477
3.708824,3.880882,-25.880000,26.614984,0.000000,0.000000,6.665477
3.297794,4.225000,-25.880000,27.151045,0.000000,0.000000,6.772689
2.886765,4.569118,-25.880000,27.687107,0.000000,0.000000,6.879902
2.475735,4.913235,-25.880000,28.223169,0.000000,0.000000,6.987114
2.064706,5.257353,-25.880000,28.759230,0.000000,0.000000,7.094326
2.064706,5.257353,-28.080000,28.759230,0.000000,0.000000,7.204326
2.064706,5.257353,-28.080000,28.759230,0.000000,0.000000,7.204326
2.064706,5.257353,-25.880000,28.759230,0.000000,0.000000,7.314326
2.064706,5.257353,-25.880000,28.759230,0.000000,0.000000,7.314326
1.472059,5.333824,-25.880000,29.356791,0.000000,0.000000,7.433838
0.879412,5.410294,-25.880000,29.954351,0.000000,0.000000,7.553350
0.286765,5.486765,-25.880000,30.551911,0.000000,0.000000,7.672862
-0.305882,5.563235,-25.880000,31.149471,0.000000,0.000000,7.792374
-0.305882,5.563235,-28.080000,31.149471,0.000000,0.000000,7.902374
-0.305882,5.563235,-28.080000,31.149471,0.000000,0.000000,7.902374
-0.305882,5.563235,-25.880000,31.149471,0.000000,0.000000,8.012374
-0.305882,5.563235,-25.880000,31.149471,0.000000,0.000000,8.012374
-0.764706,5.343382,-25.880000,31.658249,0.000000,0.000000,8.114130
-1.223529,5.123529,-25.880000,32.167026,0.000000,0.000000,8.215885
-1.682353,4.903676,-25.880000,32.675803,0.000000,0.000000,8.317641
-2.141176,4.683824,-25.880000,33.184581,0.000000,0.000000,8.419396
-2.141176,4.683824,-28.080000,33.184581,0.000000,0.000000,8.529396
-2.141176,4.683824,-28.080000,33.184581,0.000000,0.000000,8.529396
-2.141176,4.683824,-25.880000,33.184581,0.000000,0.000000,8.639396
-2.141176,4.683824,-25.880000,33.184581,0.000000,0.000000,8.639396
-2.531176,4.263235,-25.880000,33.758161,0.000000,0.000000,8.754112
-2.921176,3.842647,-25.880000,34.331741,0.000000,0.000000,8.868828
-3.311176,3.422059,-25.880000,34.905322,0.000000,0.000000,8.983544
-3.701176,3.001471,-25.880000,35.478902,0.000000,0.000000,9.098261
-4.091176,2.580882,-25.880000,36.052483,0.000000,0.000000,9.212977
-4.091176,2.580882,-28.080000,36.052483,0.000000,0.000000,9.322977
-3.296321,-4.697792,-28.080000,36.052483,0.000000,0.000000,9.689074
-3.296321,-4.697792,-25.880000,36.052483,0.000000,0.000000,9.799074
-3.296321,-4.697792,-25.880000,36.052483,0.000000,0.000000,9.799074
-2.962988,-4.697792,-25.880000,36.385816,0.000000,0.000000,9.865741
-2.629654,-4.697792,-25.880000,36.719149,0.000000,0.000000,9.932407
-2.296321,-4.697792,-25.880000,37.052483,0.000000,0.000000,9.999074
-1.962988,-4.697792,-25.880000,37.385816,0.000000,0.000000,10.065741
-1.462988,-4.364458,-25.880000,37.986741,0.000000,0.000000,10.185926
-1.796321,-4.364458,-25.880000,38.320074,0.000000,0.000000,10.252592
-2.129654,-4.364458,-25.880000,38.653408,0.000000,0.000000,10.319259
-2.462988,-4.364458,-25.880000,38.986741,0.000000,0.000000,10.385926
-2.796321,-4.364458,-25.880000,39.320074,0.000000,0.000000,10.452592
-3.129654,-4.364458,-25.880000,39.653408,0.000000,0.000000,10.519259
-3.462988,-4.364458,-25.880000,39.986741,0.000000,0.000000,10.585926
-3.796321,-4.364458,-25.880000,40.320074,0.000000,0.000000,10.652592
-4.129654,-4.031125,-25.880000,40.791479,0.000000,0.000000,10.746873
-3.796321,-4.031125,-25.880000,41.124812,0.000000,0.000000,10.813540
-3.462988,-4.031125,-25.880000,41.458146,0.000000,0.000000,10.880207
-3.129654,-4.031125,-25.880000,41.791479,0.000000,0.000000,10.946873
-2.796321,-4.031125,-25.880000,42.124812,0.000000,0.000000,11.013540
-2.462988,-4.031125,-25.880000,42.458146,0.000000,0.000000,11.080207
-2.129654,-4.031125,-25.880000,42.791479,0.000000,0.000000,11.146873
-1.796321,-4.031125,-25.880000,43.124812,0.000000,0.000000,11.213540
-1.462988,-4.031125,-25.880000,43.458146,0.000000,0.000000,11.280207
-1.129654,-4.031125,-25.880000,43.791479,0.000000,0.000000,11.346873
-0.962988,-3.697792,-25.880000,44.164157,0.000000,0.000000,11.421409
-1.296321,-3.697792,-25.880000,44.497490,0.000000,0.000000,11.488075
-1.629654,-3.697792,-25.880000,44.830824,0.000000,0.000000,11.554742
-1.962988,-3.697792,-25.880000,45.164157,0.000000,0.000000,11.621409
-2.296321,-3.697792,-25.880000,45.497490,0.000000,0.000000,11.688075
-2.629654,-3.697792,-25.880000,45.830824,0.000000,0.000000,11.754742
-2.962988,-3.697792,-25.880000,46.164157,0.000000,0.000000,11.821409
-3.296321,-3.697792,-25.880000,46.497490,0.000000,0.000000,11.888075
-3.629654,-3.697792,-25.880000,46.830824,0.000000,0.000000,11.954742
-3.962988,-3.697792,-25.880000,47.164157,0.000000,0.000000,12.021409
-4.296321,-3.697792,-25.880000,47.497490,0.000000,0.000000,12.088075
-4.296321,-3.364458,-25.880000,47.830824,0.000000,0.000000,12.154742
-3.962988,-3.364458,-25.880000,48.164157,0.000000,0.000000,12.221409
-3.629654,-3.364458,-25.880000,48.497490,0.000000,0.000000,12.288075
-3.296321,-3.364458,-25.880000,48.830824,0.000000,0.000000,12.354742
-2.962988,-3.364458,-25.880000,49.164157,0.000000,0.000000,12.421409
-2.629654,-3.364458,-25.880000,49.497490,0.000000,0.000000,12.488075
-2.296321,-3.364458,-25.880000,49.830824,0.000000,0.000000,12.554742
-1.962988,-3.364458,-25.880000,50.164157,0.000000,0.000000,12.621409
-1.629654,-3.364458,-25.880000,50.497490,0.000000,0.000000,12.688075
-1.296321,-3.364458,-25.880000,50.830824,0.000000,0.000000,12.754742
-0.962988,-3.364458,-25.880000,51.164157,0.000000,0.000000,12.821409
-0.962988,-3.031125,-25.880000,51.497490,0.000000,0.000000,12.888075
-1.296321,-3.031125,-25.880000,51.830824,0.000000,0.000000,12.954742
-1.629654,-3.031125,-25.880000,52.164157,0.000000,0.000000,13.021409
-1.962988,-3.031125,-25.880000,52.497490,0.000000,0.000000,13.088075
-2.296321,-3.031125,-25.880000,52.830824,0.000000,0.000000,13.154742
-2.629654,-3.031125,-25.880000,53.164157,0.000000,0.000000,13.221409
-2.962988,-3.031125,-25.880000,53.497490,0.000000,0.000000,13.288075
-3.296321,-3.031125,-25.880000,53.830824,0.000000,0.000000,13.354742
-3.629654,-3.031125,-25.880000,54.164157,0.000000,0.000000,13.421409
-3.962988,-3.031125,-25.880000,54.497490,0.000000,0.000000,13.488075
-4.296321,-3.031125,-25.880000,54.830824,0.000000,0.000000,13.554742
-4.296321,-2.697792,-25.880000,55.164157,0.000000,0.000000,13.621409
-3.962988,-2.697792,-25.880000,55.497490,0.000000,0.000000,13.688075
-3.629654,-2.697792,-25.880000,55.830824,0.000000,0.000000,13.754742
-3.296321,-2.697792,-25.880000,56.164157,0.000000,0.000000,13.821409
-2.962988,-2.697792,-25.880000,56.497490,0.000000,0.000000,13.888075
-2.629654,-2.697792,-25.880000,56.830824,0.000000,0.000000,13.954742
-2.296321,-2.697792,-25.880000,57.164157,0.000000,0.000000,14.021409
-1.962988,-2.697792,-25.880000,57.497490,0.000000,0.000000,14.088075
-1.629654,-2.697792,-25.880000,57.830824,0.000000,0.000000,14.154742
-1.296321,-2.697792,-25.880000,58.164157,0.000000,0.000000,14.221409
-0.962988,-2.697792,-25.880000,58.497490,0.000000,0.000000,14.288075
-1.129654,-2.364458,-25.880000,58.870168,0.000000,0.000000,14.362611
-1.481506,-2.364458,-25.880000,59.222020,0.000000,0.000000,14.432981
-1.833358,-2.364458,-25.880000,59.573872,0.000000,0.000000,14.503352
-2.185210,-2.364458,-25.880000,59.925724,0.000000,0.000000,14.573722
-2.537062,-2.364458,-25.880000,60.277576,0.000000,0.000000,14.644093
-2.888914,-2.364458,-25.880000,60.629428,0.000000,0.000000,14.714463
-3.240766,-2.364458,-25.880000,60.981279,0.000000,0.000000,14.784833
-3.592617,-2.364458,-25.880000,61.333131,0.000000,0.000000,14.855204
-3.944469,-2.364458,-25.880000,61.684983,0.000000,0.000000,14.925574
-4.296321,-2.364458,-25.880000,62.036835,0.000000,0.000000,14.995944
-4.129654,-2.031125,-25.880000,62.409513,0.000000,0.000000,15.070480
