x,y,z,p1,p2,p3,t
-3.362371,-4.357072,11.990000,0.000000,0.000000,0.000000,0.000000
-2.907050,-4.357072,11.990000,0.455321,0.000000,0.000000,0.091064
-2.451729,-4.357072,11.990000,0.910642,0.000000,0.000000,0.182128
-1.996408,-4.357072,11.990000,1.365963,0.000000,0.000000,0.273193
-1.541087,-4.357072,11.990000,1.821284,0.000000,0.000000,0.364257
-1.085766,-4.357072,11.990000,2.276605,0.000000,0.000000,0.455321
-0.630445,-4.357072,11.990000,2.731926,0.000000,0.000000,0.546385
-0.630445,-3.872330,11.990000,3.216668,0.000000,0.000000,0.643334
-0.630445,-3.387589,11.990000,3.701410,0.000000,0.000000,0.740282
-0.630445,-2.902847,11.990000,4.186152,0.000000,0.000000,0.837230
-0.630445,-2.418105,11.990000,4.670894,0.000000,0.000000,0.934179
-0.630445,-1.933363,11.990000,5.155635,0.000000,0.000000,1.031127
-1.085766,-1.933363,11.990000,5.610956,0.000000,0.000000,1.122191
-1.541087,-1.933363,11.990000,6.066278,0.000000,0.000000,1.213256
-1.996408,-1.933363,11.990000,6.521599,0.000000,0.000000,1.304320
-2.451729,-1.933363,11.990000,6.976920,0.000000,0.000000,1.395384
-2.907050,-1.933363,11.990000,7.432241,0.000000,0.000000,1.486448
-3.362371,-1.933363,11.990000,7.887562,0.000000,0.000000,1.577512
-3.362371,-2.539291,11.990000,8.493489,0.000000,0.000000,1.698698
-3.362371,-3.145218,11.990000,9.099416,0.000000,0.000000,1.819883
-3.362371,-3.751145,11.990000,9.705344,0.000000,0.000000,1.941069
-3.362371,-4.357072,11.990000,10.311271,0.000000,0.000000,2.062254
-3.362371,-4.357072,10.990000,10.311271,0.000000,0.000000,3.062254
-3.362371,-4.357072,9.790000,10.311271,0.000000,0.000000,3.122254
0.882622,-4.034845,9.790000,10.311271,0.000000,0.000000,3.335114
0.882622,-4.034845,11.990000,10.311271,0.000000,0.000000,3.445114
0.882622,-4.034845,11.990000,10.311271,0.000000,0.000000,3.445114
1.375303,-4.034845,11.990000,10.803952,0.000000,0.000000,3.543651
1.867984,-4.034845,11.990000,11.296632,0.000000,0.000000,3.642187
2.360665,-4.034845,11.990000,11.789313,0.000000,0.000000,3.740723
2.853345,-4.034845,11.990000,12.281994,0.000000,0.000000,3.839259
3.346026,-4.034845,11.990000,12.774674,0.000000,0.000000,3.937795
3.838707,-4.034845,11.990000,13.267355,0.000000,0.000000,4.036331
3.838707,-3.572519,11.990000,13.729681,0.000000,0.000000,4.128797
3.838707,-3.110193,11.990000,14.192007,0.000000,0.000000,4.221262
3.838707,-2.647867,11.990000,14.654333,0.000000,0.000000,4.313727
3.838707,-2.185541,11.990000,15.116659,0.000000,0.000000,4.406192
3.838707,-1.723215,11.990000,15.578985,0.000000,0.000000,4.498657
3.838707,-1.260889,11.990000,16.041311,0.000000,0.000000,4.591123
3.346026,-1.260889,11.990000,16.533992,0.000000,0.000000,4.689659
2.853345,-1.260889,11.990000,17.026673,0.000000,0.000000,4.788195
2.360665,-1.260889,11.990000,17.519353,0.000000,0.000000,4.886731
1.867984,-1.260889,11.990000,18.012034,0.000000,0.000000,4.985267
1.375303,-1.260889,11.990000,18.504715,0.000000,0.000000,5.083803
0.882622,-1.260889,11.990000,18.997396,0.000000,0.000000,5.182339
0.882622,-1.815680,11.990000,19.552187,0.000000,0.000000,5.293298
0.882622,-2.370471,11.990000,20.106978,0.000000,0.000000,5.404256
0.882622,-2.925263,11.990000,20.661769,0.000000,0.000000,5.515214
0.882622,-3.480054,11.990000,21.216560,0.000000,0.000000,5.626172
0.882622,-4.034845,11.990000,21.771352,0.000000,0.000000,5.737131
0.882622,-4.034845,10.990000,21.771352,0.000000,0.000000,6.737131
0.882622,-4.034845,9.790000,21.771352,0.000000,0.000000,6.797131
-3.460440,2.465739,9.790000,21.771352,0.000000,0.000000,7.188026
-3.460440,2.465739,11.990000,21.771352,0.000000,0.000000,7.298026
-3.460440,2.465739,11.990000,21.771352,0.000000,0.000000,7.298026
-2.945308,2.496991,11.990000,22.287431,0.000000,0.000000,7.401242
-2.430175,2.528244,11.990000,22.803511,0.000000,0.000000,7.504458
-1.915043,2.559497,11.990000,23.319591,0.000000,0.000000,7.607674
-1.399910,2.590750,11.990000,23.835670,0.000000,0.000000,7.710890
-0.884778,2.622003,11.990000,24.351750,0.000000,0.000000,7.814106
-0.369645,2.653256,11.990000,24.867829,0.000000,0.000000,7.917322
0.145487,2.684508,11.990000,25.383909,0.000000,0.000000,8.020538
0.660620,2.715761,11.990000,25.899989,0.000000,0.000000,8.123754
1.175752,2.747014,11.990000,26.416068,0.000000,0.000000,8.226970
1.690885,2.778267,11.990000,26.932148,0.000000,0.000000,8.330186
2.206017,2.809520,11.990000,27.448228,0.000000,0.000000,8.433402
2.721150,2.840772,11.990000,27.964307,0.000000,0.000000,8.536617
3.236282,2.872025,11.990000,28.480387,0.000000,0.000000,8.639833
3.236282,2.872025,10.990000,28.480387,0.000000,0.000000,9.639833
3.236282,2.872025,9.790000,28.480387,0.000000,0.000000,9.699833
