x,y,z,p1,p2,p3,t
-3.952502,-3.631222,-23.090000,0.000000,0.000000,0.000000,0.000000
-4.340319,-3.305806,-23.090000,0.067097,0.000000,0.000000,0.101252
-4.816046,-3.132655,-23.090000,0.134195,0.000000,0.000000,0.202503
-5.322305,-3.132655,-23.090000,0.201292,0.000000,0.000000,0.303755
-5.798033,-3.305806,-23.090000,0.268390,0.000000,0.000000,0.405007
-6.185849,-3.631222,-23.090000,0.335487,0.000000,0.000000,0.506259
-6.438979,-4.069655,-23.090000,0.402585,0.000000,0.000000,0.607510
-6.526890,-4.568223,-23.090000,0.469682,0.000000,0.000000,0.708762
-6.438979,-5.066790,-23.090000,0.536780,0.000000,0.000000,0.810014
-6.185849,-5.505223,-23.090000,0.603877,0.000000,0.000000,0.911266
-5.798033,-5.830640,-23.090000,0.670975,0.000000,0.000000,1.012517
-5.322305,-6.003791,-23.090000,0.738072,0.000000,0.000000,1.113769
-4.816046,-6.003791,-23.090000,0.805170,0.000000,0.000000,1.215021
-4.340319,-5.830640,-23.090000,0.872267,0.000000,0.000000,1.316273
-3.952502,-5.505223,-23.090000,0.939365,0.000000,0.000000,1.417524
-3.699373,-5.066790,-23.090000,1.006462,0.000000,0.000000,1.518776
-3.611462,-4.568223,-23.090000,1.073560,0.000000,0.000000,1.620028
-3.699373,-4.069655,-23.090000,1.140657,0.000000,0.000000,1.721280
-3.952502,-3.631222,-23.090000,1.207755,0.000000,0.000000,1.822531
-4.340319,-3.305806,-23.090000,1.274852,0.000000,0.000000,1.923783
-4.816046,-3.132655,-23.090000,1.341949,0.000000,0.000000,2.025035
-5.322305,-3.132655,-23.090000,1.409047,0.000000,0.000000,2.126287
-5.526429,-3.206950,-23.090000,1.437837,0.000000,0.000000,2.169731
-5.526429,-3.206950,-24.090000,1.437837,0.000000,0.000000,3.169731
-5.526429,-3.206950,-25.490000,1.437837,0.000000,0.000000,3.239731
-4.340319,3.606650,-25.490000,1.437837,0.000000,0.000000,3.585535
-4.340319,3.606650,-23.090000,1.437837,0.000000,0.000000,3.705535
-4.340319,3.606650,-23.090000,1.437837,0.000000,0.000000,3.705535
-3.952502,3.932067,-23.090000,1.504934,0.000000,0.000000,3.806787
-3.699373,4.370500,-23.090000,1.572032,0.000000,0.000000,3.908038
-3.611462,4.869067,-23.090000,1.639129,0.000000,0.000000,4.009290
-3.699373,5.367635,-23.090000,1.706227,0.000000,0.000000,4.110542
-3.952502,5.806068,-23.090000,1.773324,0.000000,0.000000,4.211793
-4.340319,6.131484,-23.090000,1.840422,0.000000,0.000000,4.313045
-4.816046,6.304635,-23.090000,1.907519,0.000000,0.000000,4.414297
-5.322305,6.304635,-23.090000,1.974617,0.000000,0.000000,4.515549
-5.798033,6.131484,-23.090000,2.041714,0.000000,0.000000,4.616800
-6.185849,5.806068,-23.090000,2.108812,0.000000,0.000000,4.718052
-6.438979,5.367635,-23.090000,2.175909,0.000000,0.000000,4.819304
-6.526890,4.869067,-23.090000,2.243007,0.000000,0.000000,4.920556
-6.438979,4.370500,-23.090000,2.310104,0.000000,0.000000,5.021807
-6.185849,3.932067,-23.090000,2.377202,0.000000,0.000000,5.123059
-5.798033,3.606650,-23.090000,2.444299,0.000000,0.000000,5.224311
-5.322305,3.433499,-23.090000,2.511397,0.000000,0.000000,5.325563
-4.816046,3.433499,-23.090000,2.578494,0.000000,0.000000,5.426814
-4.340319,3.606650,-23.090000,2.645591,0.000000,0.000000,5.528066
-3.952502,3.932067,-23.090000,2.712689,0.000000,0.000000,5.629318
-3.822132,4.157875,-23.090000,2.747247,0.000000,0.000000,5.681466
-3.822132,4.157875,-24.090000,2.747247,0.000000,0.000000,6.681466
-3.822132,4.157875,-25.490000,2.747247,0.000000,0.000000,6.751466
4.289937,-3.305806,-25.490000,2.747247,0.000000,0.000000,7.302629
4.289937,-3.305806,-23.090000,2.747247,0.000000,0.000000,7.422629
4.289937,-3.305806,-23.090000,2.747247,0.000000,0.000000,7.422629
3.902120,-3.631222,-23.090000,2.814344,0.000000,0.000000,7.523881
3.648991,-4.069655,-23.090000,2.881441,0.000000,0.000000,7.625132
3.561080,-4.568223,-23.090000,2.948539,0.000000,0.000000,7.726384
3.648991,-5.066790,-23.090000,3.015636,0.000000,0.000000,7.827636
3.902120,-5.505223,-23.090000,3.082734,0.000000,0.000000,7.928888
4.289937,-5.830640,-23.090000,3.149831,0.000000,0.000000,8.030139
4.765665,-6.003791,-23.090000,3.216929,0.000000,0.000000,8.131391
5.271923,-6.003791,-23.090000,3.284026,0.000000,0.000000,8.232643
5.747651,-5.830640,-23.090000,3.351124,0.000000,0.000000,8.333895
6.135468,-5.505223,-23.090000,3.418221,0.000000,0.000000,8.435146
6.388597,-5.066790,-23.090000,3.485319,0.000000,0.000000,8.536398
6.476508,-4.568223,-23.090000,3.552416,0.000000,0.000000,8.637650
6.388597,-4.069655,-23.090000,3.619514,0.000000,0.000000,8.738902
6.135468,-3.631222,-23.090000,3.686611,0.000000,0.000000,8.840153
5.747651,-3.305806,-23.090000,3.753709,0.000000,0.000000,8.941405
5.271923,-3.132655,-23.090000,3.820806,0.000000,0.000000,9.042657
4.765665,-3.132655,-23.090000,3.887904,0.000000,0.000000,9.143909
4.289937,-3.305806,-23.090000,3.955001,0.000000,0.000000,9.245160
3.902120,-3.631222,-23.090000,4.022099,0.000000,0.000000,9.346412
3.648991,-4.069655,-23.090000,4.089196,0.000000,0.000000,9.447664
3.561080,-4.568223,-23.090000,4.156293,0.000000,0.000000,9.548916
3.598801,-4.782147,-23.090000,4.185083,0.000000,0.000000,9.592360
3.598801,-4.782147,-24.090000,4.185083,0.000000,0.000000,10.592360
3.598801,-4.782147,-25.490000,4.185083,0.000000,0.000000,10.662360
4.289937,3.606650,-25.490000,4.185083,0.000000,0.000000,11.083221
4.289937,3.606650,-23.090000,4.185083,0.000000,0.000000,11.203221
4.289937,3.606650,-23.090000,4.185083,0.000000,0.000000,11.203221
4.765665,3.433499,-23.090000,4.252181,0.000000,0.000000,11.304473
5.271923,3.433499,-23.090000,4.319278,0.000000,0.000000,11.405725
5.747651,3.606650,-23.090000,4.386376,0.000000,0.000000,11.506976
6.135468,3.932067,-23.090000,4.453473,0.000000,0.000000,11.608228
6.388597,4.370500,-23.090000,4.520571,0.000000,0.000000,11.709480
6.476508,4.869067,-23.090000,4.587668,0.000000,0.000000,11.810732
6.388597,5.367635,-23.090000,4.654766,0.000000,0.000000,11.911983
6.135468,5.806068,-23.090000,4.721863,0.000000,0.000000,12.013235
5.747651,6.131484,-23.090000,4.788961,0.000000,0.000000,12.114487
5.271923,6.304635,-23.090000,4.856058,0.000000,0.000000,12.215739
4.765665,6.304635,-23.090000,4.923156,0.000000,0.000000,12.316990
4.289937,6.131484,-23.090000,4.990253,0.000000,0.000000,12.418242
3.902120,5.806068,-23.090000,5.057351,0.000000,0.000000,12.519494
3.648991,5.367635,-23.090000,5.124448,0.000000,0.000000,12.620746
3.561080,4.869067,-23.090000,5.191546,0.000000,0.000000,12.721997
3.648991,4.370500,-23.090000,5.258643,0.000000,0.000000,12.823249
3.902120,3.932067,-23.090000,5.325740,0.000000,0.000000,12.924501
4.289937,3.606650,-23.090000,5.392838,0.000000,0.000000,13.025753
4.765665,3.433499,-23.090000,5.459935,0.000000,0.000000,13.127004
5.024406,3.433499,-23.090000,5.494228,0.000000,0.000000,13.178753
5.024406,3.433499,-24.090000,5.494228,0.000000,0.000000,14.178753
5.024406,3.433499,-25.490000,5.494228,0.000000,0.000000,14.248753
-5.104947,3.983673,-25.490000,5.494228,0.000000,0.000000,14.755967
-5.104947,3.983673,-23.090000,5.494228,0.000000,0.000000,14.875967
-5.104947,3.983673,-23.090000,5.494228,0.000000,0.000000,14.875967
-5.100085,3.463476,-23.090000,5.563176,0.000000,0.000000,14.980011
-5.095224,2.943279,-23.090000,5.632124,0.000000,0.000000,15.084055
-5.090362,2.423083,-23.090000,5.701071,0.000000,0.000000,15.188099
-5.085500,1.902886,-23.090000,5.770019,0.000000,0.000000,15.292142
-5.080639,1.382689,-23.090000,5.838967,0.000000,0.000000,15.396186
-5.075777,0.862492,-23.090000,5.907915,0.000000,0.000000,15.500230
-5.070915,0.342295,-23.090000,5.976863,0.000000,0.000000,15.604274
-5.066054,-0.177902,-23.090000,6.045810,0.000000,0.000000,15.708318
-5.061192,-0.698099,-23.090000,6.114758,0.000000,0.000000,15.812362
-5.056330,-1.218296,-23.090000,6.183706,0.000000,0.000000,15.916406
-5.051469,-1.738493,-23.090000,6.252654,0.000000,0.000000,16.020450
-5.046607,-2.258689,-23.090000,6.321601,0.000000,0.000000,16.124494
-5.041745,-2.778886,-23.090000,6.390549,0.000000,0.000000,16.228538
-5.036884,-3.299083,-23.090000,6.459497,0.000000,0.000000,16.332582
-5.032022,-3.819280,-23.090000,6.528445,0.000000,0.000000,16.436626
-5.032022,-3.819280,-23.090000,6.528445,0.000000,0.000000,16.436626
-4.509216,-4.097321,-23.090000,6.606925,0.000000,0.000000,16.555054
-4.509216,-4.097321,-23.090000,6.606925,0.000000,0.000000,16.555054
-4.149278,-3.704104,-23.090000,6.677577,0.000000,0.000000,16.661670
-3.789341,-3.310887,-23.090000,6.748230,0.000000,0.000000,16.768286
-3.429403,-2.917671,-23.090000,6.818882,0.000000,0.000000,16.874902
-3.069465,-2.524454,-23.090000,6.889534,0.000000,0.000000,16.981518
-2.709527,-2.131237,-23.090000,6.960187,0.000000,0.000000,17.088134
-2.349589,-1.738020,-23.090000,7.030839,0.000000,0.000000,17.194751
-1.989651,-1.344804,-23.090000,7.101491,0.000000,0.000000,17.301367
-1.629713,-0.951587,-23.090000,7.172144,0.000000,0.000000,17.407983
-1.269776,-0.558370,-23.090000,7.242796,0.000000,0.000000,17.514599
-0.909838,-0.165153,-23.090000,7.313448,0.000000,0.000000,17.621215
-0.549900,0.228064,-23.090000,7.384100,0.000000,0.000000,17.727831
-0.189962,0.621280,-23.090000,7.454753,0.000000,0.000000,17.834447
-0.189962,0.621280,-23.090000,7.454753,0.000000,0.000000,17.834447
0.155223,0.251844,-23.090000,7.521763,0.000000,0.000000,17.935568
0.500407,-0.117593,-23.090000,7.588774,0.000000,0.000000,18.036689
0.845592,-0.487029,-23.090000,7.655785,0.000000,0.000000,18.137810
1.190777,-0.856466,-23.090000,7.722796,0.000000,0.000000,18.238930
1.535961,-1.225902,-23.090000,7.789806,0.000000,0.000000,18.340051
1.881146,-1.595339,-23.090000,7.856817,0.000000,0.000000,18.441172
2.226330,-1.964775,-23.090000,7.923828,0.000000,0.000000,18.542293
2.571515,-2.334212,-23.090000,7.990839,0.000000,0.000000,18.643414
2.916700,-2.703648,-23.090000,8.057849,0.000000,0.000000,18.744535
3.261884,-3.073085,-23.090000,8.124860,0.000000,0.000000,18.845656
3.607069,-3.442521,-23.090000,8.191871,0.000000,0.000000,18.946777
3.952254,-3.811958,-23.090000,8.258882,0.000000,0.000000,19.047897
4.297438,-4.181394,-23.090000,8.325892,0.000000,0.000000,19.149018
4.297438,-4.181394,-23.090000,8.325892,0.000000,0.000000,19.149018
4.959514,-3.761029,-23.090000,8.429834,0.000000,0.000000,19.305869
4.959514,-3.761029,-23.090000,8.429834,0.000000,0.000000,19.305869
4.963717,-3.239417,-23.090000,8.498969,0.000000,0.000000,19.410194
4.967921,-2.717805,-23.090000,8.568103,0.000000,0.000000,19.514520
4.972125,-2.196193,-23.090000,8.637238,0.000000,0.000000,19.618846
4.976328,-1.674581,-23.090000,8.706372,0.000000,0.000000,19.723172
4.980532,-1.152969,-23.090000,8.775507,0.000000,0.000000,19.827498
4.984736,-0.631357,-23.090000,8.844641,0.000000,0.000000,19.931823
4.988939,-0.109745,-23.090000,8.913776,0.000000,0.000000,20.036149
4.993143,0.411867,-23.090000,8.982911,0.000000,0.000000,20.140475
4.997347,0.933479,-23.090000,9.052045,0.000000,0.000000,20.244801
5.001550,1.455091,-23.090000,9.121180,0.000000,0.000000,20.349126
5.005754,1.976703,-23.090000,9.190314,0.000000,0.000000,20.453452
5.009958,2.498315,-23.090000,9.259449,0.000000,0.000000,20.557778
5.014161,3.019927,-23.090000,9.328584,0.000000,0.000000,20.662104
5.018365,3.541539,-23.090000,9.397718,0.000000,0.000000,20.766430
5.022569,4.063151,-23.090000,9.466853,0.000000,0.000000,20.870755
5.022569,4.063151,-24.090000,9.466853,0.000000,0.000000,21.870755
5.022569,4.063151,-25.490000,9.466853,0.000000,0.000000,21.940755
5.016280,3.997889,-25.490000,9.466853,0.000000,0.000000,21.944034
5.016280,3.997889,-23.290000,9.466853,0.000000,0.000000,22.054034
5.016280,3.997889,-23.290000,9.466853,0.000000,0.000000,22.054034
5.012076,3.476277,-23.290000,9.535987,0.000000,0.000000,22.158359
5.007873,2.954665,-23.290000,9.605122,0.000000,0.000000,22.262685
5.003669,2.433053,-23.290000,9.674256,0.000000,0.000000,22.367011
4.999466,1.911441,-23.290000,9.743391,0.000000,0.000000,22.471337
4.995262,1.389829,-23.290000,9.812526,0.000000,0.000000,22.575663
4.991058,0.868217,-23.290000,9.881660,0.000000,0.000000,22.679988
4.986855,0.346605,-23.290000,9.950795,0.000000,0.000000,22.784314
4.982651,-0.175007,-23.290000,10.019929,0.000000,0.000000,22.888640
4.978447,-0.696619,-23.290000,10.089064,0.000000,0.000000,22.992966
4.974244,-1.218231,-23.290000,10.158198,0.000000,0.000000,23.097291
4.970040,-1.739843,-23.290000,10.227333,0.000000,0.000000,23.201617
4.965836,-2.261455,-23.290000,10.296468,0.000000,0.000000,23.305943
4.961633,-2.783067,-23.290000,10.365602,0.000000,0.000000,23.410269
4.957429,-3.304679,-23.290000,10.434737,0.000000,0.000000,23.514595
4.953225,-3.826291,-23.290000,10.503871,0.000000,0.000000,23.618920
4.953225,-3.798337,-23.290000,10.507576,0.000000,0.000000,23.624511
4.291150,-4.218702,-23.290000,10.611518,0.000000,0.000000,23.781362
