t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0,0,0
0.2877,10.7222,5.3611,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6149,0.0000,0.0000,0.0000,11.9878,2.3851,1,1,0
0.5754,27.8778,13.9389,5.0000,0.0000,0.0000,0.0000,966.2000,568.7000,4.9347,0.0000,0.0000,0.0000,1090.0498,0.0653,1,1,0
0.8631,38.6000,19.3000,5.0000,0.0000,0.0000,0.0000,1327.7000,884.6000,4.9980,0.0000,0.0000,0.0000,1552.5859,0.0020,1,1,0
1.1631,38.6000,19.3000,5.0000,0.0000,0.0000,0.0000,2552.7000,1634.9000,5.0000,0.0000,0.0000,0.0000,2988.4548,0.0000,1,0,0
1.2881,38.6000,19.3000,4.7500,0.0000,0.0000,0.0000,6051.7000,3242.6000,5.0000,0.0000,0.0000,0.0000,6822.5387,0.2500,1,1,0
1.4132,38.6000,19.3000,4.4999,0.0000,0.0000,0.0000,6051.7000,3242.6000,5.0000,0.0000,0.0000,0.0000,6822.5387,0.5001,1,1,0
1.6720,38.6000,19.3000,4.4618,0.0000,0.0000,0.0000,6286.2000,3477.1000,5.0000,0.0000,0.0000,0.0000,7140.6503,0.5382,1,1,0
1.9308,38.6000,19.3000,4.3477,0.0000,0.0000,0.0000,6286.2000,3477.1000,4.6236,0.0000,0.0000,0.0000,7140.6503,0.2759,1,1,0
2.1896,38.6000,19.3000,4.1573,0.0000,0.0000,0.0000,6286.2000,3477.1000,4.6236,0.0000,0.0000,0.0000,7140.6503,0.4663,1,1,0
2.4484,38.6000,19.3000,3.8529,0.0000,0.0000,0.0000,13060.1000,6855.6000,4.6236,0.0000,0.0000,0.0000,14706.9528,0.7707,1,1,0
2.7073,38.6000,19.3000,3.5078,0.0000,0.0000,0.0000,13060.1000,6855.6000,4.2119,0.0000,0.0000,0.0000,14706.9528,0.7041,1,1,0
2.9661,38.6000,19.3000,3.1627,0.0000,0.0000,0.0000,13060.1000,6855.6000,4.2119,0.0000,0.0000,0.0000,14706.9528,1.0492,1,1,0
3.2249,38.6000,19.3000,2.8176,0.0000,0.0000,0.0000,18849.8000,9469.4000,4.2119,0.0000,0.0000,0.0000,21051.4996,1.3943,1,1,0
3.4837,38.6000,19.3000,2.4725,0.0000,0.0000,0.0000,18849.8000,9469.4000,3.2508,0.0000,0.0000,0.0000,21051.4996,0.7783,1,1,0
3.7425,38.6000,19.3000,2.1274,0.0000,0.0000,0.0000,18849.8000,9469.4000,3.2508,0.0000,0.0000,0.0000,21051.4996,1.1234,1,1,0
4.0013,38.6000,19.3000,1.7823,0.0000,0.0000,0.0000,24411.5000,12178.9000,3.2508,0.0000,0.0000,0.0000,27237.7335,1.4685,1,1,0
