t,planned_x,planned_y,planned_z,planned_p1,planned_p2,planned_p3,actual_x,actual_y,actual_z,actual_p1,actual_p2,actual_p3,tracking_error_xy,tracking_error_z,segment_id,is_travel,is_retract
0.0000,3.5000,0.0000,0.1000,0.0000,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.0521,3.5000,0.0000,0.1000,0.0167,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.1042,3.5000,0.0000,0.1000,0.0679,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.1562,3.5000,0.0000,0.1000,0.1286,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.2083,3.5000,0.0000,0.1000,0.1893,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.2604,3.5000,0.0000,0.1000,0.2500,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.3125,3.5000,0.0000,0.1000,0.3107,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.3646,3.5000,0.0000,0.1000,0.3714,0.0000,0.0000,3495.5635,0.0000,0.1000,5.1360,0.0000,0.0000,3492.0635,0.0000,0,0,0
0.4167,3.5000,0.0000,0.1000,0.4321,0.0000,0.0000,3500.0000,0.0000,0.1000,5.1360,0.0000,0.0000,3496.5000,0.0000,0,0,0
0.4687,3.5000,0.0000,0.1000,0.4833,0.0000,0.0000,3500.0000,0.0000,0.1000,1.8748,0.0000,0.0000,3496.5000,0.0000,0,0,0
0.5208,3.5000,0.0000,0.1000,0.5000,0.0000,0.0000,3500.0000,0.0000,0.1000,1.8748,0.0000,0.0000,3496.5000,0.0000,0,0,0
0.5209,3.5068,0.0012,0.1000,0.5001,0.0000,0.0000,3500.0000,0.0000,0.1000,1.8748,0.0000,0.0000,3496.4932,0.0000,0,0,0
0.5211,3.5137,0.0024,0.1000,0.5003,0.0000,0.0000,3517.1966,1.2132,0.1000,0.5002,0.0000,0.0000,3513.6832,0.0000,0,0,0
0.5212,3.5199,0.0060,0.1000,0.5004,0.0000,0.0000,3523.6854,6.0016,0.1000,0.5003,0.0000,0.0000,3520.1706,0.0000,0,0,0
0.5213,3.5261,0.0095,0.1000,0.5006,0.0000,0.0000,3527.8528,11.9032,0.1000,0.5003,0.0000,0.0000,3524.3468,0.0000,0,0,0
0.5214,3.5311,0.0152,0.1000,0.5007,0.0000,0.0000,3527.8528,11.9032,0.1000,0.5003,0.0000,0.0000,3524.3418,0.0000,0,0,0
0.5216,3.5361,0.0208,0.1000,0.5009,0.0000,0.0000,3534.7243,20.8667,0.1000,0.5006,0.0000,0.0000,3531.2498,0.0000,0,0,0
